From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
    138 :    65701.80 MFlops    0.000040 sec
    139 :    68862.03 MFlops    0.000039 sec
    140 :    72210.53 MFlops    0.000038 sec
    141 :    70080.52 MFlops    0.000040 sec
    142 :    69836.29 MFlops    0.000041 sec
    143 :    73105.18 MFlops    0.000040 sec
    144 :    74649.60 MFlops    0.000040 sec
    145 :    67747.22 MFlops    0.000045 sec
    146 :    66215.66 MFlops    0.000047 sec
    147 :    69054.85 MFlops    0.000046 sec
    148 :    68974.30 MFlops    0.000047 sec
    149 :    70381.89 MFlops    0.000047 sec
    150 :    73369.57 MFlops    0.000046 sec
    151 :    63758.35 MFlops    0.000054 sec
    152 :    61610.67 MFlops    0.000057 sec
    153 :    66325.50 MFlops    0.000054 sec
    154 :    66404.80 MFlops    0.000055 sec
    155 :    67706.82 MFlops    0.000055 sec
    156 :    69025.75 MFlops    0.000055 sec
    157 :    70361.69 MFlops    0.000055 sec
    158 :    70434.14 MFlops    0.000056 sec
    159 :    70520.68 MFlops    0.000057 sec
    160 :    66064.52 MFlops    0.000062 sec
    161 :    71953.12 MFlops    0.000058 sec
    162 :    68573.03 MFlops    0.000062 sec
    163 :    69850.76 MFlops    0.000062 sec
    164 :    70014.98 MFlops    0.000063 sec
    165 :    70189.45 MFlops    0.000064 sec
    166 :    71473.37 MFlops    0.000064 sec
    167 :    69514.37 MFlops    0.000067 sec
    168 :    68719.30 MFlops    0.000069 sec
    169 :    70982.49 MFlops    0.000068 sec
    170 :    71202.90 MFlops    0.000069 sec
    171 :    72466.83 MFlops    0.000069 sec
    172 :    72692.11 MFlops    0.000070 sec
    173 :    73967.39 MFlops    0.000070 sec
    174 :     5763.70 MFlops    0.000914 sec
    175 :    73416.10 MFlops    0.000073 sec
    176 :    28543.33 MFlops    0.000191 sec
    177 :    74935.58 MFlops    0.000074 sec
    178 :    58141.77 MFlops    0.000097 sec
    179 :    73529.99 MFlops    0.000078 sec
    180 :    72900.00 MFlops    0.000080 sec
    181 :    72313.91 MFlops    0.000082 sec
    182 :    72633.35 MFlops    0.000083 sec
    183 :    72958.18 MFlops    0.000084 sec
    184 :    72436.09 MFlops    0.000086 sec
    185 :    74489.71 MFlops    0.000085 sec
    186 :    75704.19 MFlops    0.000085 sec
    187 :    74309.12 MFlops    0.000088 sec
    188 :    77263.63 MFlops    0.000086 sec
    189 :    78503.13 MFlops    0.000086 sec
    190 :    51571.43 MFlops    0.000133 sec
    191 :    78290.69 MFlops    0.000089 sec
    192 :    80430.55 MFlops    0.000088 sec
    193 :    79878.41 MFlops    0.000090 sec
    194 :    82038.02 MFlops    0.000089 sec
    195 :    82387.50 MFlops    0.000090 sec
    196 :    84601.53 MFlops    0.000089 sec
    197 :    84948.59 MFlops    0.000090 sec
    198 :    85301.01 MFlops    0.000091 sec
    199 :    83836.16 MFlops    0.000094 sec
    200 :    86956.52 MFlops    0.000092 sec
