From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
    114 :    30310.21 MFlops :       0.00 Sec : 7296
    115 :    29959.85 MFlops :       0.00 Sec : 7360
    116 :     6622.68 MFlops :       0.00 Sec : 7424
    117 :    30422.80 MFlops :       0.00 Sec : 7488
    118 :    26793.62 MFlops :       0.00 Sec : 7552
    119 :    31449.52 MFlops :       0.00 Sec : 7616
    120 :    32364.66 MFlops :       0.00 Sec : 7680
    121 :    31511.97 MFlops :       0.00 Sec : 7744
    122 :    33656.64 MFlops :       0.00 Sec : 7808
    123 :    33554.18 MFlops :       0.00 Sec : 7872
    124 :    34264.35 MFlops :       0.00 Sec : 7936
    125 :    32977.71 MFlops :       0.00 Sec : 8000
    126 :    35952.57 MFlops :       0.00 Sec : 8064
    127 :    36203.47 MFlops :       0.00 Sec : 8128
    128 :    39155.38 MFlops :       0.00 Sec : 8192
    129 :    34705.20 MFlops :       0.00 Sec : 8256
    130 :    35738.04 MFlops :       0.00 Sec : 8320
    131 :    25917.50 MFlops :       0.00 Sec : 8384
    132 :    28904.45 MFlops :       0.00 Sec : 8448
    133 :    29850.55 MFlops :       0.00 Sec : 8512
    134 :    23458.87 MFlops :       0.00 Sec : 8576
    135 :    30000.00 MFlops :       0.00 Sec : 8640
    136 :    30393.37 MFlops :       0.00 Sec : 8704
    137 :    30929.07 MFlops :       0.00 Sec : 8768
    138 :    29349.74 MFlops :       0.00 Sec : 8832
    139 :    27085.44 MFlops :       0.00 Sec : 8896
    140 :    28655.91 MFlops :       0.00 Sec : 8960
    141 :    31914.01 MFlops :       0.00 Sec : 9024
    142 :    31065.77 MFlops :       0.00 Sec : 9088
    143 :    39080.42 MFlops :       0.00 Sec : 9152
    144 :    39707.43 MFlops :       0.00 Sec : 9216
    145 :    40541.85 MFlops :       0.00 Sec : 9280
    146 :    40674.31 MFlops :       0.00 Sec : 9344
    147 :    39475.41 MFlops :       0.00 Sec : 9408
    148 :    39821.59 MFlops :       0.00 Sec : 9472
    149 :    39716.25 MFlops :       0.00 Sec : 9536
    150 :    39192.56 MFlops :       0.00 Sec : 9600
    151 :    40514.87 MFlops :       0.00 Sec : 9664
    152 :    38668.55 MFlops :       0.00 Sec : 9728
    153 :    40879.85 MFlops :       0.00 Sec : 9792
    154 :    40982.88 MFlops :       0.00 Sec : 9856
    155 :    34555.24 MFlops :       0.00 Sec : 9920
    156 :    34624.14 MFlops :       0.00 Sec : 9984
    157 :    34816.75 MFlops :       0.00 Sec : 10048
    158 :    26911.99 MFlops :       0.00 Sec : 10112
    159 :    35983.51 MFlops :       0.00 Sec : 10176
    160 :    36979.59 MFlops :       0.00 Sec : 10240
    161 :    34242.49 MFlops :       0.00 Sec : 10304
    162 :    31924.92 MFlops :       0.00 Sec : 10368
    163 :    37204.09 MFlops :       0.00 Sec : 10432
    164 :    44863.11 MFlops :       0.00 Sec : 10496
    165 :    38468.06 MFlops :       0.00 Sec : 10560
    166 :    45738.47 MFlops :       0.00 Sec : 10624
    167 :    39377.96 MFlops :       0.00 Sec : 10688
    168 :    46451.90 MFlops :       0.00 Sec : 10752
    169 :    34823.18 MFlops :       0.00 Sec : 10816
    170 :    46669.41 MFlops :       0.00 Sec : 10880
    171 :    46257.78 MFlops :       0.00 Sec : 10944
    172 :    34731.62 MFlops :       0.00 Sec : 11008
    173 :    47735.99 MFlops :       0.00 Sec : 11072
    174 :    37551.92 MFlops :       0.00 Sec : 11136
    175 :    36349.94 MFlops :       0.00 Sec : 11200
    176 :    38968.25 MFlops :       0.00 Sec : 11264
    177 :    37373.65 MFlops :       0.00 Sec : 11328
    178 :    33542.14 MFlops :       0.00 Sec : 11392
    179 :    38268.22 MFlops :       0.00 Sec : 11456
    180 :    42143.67 MFlops :       0.00 Sec : 11520
    181 :    46590.90 MFlops :       0.00 Sec : 11584
    182 :    47298.49 MFlops :       0.00 Sec : 11648
    183 :    48154.63 MFlops :       0.00 Sec : 11712
