From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 133x133 :   42970.54 MFlops   0.000146 s
 134x134 :   44869.07 MFlops   0.000143 s
 135x135 :   42603.90 MFlops   0.000154 s
 136x136 :   61540.21 MFlops   0.000109 s
 137x137 :   43398.36 MFlops   0.000158 s
 138x138 :   45214.14 MFlops   0.000155 s
 139x139 :   42127.36 MFlops   0.000170 s
 140x140 :   48140.35 MFlops   0.000152 s
 141x141 :   44762.01 MFlops   0.000167 s
 142x142 :   48325.54 MFlops   0.000158 s
 143x143 :   46975.21 MFlops   0.000166 s
 144x144 :   66355.20 MFlops   0.000120 s
 145x145 :   43014.11 MFlops   0.000189 s
 146x146 :   46887.17 MFlops   0.000177 s
 147x147 :   46036.57 MFlops   0.000184 s
 148x148 :   53694.28 MFlops   0.000161 s
 149x149 :   47682.15 MFlops   0.000185 s
 150x150 :   49723.76 MFlops   0.000181 s
 151x151 :   49097.34 MFlops   0.000187 s
 152x152 :   68858.98 MFlops   0.000136 s
 153x153 :   47754.36 MFlops   0.000200 s
 154x154 :   49690.67 MFlops   0.000196 s
 155x155 :   48917.90 MFlops   0.000203 s
 156x156 :   55625.14 MFlops   0.000182 s
 157x157 :   48677.90 MFlops   0.000212 s
 158x158 :   51559.63 MFlops   0.000204 s
 159x159 :   52288.51 MFlops   0.000205 s
 160x160 :   72817.78 MFlops   0.000150 s
 161x161 :   46759.45 MFlops   0.000238 s
 162x162 :   50388.48 MFlops   0.000225 s
 163x163 :   48320.75 MFlops   0.000239 s
 164x164 :   54965.03 MFlops   0.000214 s
 165x165 :   48893.88 MFlops   0.000245 s
 166x166 :   51906.90 MFlops   0.000235 s
 167x167 :   47953.29 MFlops   0.000259 s
 168x168 :   73943.58 MFlops   0.000171 s
 169x169 :   45163.13 MFlops   0.000285 s
 170x170 :   46958.18 MFlops   0.000279 s
 171x171 :   43291.87 MFlops   0.000308 s
 172x172 :   54714.49 MFlops   0.000248 s
 173x173 :   47941.82 MFlops   0.000288 s
 174x174 :   49815.83 MFlops   0.000282 s
 175x175 :   52542.89 MFlops   0.000272 s
 176x176 :   79011.25 MFlops   0.000184 s
 177x177 :   51167.09 MFlops   0.000289 s
 178x178 :   54490.36 MFlops   0.000276 s
 179x179 :   51495.75 MFlops   0.000297 s
 180x180 :   60750.00 MFlops   0.000256 s
 181x181 :   53062.56 MFlops   0.000298 s
 182x182 :   56407.65 MFlops   0.000285 s
