From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
    115 :    14165.06 MFlops :       0.00 Sec : 3910
    116 :    14050.73 MFlops :       0.00 Sec : 3944
    117 :    14314.48 MFlops :       0.00 Sec : 3978
    118 :    15099.84 MFlops :       0.00 Sec : 4012
    119 :    14605.08 MFlops :       0.00 Sec : 4046
    120 :    15242.29 MFlops :       0.00 Sec : 4080
    121 :    14737.82 MFlops :       0.00 Sec : 4114
    122 :    14267.76 MFlops :       0.00 Sec : 4148
    123 :    14508.92 MFlops :       0.00 Sec : 4182
    124 :    14878.90 MFlops :       0.00 Sec : 4216
    125 :    14832.93 MFlops :       0.00 Sec : 4250
    126 :    13777.11 MFlops :       0.00 Sec : 4284
    127 :    15583.34 MFlops :       0.00 Sec : 4318
    128 :    15620.37 MFlops :       0.00 Sec : 4352
    129 :    14742.39 MFlops :       0.00 Sec : 4386
    130 :    14364.79 MFlops :       0.00 Sec : 4420
    131 :    15696.69 MFlops :       0.00 Sec : 4454
    132 :    16406.98 MFlops :       0.00 Sec : 4488
    133 :    16457.21 MFlops :       0.00 Sec : 4522
    134 :    15436.82 MFlops :       0.00 Sec : 4556
    135 :    15520.29 MFlops :       0.00 Sec : 4590
    136 :    15683.63 MFlops :       0.00 Sec : 4624
    137 :    15008.58 MFlops :       0.00 Sec : 4658
    138 :    16258.73 MFlops :       0.00 Sec : 4692
    139 :    16229.60 MFlops :       0.00 Sec : 4726
    140 :    16012.75 MFlops :       0.00 Sec : 4760
    141 :    15535.43 MFlops :       0.00 Sec : 4794
    142 :    16450.01 MFlops :       0.00 Sec : 4828
    143 :    16319.28 MFlops :       0.00 Sec : 4862
    144 :    16461.67 MFlops :       0.00 Sec : 4896
    145 :    16625.99 MFlops :       0.00 Sec : 4930
    146 :    17371.75 MFlops :       0.00 Sec : 4964
    147 :    16177.53 MFlops :       0.01 Sec : 4998
    148 :    17236.75 MFlops :       0.00 Sec : 5032
    149 :    15984.27 MFlops :       0.01 Sec : 5066
    150 :    19008.29 MFlops :       0.00 Sec : 5100
    151 :    20055.95 MFlops :       0.00 Sec : 5134
    152 :    20746.22 MFlops :       0.00 Sec : 5168
    153 :    19916.14 MFlops :       0.00 Sec : 5202
    154 :    19897.40 MFlops :       0.00 Sec : 5236
    155 :    20312.75 MFlops :       0.00 Sec : 5270
    156 :    19508.13 MFlops :       0.01 Sec : 5304
    157 :    19889.57 MFlops :       0.01 Sec : 5338
    158 :    19260.71 MFlops :       0.01 Sec : 5372
    159 :    20920.76 MFlops :       0.01 Sec : 5406
    160 :    22440.22 MFlops :       0.00 Sec : 5440
    161 :    20367.47 MFlops :       0.01 Sec : 5474
    162 :    21932.35 MFlops :       0.01 Sec : 5508
    163 :    20344.08 MFlops :       0.01 Sec : 5542
    164 :    21089.55 MFlops :       0.01 Sec : 5576
    165 :    21128.56 MFlops :       0.01 Sec : 5610
    166 :    21898.40 MFlops :       0.01 Sec : 5644
    167 :    23542.14 MFlops :       0.01 Sec : 5678
    168 :    20905.42 MFlops :       0.01 Sec : 5712
    169 :    20759.54 MFlops :       0.01 Sec : 5746
    170 :    22150.56 MFlops :       0.01 Sec : 5780
    171 :    21403.93 MFlops :       0.01 Sec : 5814
    172 :    22130.63 MFlops :       0.01 Sec : 5848
    173 :    21077.50 MFlops :       0.01 Sec : 5882
    174 :    21662.83 MFlops :       0.01 Sec : 5916
    175 :    23656.72 MFlops :       0.01 Sec : 5950
    176 :    22548.74 MFlops :       0.01 Sec : 5984
    177 :    24205.24 MFlops :       0.01 Sec : 6018
    178 :    23789.60 MFlops :       0.01 Sec : 6052
    179 :    24841.50 MFlops :       0.01 Sec : 6086
    180 :    26580.68 MFlops :       0.01 Sec : 6120
    181 :    24956.85 MFlops :       0.01 Sec : 6154
    182 :    24465.50 MFlops :       0.01 Sec : 6188
    183 :    24486.05 MFlops :       0.01 Sec : 6222
    184 :    25977.64 MFlops :       0.01 Sec : 6256
    185 :    24502.01 MFlops :       0.01 Sec : 6290
    186 :    24788.55 MFlops :       0.01 Sec : 6324
    187 :    24540.65 MFlops :       0.01 Sec : 6358
    188 :    26645.48 MFlops :       0.01 Sec : 6392
    189 :    27089.44 MFlops :       0.01 Sec : 6426
    190 :    25354.13 MFlops :       0.01 Sec : 6460
    191 :    26288.01 MFlops :       0.01 Sec : 6494
    192 :    25919.44 MFlops :       0.01 Sec : 6528
    193 :    24525.51 MFlops :       0.01 Sec : 6562
    194 :    26081.32 MFlops :       0.01 Sec : 6596
    195 :    29571.90 MFlops :       0.01 Sec : 6630
    196 :    26954.82 MFlops :       0.01 Sec : 6664
    197 :    25529.83 MFlops :       0.01 Sec : 6698
    198 :    29484.10 MFlops :       0.01 Sec : 6732
    199 :    25930.54 MFlops :       0.01 Sec : 6766
    200 :    26549.03 MFlops :       0.01 Sec : 6800
