From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
    115 :    11992.86 MFlops :       0.00 Sec : 7360
    116 :    12093.17 MFlops :       0.00 Sec : 7424
    117 :    11921.29 MFlops :       0.00 Sec : 7488
    118 :    12439.90 MFlops :       0.00 Sec : 7552
    119 :    12907.03 MFlops :       0.00 Sec : 7616
    120 :    12936.72 MFlops :       0.00 Sec : 7680
    121 :    13042.46 MFlops :       0.00 Sec : 7744
    122 :    13519.38 MFlops :       0.00 Sec : 7808
    123 :    13259.31 MFlops :       0.00 Sec : 7872
    124 :    13961.30 MFlops :       0.00 Sec : 7936
    125 :    13769.95 MFlops :       0.00 Sec : 8000
    126 :    13882.21 MFlops :       0.00 Sec : 8064
    127 :    13924.41 MFlops :       0.00 Sec : 8128
    128 :    16449.89 MFlops :       0.00 Sec : 8192
    129 :     7079.17 MFlops :       0.00 Sec : 8256
    130 :    15013.66 MFlops :       0.00 Sec : 8320
    131 :    14329.38 MFlops :       0.00 Sec : 8384
    132 :    15247.10 MFlops :       0.00 Sec : 8448
    133 :    13503.82 MFlops :       0.00 Sec : 8512
    134 :    17626.55 MFlops :       0.00 Sec : 8576
    135 :    16817.01 MFlops :       0.00 Sec : 8640
    136 :    17018.73 MFlops :       0.00 Sec : 8704
    137 :    17397.60 MFlops :       0.00 Sec : 8768
    138 :    17426.41 MFlops :       0.00 Sec : 8832
    139 :    17632.36 MFlops :       0.00 Sec : 8896
    140 :    17412.92 MFlops :       0.00 Sec : 8960
    141 :    17620.77 MFlops :       0.00 Sec : 9024
    142 :    19376.48 MFlops :       0.00 Sec : 9088
    143 :    19013.39 MFlops :       0.00 Sec : 9152
    144 :    19804.08 MFlops :       0.00 Sec : 9216
    145 :    11049.32 MFlops :       0.00 Sec : 9280
    146 :    19566.08 MFlops :       0.00 Sec : 9344
    147 :    19330.28 MFlops :       0.00 Sec : 9408
    148 :    20191.23 MFlops :       0.00 Sec : 9472
    149 :    15507.58 MFlops :       0.00 Sec : 9536
    150 :    18814.08 MFlops :       0.00 Sec : 9600
    151 :    19689.88 MFlops :       0.00 Sec : 9664
    152 :    19334.27 MFlops :       0.00 Sec : 9728
    153 :    20136.79 MFlops :       0.00 Sec : 9792
    154 :    20108.82 MFlops :       0.00 Sec : 9856
    155 :    21117.09 MFlops :       0.00 Sec : 9920
    156 :    17371.77 MFlops :       0.00 Sec : 9984
    157 :    17647.66 MFlops :       0.00 Sec : 10048
    158 :    18561.64 MFlops :       0.00 Sec : 10112
    159 :    18395.02 MFlops :       0.00 Sec : 10176
    160 :    19414.29 MFlops :       0.00 Sec : 10240
    161 :    16338.41 MFlops :       0.00 Sec : 10304
    162 :    19324.42 MFlops :       0.00 Sec : 10368
    163 :    18662.44 MFlops :       0.00 Sec : 10432
    164 :    19846.22 MFlops :       0.00 Sec : 10496
    165 :    19049.68 MFlops :       0.00 Sec : 10560
    166 :    19460.84 MFlops :       0.00 Sec : 10624
    167 :    19199.81 MFlops :       0.00 Sec : 10688
    168 :    19793.18 MFlops :       0.00 Sec : 10752
    169 :    19126.76 MFlops :       0.00 Sec : 10816
    170 :    20317.91 MFlops :       0.00 Sec : 10880
    171 :    20299.67 MFlops :       0.00 Sec : 10944
    172 :    25300.75 MFlops :       0.00 Sec : 11008
    173 :    24375.82 MFlops :       0.00 Sec : 11072
    174 :    27535.61 MFlops :       0.00 Sec : 11136
    175 :    26750.00 MFlops :       0.00 Sec : 11200
    176 :    27522.25 MFlops :       0.00 Sec : 11264
    177 :    26870.84 MFlops :       0.00 Sec : 11328
    178 :    24391.80 MFlops :       0.00 Sec : 11392
    179 :    26350.78 MFlops :       0.00 Sec : 11456
    180 :    27460.64 MFlops :       0.00 Sec : 11520
    181 :    25236.74 MFlops :       0.00 Sec : 11584
    182 :    27892.93 MFlops :       0.00 Sec : 11648
    183 :    27309.17 MFlops :       0.00 Sec : 11712
    184 :    26946.11 MFlops :       0.00 Sec : 11776
    185 :    27841.89 MFlops :       0.00 Sec : 11840
    186 :    27835.58 MFlops :       0.00 Sec : 11904
    187 :    28473.05 MFlops :       0.00 Sec : 11968
    188 :    29612.52 MFlops :       0.00 Sec : 12032
    189 :    27336.24 MFlops :       0.00 Sec : 12096
    190 :    24227.53 MFlops :       0.00 Sec : 12160
    191 :    23547.92 MFlops :       0.00 Sec : 12224
    192 :    25135.40 MFlops :       0.00 Sec : 12288
    193 :    22205.77 MFlops :       0.00 Sec : 12352
    194 :    24366.50 MFlops :       0.00 Sec : 12416
    195 :    22588.99 MFlops :       0.00 Sec : 12480
    196 :    20836.02 MFlops :       0.00 Sec : 12544
    197 :    22173.25 MFlops :       0.00 Sec : 12608
    198 :    23170.75 MFlops :       0.00 Sec : 12672
    199 :    22131.49 MFlops :       0.00 Sec : 12736
    200 :    22658.85 MFlops :       0.00 Sec : 12800
