From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 133x133 :   18713.49 MFlops   0.001341 s
 134x134 :   18899.20 MFlops   0.001358 s
 135x135 :   19003.62 MFlops   0.001381 s
 136x136 :   19042.96 MFlops   0.001409 s
 137x137 :   19126.75 MFlops   0.001434 s
 138x138 :   19266.51 MFlops   0.001455 s
 139x139 :   19355.81 MFlops   0.001480 s
 140x140 :   19319.69 MFlops   0.001515 s
 141x141 :   19428.87 MFlops   0.001539 s
 142x142 :   19503.03 MFlops   0.001566 s
 143x143 :   19968.98 MFlops   0.001562 s
 144x144 :   19981.49 MFlops   0.001594 s
 145x145 :   19840.55 MFlops   0.001639 s
 146x146 :   19665.95 MFlops   0.001688 s
 147x147 :   19779.87 MFlops   0.001713 s
 148x148 :   19976.38 MFlops   0.001731 s
 149x149 :   20036.79 MFlops   0.001761 s
 150x150 :   20145.50 MFlops   0.001787 s
 151x151 :   20123.18 MFlops   0.001825 s
 152x152 :   20248.26 MFlops   0.001850 s
 153x153 :   20331.82 MFlops   0.001879 s
 154x154 :   20385.91 MFlops   0.001911 s
 155x155 :   20453.83 MFlops   0.001942 s
 156x156 :   20566.33 MFlops   0.001969 s
 157x157 :   20784.92 MFlops   0.001986 s
 158x158 :   20838.37 MFlops   0.002019 s
 159x159 :   21079.93 MFlops   0.002034 s
 160x160 :   21704.26 MFlops   0.002013 s
 161x161 :   21278.68 MFlops   0.002092 s
 162x162 :   20937.04 MFlops   0.002166 s
 163x163 :   21112.72 MFlops   0.002188 s
 164x164 :   20976.40 MFlops   0.002243 s
 165x165 :   21136.30 MFlops   0.002267 s
 166x166 :   21040.32 MFlops   0.002319 s
 167x167 :   21303.43 MFlops   0.002332 s
 168x168 :   21504.00 MFlops   0.002352 s
 169x169 :   21354.61 MFlops   0.002411 s
 170x170 :   20970.52 MFlops   0.002499 s
 171x171 :   21514.96 MFlops   0.002479 s
 172x172 :   21402.52 MFlops   0.002536 s
 173x173 :   21752.26 MFlops   0.002539 s
 174x174 :   22307.37 MFlops   0.002519 s
 175x175 :   22055.04 MFlops   0.002592 s
 176x176 :   22204.00 MFlops   0.002619 s
 177x177 :   22178.16 MFlops   0.002667 s
 178x178 :   21819.86 MFlops   0.002757 s
 179x179 :   22157.53 MFlops   0.002761 s
 180x180 :   22193.36 MFlops   0.002803 s
 181x181 :   22453.17 MFlops   0.002817 s
 182x182 :   22626.57 MFlops   0.002842 s
 183x183 :   22456.38 MFlops   0.002911 s
 184x184 :   22779.58 MFlops   0.002917 s
 185x185 :   22701.62 MFlops   0.002975 s
 186x186 :   22489.67 MFlops   0.003052 s
 187x187 :   22653.95 MFlops   0.003079 s
 188x188 :   22929.96 MFlops   0.003091 s
 189x189 :   22695.73 MFlops   0.003173 s
 190x190 :   22820.54 MFlops   0.003206 s
 191x191 :   23024.77 MFlops   0.003228 s
 192x192 :   23337.70 MFlops   0.003235 s
 193x193 :   23160.16 MFlops   0.003311 s
 194x194 :   22819.05 MFlops   0.003413 s
 195x195 :   22872.18 MFlops   0.003458 s
 196x196 :   23225.87 MFlops   0.003458 s
 197x197 :   22946.16 MFlops   0.003554 s
 198x198 :   22746.94 MFlops   0.003640 s
 199x199 :   23125.10 MFlops   0.003635 s
 200x200 :   23283.31 MFlops   0.003665 s
