From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
    114 :    12682.30 MFlops :       0.00 Sec : 7296
    115 :    12631.97 MFlops :       0.00 Sec : 7360
    116 :    12765.01 MFlops :       0.00 Sec : 7424
    117 :    12802.35 MFlops :       0.00 Sec : 7488
    118 :    12786.97 MFlops :       0.00 Sec : 7552
    119 :    12741.32 MFlops :       0.00 Sec : 7616
    120 :    12973.37 MFlops :       0.00 Sec : 7680
    121 :    12793.69 MFlops :       0.00 Sec : 7744
    122 :    12851.54 MFlops :       0.00 Sec : 7808
    123 :    12878.50 MFlops :       0.00 Sec : 7872
    124 :    12925.81 MFlops :       0.00 Sec : 7936
    125 :    12943.75 MFlops :       0.00 Sec : 8000
    126 :    13093.84 MFlops :       0.00 Sec : 8064
    127 :    12914.44 MFlops :       0.00 Sec : 8128
    128 :    13006.00 MFlops :       0.00 Sec : 8192
    129 :    12319.59 MFlops :       0.00 Sec : 8256
    130 :    12608.87 MFlops :       0.00 Sec : 8320
    131 :    12536.33 MFlops :       0.00 Sec : 8384
    132 :    11819.46 MFlops :       0.00 Sec : 8448
    133 :    12317.40 MFlops :       0.00 Sec : 8512
    134 :    12474.71 MFlops :       0.00 Sec : 8576
    135 :    12572.25 MFlops :       0.00 Sec : 8640
    136 :    13783.77 MFlops :       0.00 Sec : 8704
    137 :    13518.06 MFlops :       0.00 Sec : 8768
    138 :    13114.89 MFlops :       0.00 Sec : 8832
    139 :    13352.34 MFlops :       0.00 Sec : 8896
    140 :    13197.82 MFlops :       0.00 Sec : 8960
    141 :    14623.33 MFlops :       0.00 Sec : 9024
    142 :    14720.12 MFlops :       0.00 Sec : 9088
    143 :    14889.57 MFlops :       0.00 Sec : 9152
    144 :    15411.74 MFlops :       0.00 Sec : 9216
    145 :    15132.09 MFlops :       0.00 Sec : 9280
    146 :    15053.57 MFlops :       0.00 Sec : 9344
    147 :    15379.56 MFlops :       0.00 Sec : 9408
    148 :    15470.26 MFlops :       0.00 Sec : 9472
    149 :    15673.74 MFlops :       0.00 Sec : 9536
    150 :    15822.44 MFlops :       0.00 Sec : 9600
    151 :    15930.43 MFlops :       0.00 Sec : 9664
    152 :    16508.63 MFlops :       0.00 Sec : 9728
    153 :    16014.43 MFlops :       0.00 Sec : 9792
    154 :    16127.21 MFlops :       0.00 Sec : 9856
    155 :    16362.25 MFlops :       0.00 Sec : 9920
    156 :    16530.97 MFlops :       0.00 Sec : 9984
    157 :    16473.04 MFlops :       0.00 Sec : 10048
    158 :    16723.27 MFlops :       0.00 Sec : 10112
    159 :    16683.52 MFlops :       0.00 Sec : 10176
    160 :    17298.33 MFlops :       0.00 Sec : 10240
    161 :    16302.35 MFlops :       0.00 Sec : 10304
    162 :    17060.41 MFlops :       0.00 Sec : 10368
    163 :    17158.30 MFlops :       0.00 Sec : 10432
    164 :    17106.31 MFlops :       0.00 Sec : 10496
    165 :    17282.75 MFlops :       0.00 Sec : 10560
    166 :    17422.62 MFlops :       0.00 Sec : 10624
    167 :    17402.79 MFlops :       0.00 Sec : 10688
    168 :    17520.48 MFlops :       0.00 Sec : 10752
    169 :    17482.85 MFlops :       0.00 Sec : 10816
    170 :    17555.99 MFlops :       0.00 Sec : 10880
    171 :    17331.57 MFlops :       0.00 Sec : 10944
    172 :    17684.03 MFlops :       0.00 Sec : 11008
    173 :    17716.45 MFlops :       0.00 Sec : 11072
    174 :    17819.23 MFlops :       0.00 Sec : 11136
    175 :    18082.59 MFlops :       0.00 Sec : 11200
    176 :    18313.35 MFlops :       0.00 Sec : 11264
    177 :    17979.51 MFlops :       0.00 Sec : 11328
    178 :    17914.55 MFlops :       0.00 Sec : 11392
    179 :    17929.08 MFlops :       0.00 Sec : 11456
    180 :    17988.15 MFlops :       0.00 Sec : 11520
    181 :    18142.54 MFlops :       0.00 Sec : 11584
    182 :    18019.74 MFlops :       0.00 Sec : 11648
    183 :    17886.00 MFlops :       0.00 Sec : 11712
    184 :    18496.27 MFlops :       0.00 Sec : 11776
    185 :    18043.45 MFlops :       0.00 Sec : 11840
    186 :    18143.36 MFlops :       0.00 Sec : 11904
    187 :    18064.02 MFlops :       0.00 Sec : 11968
    188 :    18129.50 MFlops :       0.00 Sec : 12032
    189 :    18177.97 MFlops :       0.00 Sec : 12096
    190 :    18237.34 MFlops :       0.00 Sec : 12160
    191 :    17874.13 MFlops :       0.00 Sec : 12224
    192 :    18324.83 MFlops :       0.00 Sec : 12288
    193 :    17520.15 MFlops :       0.00 Sec : 12352
    194 :    18109.93 MFlops :       0.00 Sec : 12416
    195 :    17293.77 MFlops :       0.00 Sec : 12480
    196 :    17915.44 MFlops :       0.00 Sec : 12544
    197 :    18191.40 MFlops :       0.00 Sec : 12608
    198 :    18704.73 MFlops :       0.00 Sec : 12672
    199 :    18853.12 MFlops :       0.00 Sec : 12736
    200 :    18759.05 MFlops :       0.00 Sec : 12800
