From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
    114 :    12547.14 MFlops :       0.00 Sec : 14820
    115 :    10776.28 MFlops :       0.00 Sec : 14950
    116 :     5425.53 MFlops :       0.01 Sec : 15080
    117 :     8301.27 MFlops :       0.01 Sec : 15210
    118 :    13022.59 MFlops :       0.00 Sec : 15340
    119 :    12724.47 MFlops :       0.00 Sec : 15470
    120 :     5526.33 MFlops :       0.01 Sec : 15600
    121 :     9611.62 MFlops :       0.00 Sec : 15730
    122 :    13045.37 MFlops :       0.00 Sec : 15860
    123 :    12965.50 MFlops :       0.00 Sec : 15990
    124 :     5493.10 MFlops :       0.01 Sec : 16120
    125 :    12163.15 MFlops :       0.00 Sec : 16250
    126 :    13588.73 MFlops :       0.00 Sec : 16380
    127 :    10088.65 MFlops :       0.01 Sec : 16510
    128 :     6049.96 MFlops :       0.01 Sec : 16640
    129 :    12753.23 MFlops :       0.00 Sec : 16770
    130 :    13046.24 MFlops :       0.00 Sec : 16900
    131 :     6287.68 MFlops :       0.01 Sec : 17030
    132 :    14027.83 MFlops :       0.00 Sec : 17160
    133 :    14240.21 MFlops :       0.00 Sec : 17290
    134 :     7435.77 MFlops :       0.01 Sec : 17420
    135 :    10011.08 MFlops :       0.01 Sec : 17550
    136 :    14692.09 MFlops :       0.00 Sec : 17680
    137 :     9723.36 MFlops :       0.01 Sec : 17810
    138 :     8596.99 MFlops :       0.01 Sec : 17940
    139 :    15530.94 MFlops :       0.00 Sec : 18070
    140 :    11692.75 MFlops :       0.01 Sec : 18200
    141 :     8079.78 MFlops :       0.01 Sec : 18330
    142 :    15464.69 MFlops :       0.00 Sec : 18460
    143 :     9526.65 MFlops :       0.01 Sec : 18590
    144 :     9914.37 MFlops :       0.01 Sec : 18720
    145 :    15662.50 MFlops :       0.01 Sec : 18850
    146 :     7187.31 MFlops :       0.01 Sec : 18980
    147 :    14954.02 MFlops :       0.01 Sec : 19110
    148 :    15797.96 MFlops :       0.01 Sec : 19240
    149 :     7623.48 MFlops :       0.01 Sec : 19370
