From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
    114 :    13558.45 MFlops :       0.00 Sec : 7296
    115 :    13590.56 MFlops :       0.00 Sec : 7360
    116 :    13649.72 MFlops :       0.00 Sec : 7424
    117 :    13559.04 MFlops :       0.00 Sec : 7488
    118 :    13606.14 MFlops :       0.00 Sec : 7552
    119 :    13656.98 MFlops :       0.00 Sec : 7616
    120 :    13793.98 MFlops :       0.00 Sec : 7680
    121 :    13708.86 MFlops :       0.00 Sec : 7744
    122 :    13810.33 MFlops :       0.00 Sec : 7808
    123 :    13797.10 MFlops :       0.00 Sec : 7872
    124 :    13884.59 MFlops :       0.00 Sec : 7936
    125 :    13862.12 MFlops :       0.00 Sec : 8000
    126 :    13900.40 MFlops :       0.00 Sec : 8064
    127 :    13888.80 MFlops :       0.00 Sec : 8128
    128 :    13952.48 MFlops :       0.00 Sec : 8192
    129 :    13665.43 MFlops :       0.00 Sec : 8256
    130 :    13755.14 MFlops :       0.00 Sec : 8320
    131 :    13960.24 MFlops :       0.00 Sec : 8384
    132 :    14150.44 MFlops :       0.00 Sec : 8448
    133 :    14195.14 MFlops :       0.00 Sec : 8512
    134 :    14436.23 MFlops :       0.00 Sec : 8576
    135 :    14516.13 MFlops :       0.00 Sec : 8640
    136 :    14727.03 MFlops :       0.00 Sec : 8704
    137 :    14777.59 MFlops :       0.00 Sec : 8768
    138 :    14926.26 MFlops :       0.00 Sec : 8832
    139 :    14981.01 MFlops :       0.00 Sec : 8896
    140 :    15243.14 MFlops :       0.00 Sec : 8960
    141 :    15754.16 MFlops :       0.00 Sec : 9024
    142 :    16024.43 MFlops :       0.00 Sec : 9088
    143 :    16094.32 MFlops :       0.00 Sec : 9152
    144 :    16333.26 MFlops :       0.00 Sec : 9216
    145 :    16306.65 MFlops :       0.00 Sec : 9280
    146 :    16580.09 MFlops :       0.00 Sec : 9344
    147 :    16639.68 MFlops :       0.00 Sec : 9408
    148 :    16898.75 MFlops :       0.00 Sec : 9472
    149 :    17010.26 MFlops :       0.00 Sec : 9536
    150 :    17205.57 MFlops :       0.00 Sec : 9600
    151 :    17286.86 MFlops :       0.00 Sec : 9664
    152 :    17130.74 MFlops :       0.00 Sec : 9728
    153 :    17617.36 MFlops :       0.00 Sec : 9792
    154 :    17735.50 MFlops :       0.00 Sec : 9856
    155 :    17855.10 MFlops :       0.00 Sec : 9920
    156 :    18040.51 MFlops :       0.00 Sec : 9984
    157 :    18050.86 MFlops :       0.00 Sec : 10048
    158 :    18190.73 MFlops :       0.00 Sec : 10112
    159 :    18237.80 MFlops :       0.00 Sec : 10176
    160 :    18568.74 MFlops :       0.00 Sec : 10240
    161 :    18416.37 MFlops :       0.00 Sec : 10304
    162 :    18546.36 MFlops :       0.00 Sec : 10368
    163 :    18692.79 MFlops :       0.00 Sec : 10432
    164 :    18630.50 MFlops :       0.00 Sec : 10496
    165 :    18632.97 MFlops :       0.00 Sec : 10560
    166 :    18974.32 MFlops :       0.00 Sec : 10624
    167 :    18978.79 MFlops :       0.00 Sec : 10688
    168 :    19160.52 MFlops :       0.00 Sec : 10752
    169 :    19084.04 MFlops :       0.00 Sec : 10816
    170 :    19126.25 MFlops :       0.00 Sec : 10880
    171 :    18925.14 MFlops :       0.00 Sec : 10944
    172 :    19411.78 MFlops :       0.00 Sec : 11008
    173 :    19404.32 MFlops :       0.00 Sec : 11072
    174 :    19522.81 MFlops :       0.00 Sec : 11136
    175 :    19601.93 MFlops :       0.00 Sec : 11200
    176 :    19763.42 MFlops :       0.00 Sec : 11264
    177 :    19646.72 MFlops :       0.00 Sec : 11328
    178 :    19718.98 MFlops :       0.00 Sec : 11392
    179 :    19716.18 MFlops :       0.00 Sec : 11456
    180 :    19742.26 MFlops :       0.00 Sec : 11520
    181 :    19758.75 MFlops :       0.00 Sec : 11584
    182 :    19729.56 MFlops :       0.00 Sec : 11648
    183 :    19861.21 MFlops :       0.00 Sec : 11712
    184 :    19957.67 MFlops :       0.00 Sec : 11776
    185 :    19865.92 MFlops :       0.00 Sec : 11840
    186 :    19908.03 MFlops :       0.00 Sec : 11904
    187 :    19592.28 MFlops :       0.00 Sec : 11968
    188 :    20010.28 MFlops :       0.00 Sec : 12032
    189 :    19936.16 MFlops :       0.00 Sec : 12096
    190 :    19933.37 MFlops :       0.00 Sec : 12160
    191 :    19976.97 MFlops :       0.00 Sec : 12224
    192 :    20097.57 MFlops :       0.00 Sec : 12288
    193 :    19841.00 MFlops :       0.00 Sec : 12352
    194 :    19852.34 MFlops :       0.00 Sec : 12416
    195 :    20048.45 MFlops :       0.00 Sec : 12480
    196 :    20245.53 MFlops :       0.00 Sec : 12544
    197 :    20260.05 MFlops :       0.00 Sec : 12608
    198 :    20488.79 MFlops :       0.00 Sec : 12672
    199 :    20556.10 MFlops :       0.00 Sec : 12736
    200 :    20888.45 MFlops :       0.00 Sec : 12800
