From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
    115 :    51661.54 MFlops :       0.00 Sec : 7360
    116 :    55890.05 MFlops :       0.00 Sec : 7424
    117 :    51755.85 MFlops :       0.00 Sec : 7488
    118 :    58837.35 MFlops :       0.00 Sec : 7552
    119 :    55822.90 MFlops :       0.00 Sec : 7616
    120 :    65422.86 MFlops :       0.00 Sec : 7680
    121 :    54596.33 MFlops :       0.00 Sec : 7744
    122 :    60161.25 MFlops :       0.00 Sec : 7808
    123 :    53613.74 MFlops :       0.00 Sec : 7872
    124 :    61634.05 MFlops :       0.00 Sec : 7936
    125 :    58835.23 MFlops :       0.00 Sec : 8000
    126 :    60261.41 MFlops :       0.00 Sec : 8064
    127 :    57771.49 MFlops :       0.00 Sec : 8128
    128 :    75136.00 MFlops :       0.00 Sec : 8192
    129 :    43118.58 MFlops :       0.00 Sec : 8256
    130 :    43472.39 MFlops :       0.00 Sec : 8320
    131 :    34258.76 MFlops :       0.00 Sec : 8384
    132 :    41772.88 MFlops :       0.00 Sec : 8448
    133 :    38992.27 MFlops :       0.00 Sec : 8512
    134 :    40384.89 MFlops :       0.00 Sec : 8576
    135 :    38382.35 MFlops :       0.00 Sec : 8640
    136 :    37479.46 MFlops :       0.00 Sec : 8704
    137 :    42624.12 MFlops :       0.00 Sec : 8768
    138 :    39605.48 MFlops :       0.00 Sec : 8832
    139 :    42912.48 MFlops :       0.00 Sec : 8896
    140 :    42815.29 MFlops :       0.00 Sec : 8960
    141 :    40856.95 MFlops :       0.00 Sec : 9024
    142 :    49321.95 MFlops :       0.00 Sec : 9088
    143 :    42160.13 MFlops :       0.00 Sec : 9152
    144 :    59116.66 MFlops :       0.00 Sec : 9216
    145 :    47577.06 MFlops :       0.00 Sec : 9280
    146 :    50968.42 MFlops :       0.00 Sec : 9344
    147 :    58527.78 MFlops :       0.00 Sec : 9408
    148 :    55853.66 MFlops :       0.00 Sec : 9472
    149 :    57745.34 MFlops :       0.00 Sec : 9536
    150 :    60510.14 MFlops :       0.00 Sec : 9600
    151 :    54381.57 MFlops :       0.00 Sec : 9664
    152 :    56823.90 MFlops :       0.00 Sec : 9728
    153 :    51099.81 MFlops :       0.00 Sec : 9792
    154 :    57693.17 MFlops :       0.00 Sec : 9856
    155 :    55521.35 MFlops :       0.00 Sec : 9920
    156 :    64587.33 MFlops :       0.00 Sec : 9984
    157 :    58357.61 MFlops :       0.00 Sec : 10048
    158 :    59481.61 MFlops :       0.00 Sec : 10112
    159 :    58621.49 MFlops :       0.00 Sec : 10176
    160 :    64714.29 MFlops :       0.00 Sec : 10240
    161 :    58922.57 MFlops :       0.00 Sec : 10304
    162 :    60674.52 MFlops :       0.00 Sec : 10368
    163 :    50421.33 MFlops :       0.00 Sec : 10432
    164 :    62283.36 MFlops :       0.00 Sec : 10496
    165 :    59035.15 MFlops :       0.00 Sec : 10560
    166 :    58382.52 MFlops :       0.00 Sec : 10624
    167 :    56718.72 MFlops :       0.00 Sec : 10688
    168 :    64888.99 MFlops :       0.00 Sec : 10752
    169 :    58784.09 MFlops :       0.00 Sec : 10816
    170 :    55271.61 MFlops :       0.00 Sec : 10880
    171 :    56734.97 MFlops :       0.00 Sec : 10944
    172 :    62549.07 MFlops :       0.00 Sec : 11008
    173 :    61927.77 MFlops :       0.00 Sec : 11072
    174 :    63009.42 MFlops :       0.00 Sec : 11136
    175 :    62969.03 MFlops :       0.00 Sec : 11200
    176 :    89362.37 MFlops :       0.00 Sec : 11264
    177 :    75903.20 MFlops :       0.00 Sec : 11328
    178 :    76411.04 MFlops :       0.00 Sec : 11392
    179 :    73224.77 MFlops :       0.00 Sec : 11456
    180 :    66187.18 MFlops :       0.00 Sec : 11520
    181 :    72237.27 MFlops :       0.00 Sec : 11584
    182 :    79260.10 MFlops :       0.00 Sec : 11648
    183 :    83042.16 MFlops :       0.00 Sec : 11712
    184 :    84412.82 MFlops :       0.00 Sec : 11776
    185 :    77139.91 MFlops :       0.00 Sec : 11840
    186 :    80618.13 MFlops :       0.00 Sec : 11904
    187 :    74864.48 MFlops :       0.00 Sec : 11968
    188 :    88245.32 MFlops :       0.00 Sec : 12032
    189 :    84587.60 MFlops :       0.00 Sec : 12096
    190 :    88442.23 MFlops :       0.00 Sec : 12160
    191 :    86489.08 MFlops :       0.00 Sec : 12224
    192 :   103303.74 MFlops :       0.00 Sec : 12288
    193 :    66772.60 MFlops :       0.00 Sec : 12352
    194 :    76361.15 MFlops :       0.00 Sec : 12416
    195 :    67922.76 MFlops :       0.00 Sec : 12480
    196 :    67122.77 MFlops :       0.00 Sec : 12544
    197 :    68156.71 MFlops :       0.00 Sec : 12608
    198 :    68284.65 MFlops :       0.00 Sec : 12672
    199 :    66254.41 MFlops :       0.00 Sec : 12736
    200 :    78139.71 MFlops :       0.00 Sec : 12800
