From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 134x134 :   17483.04 MFlops   0.000367 s
 135x135 :   18639.20 MFlops   0.000352 s
 136x136 :   19165.38 MFlops   0.000350 s
 137x137 :    8625.08 MFlops   0.000795 s
 138x138 :   21630.22 MFlops   0.000324 s
 139x139 :   20940.50 MFlops   0.000342 s
 140x140 :   22308.94 MFlops   0.000328 s
 141x141 :   19568.73 MFlops   0.000382 s
 142x142 :   23421.58 MFlops   0.000326 s
 143x143 :   23487.61 MFlops   0.000332 s
 144x144 :   24056.27 MFlops   0.000331 s
 145x145 :   23910.78 MFlops   0.000340 s
 146x146 :   23916.51 MFlops   0.000347 s
 147x147 :   23861.21 MFlops   0.000355 s
 148x148 :   23114.38 MFlops   0.000374 s
 149x149 :   23970.64 MFlops   0.000368 s
 150x150 :   24523.16 MFlops   0.000367 s
 151x151 :   23909.38 MFlops   0.000384 s
 152x152 :   23066.06 MFlops   0.000406 s
 153x153 :   24872.06 MFlops   0.000384 s
 154x154 :   23468.36 MFlops   0.000415 s
 155x155 :   22775.99 MFlops   0.000436 s
 156x156 :   22497.28 MFlops   0.000450 s
 157x157 :   23669.07 MFlops   0.000436 s
 158x158 :   24924.56 MFlops   0.000422 s
 159x159 :   25044.73 MFlops   0.000428 s
 160x160 :   23489.61 MFlops   0.000465 s
 161x161 :   25235.26 MFlops   0.000441 s
 162x162 :   25420.20 MFlops   0.000446 s
 163x163 :   25326.01 MFlops   0.000456 s
 164x164 :   25350.25 MFlops   0.000464 s
 165x165 :   25165.97 MFlops   0.000476 s
 166x166 :   26402.86 MFlops   0.000462 s
 167x167 :   25821.00 MFlops   0.000481 s
 168x168 :   26563.76 MFlops   0.000476 s
 169x169 :   30793.04 MFlops   0.000418 s
 170x170 :   31045.81 MFlops   0.000422 s
 171x171 :   30865.50 MFlops   0.000432 s
 172x172 :   31703.73 MFlops   0.000428 s
 173x173 :   31740.79 MFlops   0.000435 s
 174x174 :   32368.81 MFlops   0.000434 s
 175x175 :   32261.10 MFlops   0.000443 s
 176x176 :   33344.20 MFlops   0.000436 s
 177x177 :   24201.78 MFlops   0.000611 s
 178x178 :   33053.49 MFlops   0.000455 s
 179x179 :   28375.21 MFlops   0.000539 s
 180x180 :   33301.93 MFlops   0.000467 s
 181x181 :   33360.01 MFlops   0.000474 s
 182x182 :   34424.37 MFlops   0.000467 s
 183x183 :   29340.45 MFlops   0.000557 s
 184x184 :   29453.92 MFlops   0.000564 s
 185x185 :   29725.94 MFlops   0.000568 s
 186x186 :   29585.54 MFlops   0.000580 s
 187x187 :   30013.55 MFlops   0.000581 s
 188x188 :   30762.37 MFlops   0.000576 s
 189x189 :   30514.21 MFlops   0.000590 s
 190x190 :   30433.72 MFlops   0.000601 s
 191x191 :   31333.88 MFlops   0.000593 s
 192x192 :   29959.31 MFlops   0.000630 s
 193x193 :   31739.77 MFlops   0.000604 s
 194x194 :   35400.65 MFlops   0.000550 s
 195x195 :   35058.51 MFlops   0.000564 s
 196x196 :   33859.63 MFlops   0.000593 s
 197x197 :   34731.96 MFlops   0.000587 s
 198x198 :   37981.12 MFlops   0.000545 s
 199x199 :   36675.27 MFlops   0.000573 s
 200x200 :   38300.42 MFlops   0.000557 s
