From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
    115 :    15035.82 MFlops :       0.00 Sec : 7360
    116 :    14985.01 MFlops :       0.00 Sec : 7424
    117 :    15049.57 MFlops :       0.00 Sec : 7488
    118 :    15223.65 MFlops :       0.00 Sec : 7552
    119 :    15399.42 MFlops :       0.00 Sec : 7616
    120 :    15367.79 MFlops :       0.00 Sec : 7680
    121 :    13649.08 MFlops :       0.00 Sec : 7744
    122 :    14155.59 MFlops :       0.00 Sec : 7808
    123 :    14255.68 MFlops :       0.00 Sec : 7872
    124 :    15131.71 MFlops :       0.00 Sec : 7936
    125 :    15227.94 MFlops :       0.00 Sec : 8000
    126 :    16571.89 MFlops :       0.00 Sec : 8064
    127 :    17517.81 MFlops :       0.00 Sec : 8128
    128 :    21384.86 MFlops :       0.00 Sec : 8192
    129 :    17352.60 MFlops :       0.00 Sec : 8256
    130 :    17133.24 MFlops :       0.00 Sec : 8320
    131 :    16286.95 MFlops :       0.00 Sec : 8384
    132 :    17937.76 MFlops :       0.00 Sec : 8448
    133 :    16770.87 MFlops :       0.00 Sec : 8512
    134 :    17626.55 MFlops :       0.00 Sec : 8576
    135 :    16992.19 MFlops :       0.00 Sec : 8640
    136 :    12635.12 MFlops :       0.00 Sec : 8704
    137 :    18839.39 MFlops :       0.00 Sec : 8768
    138 :    18839.36 MFlops :       0.00 Sec : 8832
    139 :    18359.46 MFlops :       0.00 Sec : 8896
    140 :    19154.21 MFlops :       0.00 Sec : 8960
    141 :    18405.85 MFlops :       0.00 Sec : 9024
    142 :    18988.95 MFlops :       0.00 Sec : 9088
    143 :    18558.53 MFlops :       0.00 Sec : 9152
    144 :    18683.09 MFlops :       0.00 Sec : 9216
    145 :    18216.44 MFlops :       0.00 Sec : 9280
    146 :    19473.78 MFlops :       0.00 Sec : 9344
    147 :    15492.65 MFlops :       0.00 Sec : 9408
    148 :    19638.05 MFlops :       0.00 Sec : 9472
    149 :    19418.79 MFlops :       0.00 Sec : 9536
    150 :    22277.36 MFlops :       0.00 Sec : 9600
    151 :    22175.01 MFlops :       0.00 Sec : 9664
    152 :    22840.98 MFlops :       0.00 Sec : 9728
    153 :    22522.66 MFlops :       0.00 Sec : 9792
    154 :    23411.72 MFlops :       0.00 Sec : 9856
    155 :    23530.48 MFlops :       0.00 Sec : 9920
    156 :    25315.64 MFlops :       0.00 Sec : 9984
    157 :    24338.72 MFlops :       0.00 Sec : 10048
    158 :    23058.95 MFlops :       0.00 Sec : 10112
    159 :    25646.90 MFlops :       0.00 Sec : 10176
    160 :    29069.52 MFlops :       0.00 Sec : 10240
    161 :    26374.87 MFlops :       0.00 Sec : 10304
    162 :    26491.69 MFlops :       0.00 Sec : 10368
    163 :    25892.04 MFlops :       0.00 Sec : 10432
    164 :    27358.11 MFlops :       0.00 Sec : 10496
    165 :    26858.33 MFlops :       0.00 Sec : 10560
    166 :    26985.70 MFlops :       0.00 Sec : 10624
    167 :    26533.65 MFlops :       0.00 Sec : 10688
    168 :    27247.76 MFlops :       0.00 Sec : 10752
    169 :    26697.77 MFlops :       0.00 Sec : 10816
    170 :    27519.20 MFlops :       0.00 Sec : 10880
    171 :    22889.63 MFlops :       0.00 Sec : 10944
    172 :    25783.59 MFlops :       0.00 Sec : 11008
    173 :    25365.25 MFlops :       0.00 Sec : 11072
    174 :    25432.89 MFlops :       0.00 Sec : 11136
    175 :    25968.98 MFlops :       0.00 Sec : 11200
    176 :    27627.30 MFlops :       0.00 Sec : 11264
    177 :    26201.46 MFlops :       0.00 Sec : 11328
    178 :    26460.36 MFlops :       0.00 Sec : 11392
    179 :    27295.25 MFlops :       0.00 Sec : 11456
    180 :    26520.21 MFlops :       0.00 Sec : 11520
    181 :    25815.94 MFlops :       0.00 Sec : 11584
    182 :    27321.74 MFlops :       0.00 Sec : 11648
    183 :    27586.89 MFlops :       0.00 Sec : 11712
    184 :    25932.46 MFlops :       0.00 Sec : 11776
