From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
    114 :     5091.24 MFlops :       0.01 Sec : 14820
    115 :     6089.51 MFlops :       0.01 Sec : 14950
    116 :     6643.77 MFlops :       0.01 Sec : 15080
    117 :     4563.41 MFlops :       0.01 Sec : 15210
    118 :     7589.65 MFlops :       0.01 Sec : 15340
    119 :     9448.52 MFlops :       0.00 Sec : 15470
    120 :     4742.36 MFlops :       0.01 Sec : 15600
    121 :     7583.35 MFlops :       0.01 Sec : 15730
    122 :     9367.41 MFlops :       0.01 Sec : 15860
    123 :     4142.43 MFlops :       0.01 Sec : 15990
    124 :     9841.48 MFlops :       0.01 Sec : 16120
    125 :      635.14 MFlops :       0.08 Sec : 16250
    126 :     5326.65 MFlops :       0.01 Sec : 16380
    127 :     9861.75 MFlops :       0.01 Sec : 16510
    128 :     4440.53 MFlops :       0.01 Sec : 16640
    129 :     8910.98 MFlops :       0.01 Sec : 16770
    130 :    10941.37 MFlops :       0.01 Sec : 16900
    131 :    10180.98 MFlops :       0.01 Sec : 17030
    132 :    10036.15 MFlops :       0.01 Sec : 17160
    133 :    10216.88 MFlops :       0.01 Sec : 17290
    134 :     6165.71 MFlops :       0.01 Sec : 17420
    135 :     3825.99 MFlops :       0.02 Sec : 17550
    136 :    11148.28 MFlops :       0.01 Sec : 17680
    137 :     4002.35 MFlops :       0.02 Sec : 17810
    138 :     7527.15 MFlops :       0.01 Sec : 17940
    139 :    10239.26 MFlops :       0.01 Sec : 18070
    140 :     3629.53 MFlops :       0.02 Sec : 18200
    141 :     9907.22 MFlops :       0.01 Sec : 18330
    142 :     7014.36 MFlops :       0.01 Sec : 18460
    143 :     9144.22 MFlops :       0.01 Sec : 18590
    144 :     7362.89 MFlops :       0.01 Sec : 18720
    145 :     8194.19 MFlops :       0.01 Sec : 18850
    146 :     6848.52 MFlops :       0.01 Sec : 18980
    147 :     9581.61 MFlops :       0.01 Sec : 19110
    148 :     6829.60 MFlops :       0.01 Sec : 19240
    149 :    10186.94 MFlops :       0.01 Sec : 19370
    150 :     6020.99 MFlops :       0.01 Sec : 19500
    151 :     9894.44 MFlops :       0.01 Sec : 19630
    152 :     9303.34 MFlops :       0.01 Sec : 19760
    153 :     7479.61 MFlops :       0.01 Sec : 19890
    154 :     6485.31 MFlops :       0.01 Sec : 20020
    155 :    10465.32 MFlops :       0.01 Sec : 20150
    156 :     6715.91 MFlops :       0.01 Sec : 20280
    157 :     7008.82 MFlops :       0.01 Sec : 20410
    158 :    10363.61 MFlops :       0.01 Sec : 20540
    159 :     6787.98 MFlops :       0.02 Sec : 20670
    160 :     6599.82 MFlops :       0.02 Sec : 20800
    161 :    10060.66 MFlops :       0.01 Sec : 20930
    162 :     5531.59 MFlops :       0.02 Sec : 21060
    163 :     9559.74 MFlops :       0.01 Sec : 21190
    164 :     8571.23 MFlops :       0.01 Sec : 21320
    165 :     6976.39 MFlops :       0.02 Sec : 21450
    166 :     7264.25 MFlops :       0.02 Sec : 21580
    167 :     9699.52 MFlops :       0.01 Sec : 21710
    168 :     8494.16 MFlops :       0.01 Sec : 21840
