From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
    130x130 :     5007.41 MFlops   0.000027 sec
    131x131 :    13728.80 MFlops   0.000010 sec
    132x132 :    12672.00 MFlops   0.000011 sec
    133x133 :    12864.73 MFlops   0.000011 sec
    134x134 :    13058.91 MFlops   0.000011 sec
    135x135 :    13254.55 MFlops   0.000011 sec
    136x136 :    13451.64 MFlops   0.000011 sec
    137x137 :    13650.18 MFlops   0.000011 sec
    138x138 :    15235.20 MFlops   0.000010 sec
    139x139 :    14051.64 MFlops   0.000011 sec
    140x140 :    14254.55 MFlops   0.000011 sec
    141x141 :    14458.91 MFlops   0.000011 sec
    142x142 :    14664.73 MFlops   0.000011 sec
    143x143 :    13632.67 MFlops   0.000012 sec
    144x144 :    13824.00 MFlops   0.000012 sec
    145x145 :    14016.67 MFlops   0.000012 sec
    146x146 :    13117.54 MFlops   0.000013 sec
    147x147 :    13297.85 MFlops   0.000013 sec
    148x148 :    13479.38 MFlops   0.000013 sec
    149x149 :    13662.15 MFlops   0.000013 sec
    150x150 :    12857.14 MFlops   0.000014 sec
    151x151 :     5884.13 MFlops   0.000031 sec
    152x152 :    13202.29 MFlops   0.000014 sec
    153x153 :    14405.54 MFlops   0.000013 sec
    154x154 :      122.72 MFlops   0.001546 sec
    155x155 :      114.88 MFlops   0.001673 sec
    156x156 :    16224.00 MFlops   0.000012 sec
    157x157 :    15168.62 MFlops   0.000013 sec
    158x158 :    19971.20 MFlops   0.000010 sec
    159x159 :    16854.00 MFlops   0.000012 sec
    160x160 :      135.81 MFlops   0.001508 sec
    161x161 :    17280.67 MFlops   0.000012 sec
    162x162 :    19086.55 MFlops   0.000011 sec
    163x163 :    17712.67 MFlops   0.000012 sec
    164x164 :    19560.73 MFlops   0.000011 sec
    165x165 :    14520.00 MFlops   0.000015 sec
    166x166 :    15746.29 MFlops   0.000014 sec
    167x167 :    14874.13 MFlops   0.000015 sec
    168x168 :    15052.80 MFlops   0.000015 sec
    169x169 :    16320.57 MFlops   0.000014 sec
    170x170 :    15413.33 MFlops   0.000015 sec
    171x171 :    15595.20 MFlops   0.000015 sec
    172x172 :    14792.00 MFlops   0.000016 sec
    173x173 :    15962.13 MFlops   0.000015 sec
    174x174 :    16147.20 MFlops   0.000015 sec
    175x175 :    15312.50 MFlops   0.000016 sec
    176x176 :    16520.53 MFlops   0.000015 sec
    177x177 :    13924.00 MFlops   0.000018 sec
    178x178 :    16898.13 MFlops   0.000015 sec
    179x179 :      915.46 MFlops   0.000280 sec
    180x180 :    14400.00 MFlops   0.000018 sec
    181x181 :     1323.68 MFlops   0.000198 sec
    182x182 :    13249.60 MFlops   0.000020 sec
    183x183 :    14100.63 MFlops   0.000019 sec
    184x184 :     9028.27 MFlops   0.000030 sec
    185x185 :    14410.53 MFlops   0.000019 sec
    186x186 :     6589.71 MFlops   0.000042 sec
    187x187 :    13987.60 MFlops   0.000020 sec
    188x188 :    14881.68 MFlops   0.000019 sec
    189x189 :    17860.50 MFlops   0.000016 sec
    190x190 :    22215.38 MFlops   0.000013 sec
    191x191 :    24320.67 MFlops   0.000012 sec
    192x192 :    22685.54 MFlops   0.000013 sec
    193x193 :    16555.11 MFlops   0.000018 sec
    194x194 :    20072.53 MFlops   0.000015 sec
    195x195 :    17894.12 MFlops   0.000017 sec
    196x196 :    19208.00 MFlops   0.000016 sec
    197x197 :    18263.06 MFlops   0.000017 sec
    198x198 :    19602.00 MFlops   0.000016 sec
    199x199 :    19800.50 MFlops   0.000016 sec
    200x200 :    15238.10 MFlops   0.000021 sec
