From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
     75 :   1.250144e-14     9146.34 MFlops    7500.00 MFlops    9069.77 MFlops
     76 :   3.633383e-14     9595.10 MFlops    6601.14 MFlops    9432.64 MFlops
     77 :   1.374176e-15     5852.99 MFlops    6776.00 MFlops    5883.04 MFlops
     78 :   9.307228e-16     9373.87 MFlops    6953.14 MFlops    9254.54 MFlops
     79 :   1.844529e-14     9739.04 MFlops    8321.33 MFlops    9678.71 MFlops
     80 :   3.857115e-15        5.05 MFlops   10240.00 MFlops       5.24 MFlops
     81 :   7.985560e-15    12653.36 MFlops    8748.00 MFlops   12454.78 MFlops
     82 :   4.282340e-15    14274.90 MFlops    8965.33 MFlops   13982.63 MFlops
     83 :   8.969692e-15    14384.58 MFlops    9185.33 MFlops   14106.05 MFlops
     84 :   1.665008e-14    14368.58 MFlops    9408.00 MFlops   14112.00 MFlops
     85 :   2.210545e-15    14753.75 MFlops    8257.14 MFlops   14368.36 MFlops
     86 :   3.294288e-14    14749.12 MFlops    9861.33 MFlops   14506.75 MFlops
     87 :   1.716858e-14    15138.00 MFlops    8650.29 MFlops   14768.78 MFlops
     88 :   3.096092e-15    14895.56 MFlops   10325.33 MFlops   14681.33 MFlops
     89 :   1.090116e-14    14802.50 MFlops   10561.33 MFlops   14611.17 MFlops
     90 :   9.491903e-15    15307.09 MFlops    9257.14 MFlops   14991.04 MFlops
     91 :   3.706208e-15     3813.14 MFlops    9464.00 MFlops    3887.21 MFlops
     92 :   6.977312e-15    15156.94 MFlops    9673.14 MFlops   14890.37 MFlops
     93 :   1.801652e-15    15321.09 MFlops    9884.57 MFlops   15062.20 MFlops
     94 :   4.058970e-15    15488.75 MFlops   10098.29 MFlops   15237.19 MFlops
     95 :   8.679523e-15    14655.98 MFlops    8022.22 MFlops   14294.14 MFlops
     96 :   8.773383e-15    16384.00 MFlops    8192.00 MFlops   15902.12 MFlops
     97 :   7.262959e-15    16117.85 MFlops    9409.00 MFlops   15780.29 MFlops
     98 :   7.853057e-15    17073.78 MFlops    8536.89 MFlops   16581.26 MFlops
     99 :   1.842807e-13    17482.86 MFlops    9801.00 MFlops   17088.92 MFlops
    100 :   1.713721e-14    17660.04 MFlops    8888.89 MFlops   17166.67 MFlops
    101 :   4.029524e-14    17611.98 MFlops    9067.56 MFlops   17145.92 MFlops
    102 :   1.037251e-14    18740.98 MFlops    8323.20 MFlops   18093.91 MFlops
    103 :   1.501794e-14    17448.73 MFlops    9430.22 MFlops   17038.70 MFlops
    104 :   2.055979e-16    19228.44 MFlops    8652.80 MFlops   18591.36 MFlops
    105 :   6.651961e-15    19293.75 MFlops    9800.00 MFlops   18788.17 MFlops
    106 :   2.369599e-16    19018.22 MFlops    8988.80 MFlops   18451.59 MFlops
    107 :   6.235385e-15    19679.41 MFlops    9159.20 MFlops   19081.67 MFlops
    108 :   4.445653e-16    20115.16 MFlops    9331.20 MFlops   19505.90 MFlops
    109 :   6.731416e-16    20434.38 MFlops    8640.73 MFlops   19713.66 MFlops
    110 :   8.022095e-15    20398.47 MFlops    8800.00 MFlops   19708.83 MFlops
    111 :   3.476377e-14    20604.61 MFlops    8960.73 MFlops   19923.32 MFlops
    112 :   1.859183e-14    21166.52 MFlops    8362.67 MFlops   20353.58 MFlops
    113 :   1.297268e-14    21258.15 MFlops    8512.67 MFlops   20465.69 MFlops
    114 :   1.323285e-14    12582.11 MFlops    3150.55 MFlops   11685.16 MFlops
    115 :   3.222941e-15    13518.89 MFlops    3306.25 MFlops   12534.54 MFlops
    116 :   1.459430e-15    15531.30 MFlops    3166.12 MFlops   14139.20 MFlops
    117 :   5.100567e-15    15760.03 MFlops    3318.55 MFlops   14409.47 MFlops
    118 :   6.368263e-15    15990.58 MFlops    3375.52 MFlops   14634.56 MFlops
    119 :   2.869483e-13    15992.02 MFlops    3432.97 MFlops   14672.12 MFlops
    120 :   4.177967e-14    16340.43 MFlops    3291.43 MFlops   14899.68 MFlops
    121 :   2.179645e-14    16123.42 MFlops    3444.94 MFlops   14805.17 MFlops
    122 :   1.800027e-15    15569.97 MFlops    3402.06 MFlops   14339.11 MFlops
    123 :   1.979012e-14    15803.54 MFlops    3458.06 MFlops   14565.46 MFlops
    124 :   2.534738e-14    15839.04 MFlops    3324.54 MFlops   14545.64 MFlops
    125 :   2.313655e-14    16174.95 MFlops    3472.22 MFlops   14897.58 MFlops
    126 :   2.312725e-14    16362.99 MFlops    3528.00 MFlops   15086.59 MFlops
    127 :   2.685387e-15    16452.88 MFlops    3584.22 MFlops   15193.99 MFlops
    128 :   5.865318e-16    16895.48 MFlops    3542.49 MFlops   15552.93 MFlops
    129 :   1.137298e-13    14455.82 MFlops    3503.37 MFlops   13496.85 MFlops
    130 :   3.623400e-14    22620.33 MFlops    7952.94 MFlops   21716.91 MFlops
    131 :   2.804132e-15     3837.97 MFlops    8075.76 MFlops    3883.60 MFlops
    132 :   1.826878e-14      499.41 MFlops    8712.00 MFlops     510.10 MFlops
    133 :   2.933583e-15    20369.15 MFlops    8324.24 MFlops   19739.11 MFlops
    134 :   5.764367e-14    24212.37 MFlops    8449.88 MFlops   23262.15 MFlops
    135 :   2.783153e-15    24946.77 MFlops    8576.47 MFlops   23952.86 MFlops
    136 :   1.211661e-14    25505.26 MFlops    8220.44 MFlops   24398.05 MFlops
    137 :   4.220898e-15    24843.99 MFlops    8341.78 MFlops   23833.65 MFlops
    138 :   8.977487e-15    25484.33 MFlops    8464.00 MFlops   24438.72 MFlops
    139 :   1.402028e-13    24113.30 MFlops    8587.11 MFlops   23226.09 MFlops
    140 :   6.484176e-15    26227.00 MFlops    8252.63 MFlops   25080.98 MFlops
    141 :   1.082367e-13    26228.97 MFlops    8836.00 MFlops   25195.72 MFlops
    142 :   1.956861e-14    26238.61 MFlops    8490.11 MFlops   25150.80 MFlops
    143 :   7.421305e-15    26167.40 MFlops    8610.11 MFlops   25115.07 MFlops
    144 :   1.177172e-13    26542.08 MFlops    8730.95 MFlops   25481.23 MFlops
    145 :   6.046193e-15    26830.58 MFlops    8852.63 MFlops   25769.77 MFlops
    146 :   2.272468e-14    26015.77 MFlops    8120.38 MFlops   24910.46 MFlops
    147 :   1.229810e-15    26976.84 MFlops    8643.60 MFlops   25879.04 MFlops
    148 :   4.714695e-14    27707.62 MFlops    8761.60 MFlops   26566.30 MFlops
    149 :   2.823188e-14     4401.80 MFlops    8880.40 MFlops    4446.05 MFlops
    150 :   2.461007e-14    27355.62 MFlops    9000.00 MFlops   26303.72 MFlops
    151 :   2.936984e-14    27571.18 MFlops    9120.40 MFlops   26525.81 MFlops
    152 :   1.218404e-14    27954.69 MFlops    9241.60 MFlops   26900.43 MFlops
    153 :   4.358040e-14    28340.87 MFlops    8917.71 MFlops   27201.52 MFlops
    154 :   7.080644e-15    27512.35 MFlops    8624.00 MFlops   26407.18 MFlops
    155 :   7.114492e-15    28051.79 MFlops    8736.36 MFlops   26921.63 MFlops
    156 :   1.252355e-14    28357.92 MFlops    9270.86 MFlops   27297.52 MFlops
    157 :   2.372627e-16    28586.47 MFlops    8963.27 MFlops   27459.29 MFlops
    158 :   1.273137e-14    24014.08 MFlops    9077.82 MFlops   23299.73 MFlops
    159 :   3.648614e-15    27000.36 MFlops    9193.09 MFlops   26065.37 MFlops
    160 :   2.985753e-14    29520.72 MFlops    8904.35 MFlops   28314.16 MFlops
    161 :   5.895344e-14    23330.71 MFlops    9425.82 MFlops   22717.67 MFlops
    162 :   1.180574e-14    32026.58 MFlops    9128.35 MFlops   30629.60 MFlops
    163 :   7.639240e-15    31902.37 MFlops    8856.33 MFlops   30469.46 MFlops
    164 :   2.677145e-14     5481.14 MFlops    9355.13 MFlops    5522.22 MFlops
    165 :   1.029897e-14    33367.69 MFlops    9075.00 MFlops   31845.43 MFlops
    166 :   7.723203e-15    33978.06 MFlops    9185.33 MFlops   32424.47 MFlops
    167 :   1.298284e-14    32856.88 MFlops    8924.48 MFlops   31372.24 MFlops
    168 :   6.419637e-14    33539.40 MFlops    9031.68 MFlops   32015.28 MFlops
    169 :   6.462500e-15    32178.73 MFlops    9139.52 MFlops   30823.48 MFlops
    170 :   7.148129e-15    33421.77 MFlops    9248.00 MFlops   31972.50 MFlops
    171 :   4.059087e-14    33334.74 MFlops    9357.12 MFlops   31924.29 MFlops
    172 :   2.048718e-14    22728.97 MFlops    3480.47 MFlops   20760.70 MFlops
    173 :   1.949084e-15    21079.76 MFlops    3627.76 MFlops   19482.22 MFlops
    174 :   3.454561e-14    21220.64 MFlops    3615.04 MFlops   19602.57 MFlops
    175 :   8.341830e-15    21491.23 MFlops    3656.72 MFlops   19858.83 MFlops
    176 :   1.726031e-13    21796.21 MFlops    3591.42 MFlops   20089.51 MFlops
    177 :   1.442777e-13    21842.38 MFlops    3685.76 MFlops   20185.13 MFlops
    178 :   2.916070e-14    21733.15 MFlops    3673.51 MFlops   20095.68 MFlops
    179 :   4.569972e-14    21848.91 MFlops    4836.38 MFlops   20651.48 MFlops
    180 :   4.267353e-15    34560.00 MFlops    8937.93 MFlops   33008.77 MFlops
    181 :   4.962182e-15    33787.70 MFlops    9360.29 MFlops   32408.73 MFlops
    182 :   2.603057e-14    35332.27 MFlops    9137.66 MFlops   33762.75 MFlops
    183 :   2.779164e-14    34697.73 MFlops    8930.40 MFlops   33154.78 MFlops
    184 :   8.549304e-15    35879.07 MFlops    9028.27 MFlops   34245.15 MFlops
    185 :   6.163848e-14    35771.89 MFlops    9126.67 MFlops   34179.55 MFlops
    186 :   1.283706e-13    35749.20 MFlops    9225.60 MFlops   34188.99 MFlops
    187 :   3.389324e-14    32716.46 MFlops    9325.07 MFlops   31470.03 MFlops
    188 :   2.231394e-14    36087.83 MFlops    9425.07 MFlops   34552.55 MFlops
    189 :   1.787209e-14    35863.31 MFlops    9218.32 MFlops   34313.61 MFlops
    190 :   2.379267e-14    20620.82 MFlops    3702.56 MFlops   19253.33 MFlops
    191 :   1.643611e-14    23730.51 MFlops    3741.64 MFlops   21919.67 MFlops
    192 :   4.109676e-16    23831.27 MFlops    3733.06 MFlops   22008.36 MFlops
    193 :   6.682534e-15    24297.62 MFlops    3772.05 MFlops   22429.51 MFlops
    194 :   3.259174e-14    23715.42 MFlops    3717.14 MFlops   21919.56 MFlops
    195 :   1.643428e-14    24084.04 MFlops    3755.56 MFlops   22258.54 MFlops
    196 :   2.230345e-14    12258.10 MFlops    9039.06 MFlops   12192.64 MFlops
    197 :   1.713108e-14    37068.48 MFlops    9408.24 MFlops   35502.80 MFlops
    198 :   9.350539e-15    35999.50 MFlops    9224.47 MFlops   34504.67 MFlops
    199 :   9.365565e-14    37864.74 MFlops    9051.66 MFlops   36155.49 MFlops
    200 :   4.729345e-14    37691.40 MFlops    8888.89 MFlops   35968.99 MFlops
