From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        1.60 MFlops
      2 :         inf MFlops
      3 :       54.00 MFlops
      4 :      512.00 MFlops
      5 :      250.00 MFlops
      6 :     1728.00 MFlops
      7 :     1372.00 MFlops
      8 :     4096.00 MFlops
      9 :      253.57 MFlops
     10 :     2666.67 MFlops
     11 :     2662.00 MFlops
     12 :     4608.00 MFlops
     13 :     3515.20 MFlops
     14 :     7317.33 MFlops
     15 :     4500.00 MFlops
     16 :     6553.60 MFlops
     17 :     5614.86 MFlops
     18 :     7776.00 MFlops
     19 :     7838.86 MFlops
     20 :     8000.00 MFlops
     21 :     9261.00 MFlops
     22 :     9464.89 MFlops
     23 :    12167.00 MFlops
     24 :    12288.00 MFlops
     25 :    12500.00 MFlops
     26 :    14060.80 MFlops
     27 :    15746.40 MFlops
     28 :    15965.09 MFlops
     29 :    19511.20 MFlops
     30 :    19636.36 MFlops
     31 :    21666.18 MFlops
     32 :    29127.11 MFlops
     33 :    22115.08 MFlops
     34 :    24187.08 MFlops
     35 :    24500.00 MFlops
     36 :    31104.00 MFlops
     37 :    25326.50 MFlops
     38 :    25822.12 MFlops
     39 :    27914.82 MFlops
     40 :    25600.00 MFlops
     41 :    27568.40 MFlops
     42 :    29635.20 MFlops
     43 :    28911.64 MFlops
     44 :    32451.05 MFlops
     45 :    31695.65 MFlops
     46 :    32445.33 MFlops
     47 :    33223.36 MFlops
     48 :     8346.57 MFlops
     49 :    36199.69 MFlops
     50 :    37037.04 MFlops
     51 :    39304.00 MFlops
     52 :    41661.63 MFlops
     53 :    34029.03 MFlops
     54 :    37050.35 MFlops
     55 :    38028.57 MFlops
     56 :    39025.78 MFlops
     57 :    41154.00 MFlops
     58 :    43358.22 MFlops
     59 :    45639.78 MFlops
     60 :    46702.70 MFlops
     61 :    49076.97 MFlops
     62 :    51530.38 MFlops
     63 :    55566.00 MFlops
     64 :    29959.31 MFlops
     65 :    59378.38 MFlops
     66 :    58973.54 MFlops
     67 :    60152.60 MFlops
     68 :    44918.86 MFlops
     69 :    48668.00 MFlops
     70 :    49890.91 MFlops
     71 :    51130.14 MFlops
     72 :    52385.68 MFlops
     73 :    54598.88 MFlops
     74 :    54945.63 MFlops
     75 :    54435.48 MFlops
     76 :    56642.06 MFlops
     77 :    56188.68 MFlops
     78 :    57521.45 MFlops
     79 :    58004.59 MFlops
     80 :    60235.29 MFlops
     81 :    59049.00 MFlops
     82 :    61263.11 MFlops
     83 :    62661.59 MFlops
     84 :    63221.76 MFlops
     85 :    52265.96 MFlops
     86 :    55309.22 MFlops
     87 :    56042.81 MFlops
     88 :    59258.43 MFlops
     89 :    59997.36 MFlops
     90 :    62042.55 MFlops
     91 :     9038.33 MFlops
     92 :    60480.62 MFlops
     93 :    62474.33 MFlops
     94 :    60960.29 MFlops
     95 :    67910.89 MFlops
     96 :    64344.44 MFlops
     97 :    61356.17 MFlops
     98 :    61717.51 MFlops
     99 :    62599.94 MFlops
    100 :    63492.06 MFlops
    101 :    61510.51 MFlops
    102 :    61968.35 MFlops
    103 :    62441.54 MFlops
    104 :    62061.46 MFlops
    105 :    63431.51 MFlops
    106 :    34647.74 MFlops
    107 :    48516.55 MFlops
    108 :    56936.14 MFlops
    109 :    65158.69 MFlops
    110 :    64926.83 MFlops
    111 :    65515.26 MFlops
    112 :    67301.94 MFlops
    113 :    64128.76 MFlops
    114 :    56982.46 MFlops
    115 :    57938.10 MFlops
    116 :    59747.22 MFlops
    117 :    59319.00 MFlops
    118 :    61710.12 MFlops
    119 :    61840.70 MFlops
    120 :    64297.67 MFlops
    121 :    24435.32 MFlops
    122 :    11148.72 MFlops
    123 :    67361.70 MFlops
    124 :    68399.07 MFlops
    125 :     7301.40 MFlops
    126 :    59490.74 MFlops
    127 :    14042.04 MFlops
    128 :    33487.46 MFlops
    129 :    77358.16 MFlops
    130 :    68925.49 MFlops
    131 :    69439.10 MFlops
    132 :    70228.03 MFlops
    133 :    69707.76 MFlops
    134 :    70508.54 MFlops
    135 :    70296.43 MFlops
    136 :    70362.41 MFlops
    137 :    44914.46 MFlops
    138 :    25059.09 MFlops
    139 :     8379.47 MFlops
    140 :    71042.07 MFlops
    141 :    71419.64 MFlops
    142 :    72032.40 MFlops
    143 :     6037.07 MFlops
    144 :    70052.41 MFlops
    145 :     9779.07 MFlops
    146 :    74766.03 MFlops
    147 :    75631.50 MFlops
    148 :    67713.67 MFlops
    149 :    68558.53 MFlops
    150 :    69053.71 MFlops
    151 :     9897.09 MFlops
    152 :    70766.91 MFlops
    153 :    70747.20 MFlops
    154 :    71965.79 MFlops
    155 :    67861.05 MFlops
    156 :    73538.32 MFlops
    157 :    40951.25 MFlops
    158 :    32631.33 MFlops
    159 :    76748.05 MFlops
    160 :    79341.40 MFlops
    161 :    77642.44 MFlops
    162 :    68711.56 MFlops
    163 :    72179.12 MFlops
    164 :    61907.99 MFlops
    165 :    73191.45 MFlops
    166 :    57268.18 MFlops
    167 :    74668.75 MFlops
    168 :    72948.18 MFlops
    169 :     5652.83 MFlops
    170 :    73879.70 MFlops
    171 :    42920.27 MFlops
    172 :    72822.15 MFlops
    173 :    74365.77 MFlops
    174 :    73678.66 MFlops
    175 :    74178.20 MFlops
    176 :    75850.80 MFlops
    177 :    67419.25 MFlops
    178 :    70167.99 MFlops
    179 :    70480.36 MFlops
    180 :    71778.46 MFlops
    181 :    72094.12 MFlops
