From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops		Time
    149 :    44402.00 MFlops   0.000001 sec
    150 :    45000.00 MFlops   0.000001 sec
    151 :    45602.00 MFlops   0.000001 sec
    152 :    23104.00 MFlops   0.000002 sec
    153 :    23409.00 MFlops   0.000002 sec
    154 :    47432.00 MFlops   0.000001 sec
    155 :    24025.00 MFlops   0.000002 sec
    156 :    48672.00 MFlops   0.000001 sec
    157 :    49298.00 MFlops   0.000001 sec
    158 :    49928.00 MFlops   0.000001 sec
    159 :    25281.00 MFlops   0.000002 sec
    160 :    51200.00 MFlops   0.000001 sec
    161 :    25921.00 MFlops   0.000002 sec
    162 :    26244.00 MFlops   0.000002 sec
    163 :    26569.00 MFlops   0.000002 sec
    164 :    26896.00 MFlops   0.000002 sec
    165 :    27225.00 MFlops   0.000002 sec
    166 :    55112.00 MFlops   0.000001 sec
    167 :    55778.00 MFlops   0.000001 sec
    168 :    56448.00 MFlops   0.000001 sec
    169 :    28561.00 MFlops   0.000002 sec
    170 :    57800.00 MFlops   0.000001 sec
    171 :    58482.00 MFlops   0.000001 sec
    172 :    59168.00 MFlops   0.000001 sec
    173 :    59858.00 MFlops   0.000001 sec
    174 :    30276.00 MFlops   0.000002 sec
    175 :    30625.00 MFlops   0.000002 sec
    176 :    30976.00 MFlops   0.000002 sec
    177 :    31329.00 MFlops   0.000002 sec
    178 :    31684.00 MFlops   0.000002 sec
    179 :    32041.00 MFlops   0.000002 sec
    180 :    32400.00 MFlops   0.000002 sec
    181 :    32761.00 MFlops   0.000002 sec
    182 :    33124.00 MFlops   0.000002 sec
    183 :    66978.00 MFlops   0.000001 sec
    184 :    33856.00 MFlops   0.000002 sec
    185 :    34225.00 MFlops   0.000002 sec
    186 :    34596.00 MFlops   0.000002 sec
    187 :    34969.00 MFlops   0.000002 sec
    188 :    35344.00 MFlops   0.000002 sec
    189 :    35721.00 MFlops   0.000002 sec
    190 :    36100.00 MFlops   0.000002 sec
    191 :    24320.67 MFlops   0.000003 sec
    192 :    36864.00 MFlops   0.000002 sec
    193 :    37249.00 MFlops   0.000002 sec
    194 :    37636.00 MFlops   0.000002 sec
    195 :    38025.00 MFlops   0.000002 sec
    196 :    25610.67 MFlops   0.000003 sec
    197 :    38809.00 MFlops   0.000002 sec
    198 :    39204.00 MFlops   0.000002 sec
    199 :    39601.00 MFlops   0.000002 sec
    200 :    40000.00 MFlops   0.000002 sec
