From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
     77 :   6.556511e-06    14493.11 MFlops   11858.00 MFlops   14373.33 MFlops
     78 :   1.943111e-05    14380.36 MFlops   12168.00 MFlops   14284.17 MFlops
     79 :   4.720688e-05    14940.58 MFlops    6241.00 MFlops   14215.61 MFlops
     80 :   8.404255e-06    17964.91 MFlops    6400.00 MFlops   16863.49 MFlops
     81 :   1.412630e-05    16871.14 MFlops    6561.00 MFlops   15974.61 MFlops
     82 :   1.579523e-05    16708.12 MFlops   13448.00 MFlops   16566.38 MFlops
     83 :   2.187490e-05    16573.54 MFlops   13778.00 MFlops   16457.06 MFlops
     84 :   1.871586e-05    17960.73 MFlops    7056.00 MFlops   17052.00 MFlops
     85 :   2.568960e-05    17059.03 MFlops    7225.00 MFlops   16302.56 MFlops
     86 :   2.133846e-05    16961.49 MFlops   14792.00 MFlops   16878.05 MFlops
     87 :   2.318621e-05    17560.08 MFlops    7569.00 MFlops   16820.00 MFlops
     88 :   8.881092e-06    19752.81 MFlops    7744.00 MFlops   18792.11 MFlops
     89 :   8.726120e-05    19582.47 MFlops    7921.00 MFlops   18685.44 MFlops
     90 :   1.937151e-05    20250.00 MFlops    8100.00 MFlops   19315.38 MFlops
     91 :   2.384186e-05    20095.23 MFlops    8281.00 MFlops   19220.10 MFlops
     92 :   8.940697e-06    20765.01 MFlops    8464.00 MFlops   19853.83 MFlops
     93 :   1.811981e-05    19860.67 MFlops    8649.00 MFlops   19087.45 MFlops
     94 :   5.865097e-05    19775.81 MFlops    8836.00 MFlops   19046.49 MFlops
     95 :   2.628565e-05    19709.77 MFlops    9025.00 MFlops   19020.43 MFlops
     96 :   2.360344e-05    22685.54 MFlops    2048.00 MFlops   17378.74 MFlops
     97 :   4.792213e-05    20980.99 MFlops    4704.50 MFlops   19008.08 MFlops
     98 :   3.921986e-05    21636.60 MFlops    4802.00 MFlops   19596.04 MFlops
     99 :   2.712011e-05    21562.20 MFlops    4900.50 MFlops   19602.00 MFlops
    100 :   4.303455e-05    22988.51 MFlops    5000.00 MFlops   20808.08 MFlops
    101 :   2.348423e-05    21464.60 MFlops    5100.50 MFlops   19646.37 MFlops
    102 :   1.585484e-05    22108.50 MFlops    5202.00 MFlops   20230.00 MFlops
    103 :   1.035333e-04    22075.29 MFlops    5304.50 MFlops   20262.23 MFlops
    104 :   2.586842e-05    24190.62 MFlops    7210.67 MFlops   22692.39 MFlops
