From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 133x133 :   57556.87 MFlops   0.000436 s
 134x134 :   57545.09 MFlops   0.000446 s
 135x135 :   57806.17 MFlops   0.000454 s
 136x136 :   56015.72 MFlops   0.000479 s
 137x137 :   58481.38 MFlops   0.000469 s
 138x138 :   59391.46 MFlops   0.000472 s
 139x139 :   60055.77 MFlops   0.000477 s
 140x140 :   59611.68 MFlops   0.000491 s
 141x141 :   47537.40 MFlops   0.000629 s
 142x142 :   53394.65 MFlops   0.000572 s
 143x143 :   54246.16 MFlops   0.000575 s
 144x144 :   53440.43 MFlops   0.000596 s
 145x145 :   53484.65 MFlops   0.000608 s
 146x146 :   54330.80 MFlops   0.000611 s
 147x147 :   54299.54 MFlops   0.000624 s
 148x148 :   55415.25 MFlops   0.000624 s
 149x149 :   55305.31 MFlops   0.000638 s
 150x150 :   56250.00 MFlops   0.000640 s
 151x151 :   44461.03 MFlops   0.000826 s
 152x152 :   54367.61 MFlops   0.000689 s
 153x153 :   58594.31 MFlops   0.000652 s
 154x154 :   55733.17 MFlops   0.000699 s
 155x155 :   58846.42 MFlops   0.000675 s
 156x156 :   56557.41 MFlops   0.000716 s
 157x157 :   60793.61 MFlops   0.000679 s
 158x158 :   61690.12 MFlops   0.000682 s
 159x159 :   69718.01 MFlops   0.000615 s
 160x160 :   60014.65 MFlops   0.000728 s
 161x161 :   67858.23 MFlops   0.000656 s
 162x162 :   73026.78 MFlops   0.000621 s
 163x163 :   72179.12 MFlops   0.000640 s
 164x164 :   72384.72 MFlops   0.000650 s
 165x165 :   70776.96 MFlops   0.000677 s
 166x166 :   76357.58 MFlops   0.000639 s
 167x167 :   74818.68 MFlops   0.000664 s
 168x168 :   72150.37 MFlops   0.000701 s
 169x169 :   62634.99 MFlops   0.000822 s
 170x170 :   61221.18 MFlops   0.000856 s
 171x171 :   57722.49 MFlops   0.000924 s
 172x172 :   63630.46 MFlops   0.000853 s
 173x173 :   63335.99 MFlops   0.000872 s
 174x174 :   62159.58 MFlops   0.000904 s
 175x175 :   69971.44 MFlops   0.000817 s
 176x176 :   77330.16 MFlops   0.000752 s
 177x177 :   77521.82 MFlops   0.000763 s
 178x178 :   57677.23 MFlops   0.001043 s
 179x179 :   77049.05 MFlops   0.000794 s
 180x180 :   77277.02 MFlops   0.000805 s
 181x181 :   78669.86 MFlops   0.000804 s
 182x182 :   78612.13 MFlops   0.000818 s
 183x183 :   75225.00 MFlops   0.000869 s
 184x184 :   64890.67 MFlops   0.001024 s
 185x185 :   68357.62 MFlops   0.000988 s
 186x186 :   68501.46 MFlops   0.001002 s
 187x187 :   67457.93 MFlops   0.001034 s
 188x188 :   69350.78 MFlops   0.001022 s
 189x189 :   35881.18 MFlops   0.002007 s
 190x190 :   81201.63 MFlops   0.000901 s
 191x191 :   82216.77 MFlops   0.000904 s
 192x192 :   82782.32 MFlops   0.000912 s
 193x193 :   82811.31 MFlops   0.000926 s
 194x194 :   82676.68 MFlops   0.000942 s
 195x195 :   84051.01 MFlops   0.000941 s
 196x196 :   41527.95 MFlops   0.001934 s
 197x197 :   70606.62 MFlops   0.001155 s
 198x198 :   69287.74 MFlops   0.001195 s
 199x199 :   72154.27 MFlops   0.001165 s
 200x200 :   72255.15 MFlops   0.001181 s
