From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
    115 :     4781.16 MFlops :       0.03 Sec : 3795
    116 :     5251.35 MFlops :       0.03 Sec : 3828
    117 :     5824.05 MFlops :       0.03 Sec : 3861
    118 :     5471.75 MFlops :       0.03 Sec : 3894
    119 :     5469.70 MFlops :       0.03 Sec : 3927
    120 :     4827.14 MFlops :       0.04 Sec : 3960
    121 :     5306.62 MFlops :       0.04 Sec : 3993
    122 :     5925.12 MFlops :       0.03 Sec : 4026
    123 :     5633.42 MFlops :       0.03 Sec : 4059
    124 :     5679.70 MFlops :       0.04 Sec : 4092
    125 :     5073.83 MFlops :       0.04 Sec : 4125
    126 :     5389.19 MFlops :       0.04 Sec : 4158
    127 :     5243.18 MFlops :       0.04 Sec : 4191
    128 :     5135.72 MFlops :       0.04 Sec : 4224
    129 :     5458.19 MFlops :       0.04 Sec : 4257
    130 :    10496.17 MFlops :       0.02 Sec : 4290
    131 :    10155.66 MFlops :       0.02 Sec : 4323
    132 :     9774.14 MFlops :       0.02 Sec : 4356
    133 :     9674.74 MFlops :       0.03 Sec : 4389
    134 :     9076.32 MFlops :       0.03 Sec : 4422
    135 :     9234.08 MFlops :       0.03 Sec : 4455
    136 :     9449.90 MFlops :       0.03 Sec : 4488
    137 :    10244.17 MFlops :       0.03 Sec : 4521
    138 :     9967.54 MFlops :       0.03 Sec : 4554
    139 :     9590.39 MFlops :       0.03 Sec : 4587
    140 :     9800.20 MFlops :       0.03 Sec : 4620
    141 :     9802.94 MFlops :       0.03 Sec : 4653
    142 :     9676.91 MFlops :       0.03 Sec : 4686
    143 :    10102.59 MFlops :       0.03 Sec : 4719
    144 :     9658.89 MFlops :       0.03 Sec : 4752
    145 :     9908.08 MFlops :       0.03 Sec : 4785
    146 :     9700.21 MFlops :       0.03 Sec : 4818
    147 :     9389.86 MFlops :       0.04 Sec : 4851
    148 :     9292.51 MFlops :       0.04 Sec : 4884
    149 :     9344.56 MFlops :       0.04 Sec : 4917
    150 :    13169.39 MFlops :       0.03 Sec : 4950
    151 :    12425.87 MFlops :       0.03 Sec : 4983
    152 :    12793.62 MFlops :       0.03 Sec : 5016
    153 :    12532.78 MFlops :       0.03 Sec : 5049
    154 :    12726.43 MFlops :       0.03 Sec : 5082
    155 :    12413.70 MFlops :       0.03 Sec : 5115
    156 :    13459.40 MFlops :       0.03 Sec : 5148
    157 :    13044.56 MFlops :       0.03 Sec : 5181
    158 :    13327.82 MFlops :       0.03 Sec : 5214
    159 :    13266.25 MFlops :       0.03 Sec : 5247
    160 :    12765.68 MFlops :       0.03 Sec : 5280
    161 :    13337.28 MFlops :       0.03 Sec : 5313
    162 :    14915.75 MFlops :       0.03 Sec : 5346
    163 :    15058.25 MFlops :       0.03 Sec : 5379
    164 :    14660.46 MFlops :       0.03 Sec : 5412
    165 :    14439.51 MFlops :       0.03 Sec : 5445
    166 :    14985.38 MFlops :       0.03 Sec : 5478
    167 :    13636.65 MFlops :       0.04 Sec : 5511
    168 :    14235.30 MFlops :       0.04 Sec : 5544
    169 :    13962.09 MFlops :       0.04 Sec : 5577
    170 :    15297.02 MFlops :       0.03 Sec : 5610
    171 :    14930.32 MFlops :       0.04 Sec : 5643
    172 :    15794.73 MFlops :       0.03 Sec : 5676
    173 :    14123.73 MFlops :       0.04 Sec : 5709
    174 :    14245.73 MFlops :       0.04 Sec : 5742
    175 :    14800.18 MFlops :       0.04 Sec : 5775
    176 :    15377.93 MFlops :       0.04 Sec : 5808
    177 :    14951.97 MFlops :       0.04 Sec : 5841
    178 :    15016.91 MFlops :       0.04 Sec : 5874
    179 :    14963.48 MFlops :       0.04 Sec : 5907
    180 :    15865.33 MFlops :       0.04 Sec : 5940
    181 :    16095.05 MFlops :       0.04 Sec : 5973
    182 :    15587.96 MFlops :       0.04 Sec : 6006
    183 :    15469.94 MFlops :       0.04 Sec : 6039
    184 :    14961.15 MFlops :       0.04 Sec : 6072
    185 :    16184.42 MFlops :       0.04 Sec : 6105
    186 :    15796.91 MFlops :       0.04 Sec : 6138
    187 :    14573.38 MFlops :       0.05 Sec : 6171
    188 :    16337.50 MFlops :       0.04 Sec : 6204
    189 :    16698.61 MFlops :       0.04 Sec : 6237
    190 :    15577.48 MFlops :       0.05 Sec : 6270
    191 :    15404.20 MFlops :       0.05 Sec : 6303
    192 :    15874.68 MFlops :       0.05 Sec : 6336
    193 :    14954.90 MFlops :       0.05 Sec : 6369
    194 :    16148.97 MFlops :       0.05 Sec : 6402
    195 :    16304.12 MFlops :       0.05 Sec : 6435
    196 :    17040.44 MFlops :       0.05 Sec : 6468
    197 :    16339.83 MFlops :       0.05 Sec : 6501
    198 :    17060.06 MFlops :       0.05 Sec : 6534
    199 :    17409.59 MFlops :       0.05 Sec : 6567
    200 :    17598.80 MFlops :       0.05 Sec : 6600
