From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops		Time
    140 :    13066.67 MFlops   0.000003 sec
    141 :    13254.00 MFlops   0.000003 sec
    142 :    13442.67 MFlops   0.000003 sec
    143 :    13632.67 MFlops   0.000003 sec
    144 :    13824.00 MFlops   0.000003 sec
    145 :    14016.67 MFlops   0.000003 sec
    146 :    14210.67 MFlops   0.000003 sec
    147 :    14406.00 MFlops   0.000003 sec
    148 :    14602.67 MFlops   0.000003 sec
    149 :    22201.00 MFlops   0.000002 sec
    150 :    15000.00 MFlops   0.000003 sec
    151 :    11400.50 MFlops   0.000004 sec
    152 :    15402.67 MFlops   0.000003 sec
    153 :    15606.00 MFlops   0.000003 sec
    154 :    15810.67 MFlops   0.000003 sec
    155 :    16016.67 MFlops   0.000003 sec
    156 :    16224.00 MFlops   0.000003 sec
    157 :    16432.67 MFlops   0.000003 sec
    158 :    16642.67 MFlops   0.000003 sec
    159 :    16854.00 MFlops   0.000003 sec
    160 :    17066.67 MFlops   0.000003 sec
    161 :      540.02 MFlops   0.000096 sec
    162 :        7.98 MFlops   0.006575 sec
    163 :    10627.60 MFlops   0.000005 sec
    164 :    13448.00 MFlops   0.000004 sec
    165 :    13612.50 MFlops   0.000004 sec
    166 :    18370.67 MFlops   0.000003 sec
    167 :    13944.50 MFlops   0.000004 sec
    168 :    14112.00 MFlops   0.000004 sec
    169 :    14280.50 MFlops   0.000004 sec
    170 :     2890.00 MFlops   0.000020 sec
    171 :    14620.50 MFlops   0.000004 sec
    172 :    14792.00 MFlops   0.000004 sec
    173 :    14964.50 MFlops   0.000004 sec
    174 :      187.47 MFlops   0.000323 sec
    175 :      342.18 MFlops   0.000179 sec
    176 :    15488.00 MFlops   0.000004 sec
    177 :    15664.50 MFlops   0.000004 sec
    178 :    15842.00 MFlops   0.000004 sec
    179 :    21360.67 MFlops   0.000003 sec
    180 :    16200.00 MFlops   0.000004 sec
    181 :    16380.50 MFlops   0.000004 sec
    182 :    16562.00 MFlops   0.000004 sec
    183 :    16744.50 MFlops   0.000004 sec
    184 :      588.80 MFlops   0.000115 sec
    185 :    17112.50 MFlops   0.000004 sec
    186 :    17298.00 MFlops   0.000004 sec
    187 :    17484.50 MFlops   0.000004 sec
    188 :    17672.00 MFlops   0.000004 sec
    189 :    14288.40 MFlops   0.000005 sec
    190 :    14440.00 MFlops   0.000005 sec
    191 :    14592.40 MFlops   0.000005 sec
    192 :    18432.00 MFlops   0.000004 sec
    193 :    18624.50 MFlops   0.000004 sec
    194 :    18818.00 MFlops   0.000004 sec
    195 :    15210.00 MFlops   0.000005 sec
    196 :    19208.00 MFlops   0.000004 sec
    197 :    15523.60 MFlops   0.000005 sec
    198 :    15681.60 MFlops   0.000005 sec
    199 :    15840.40 MFlops   0.000005 sec
    200 :    16000.00 MFlops   0.000005 sec
