From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
    115 :     9897.34 MFlops :       0.00 Sec : 3910
    116 :    10420.48 MFlops :       0.00 Sec : 3944
    117 :    10066.95 MFlops :       0.00 Sec : 3978
    118 :     9573.14 MFlops :       0.00 Sec : 4012
    119 :     9552.26 MFlops :       0.00 Sec : 4046
    120 :    10380.62 MFlops :       0.00 Sec : 4080
    121 :    10085.45 MFlops :       0.00 Sec : 4114
    122 :    10519.53 MFlops :       0.00 Sec : 4148
    123 :    10527.85 MFlops :       0.00 Sec : 4182
    124 :    10321.01 MFlops :       0.00 Sec : 4216
    125 :    10614.20 MFlops :       0.00 Sec : 4250
    126 :    10735.81 MFlops :       0.00 Sec : 4284
    127 :    10316.36 MFlops :       0.01 Sec : 4318
    128 :     9821.77 MFlops :       0.01 Sec : 4352
    129 :    10443.89 MFlops :       0.01 Sec : 4386
    130 :    10182.54 MFlops :       0.01 Sec : 4420
    131 :    10305.06 MFlops :       0.01 Sec : 4454
    132 :    10831.36 MFlops :       0.01 Sec : 4488
    133 :    11135.17 MFlops :       0.01 Sec : 4522
    134 :    11315.01 MFlops :       0.01 Sec : 4556
    135 :    11081.37 MFlops :       0.01 Sec : 4590
    136 :    10423.66 MFlops :       0.01 Sec : 4624
    137 :    10750.04 MFlops :       0.01 Sec : 4658
    138 :    10559.61 MFlops :       0.01 Sec : 4692
    139 :    11092.13 MFlops :       0.01 Sec : 4726
    140 :    11683.30 MFlops :       0.01 Sec : 4760
    141 :    11085.73 MFlops :       0.01 Sec : 4794
    142 :    10874.13 MFlops :       0.01 Sec : 4828
    143 :    11472.86 MFlops :       0.01 Sec : 4862
    144 :    11395.99 MFlops :       0.01 Sec : 4896
    145 :    11564.66 MFlops :       0.01 Sec : 4930
    146 :    11025.64 MFlops :       0.01 Sec : 4964
    147 :    11051.51 MFlops :       0.01 Sec : 4998
    148 :    11292.02 MFlops :       0.01 Sec : 5032
    149 :    11691.05 MFlops :       0.01 Sec : 5066
    150 :    12764.11 MFlops :       0.01 Sec : 5100
    151 :    13284.42 MFlops :       0.01 Sec : 5134
    152 :    12411.53 MFlops :       0.01 Sec : 5168
    153 :    14268.86 MFlops :       0.01 Sec : 5202
    154 :    12873.37 MFlops :       0.01 Sec : 5236
    155 :    14007.09 MFlops :       0.01 Sec : 5270
    156 :    13154.31 MFlops :       0.01 Sec : 5304
    157 :    12667.12 MFlops :       0.01 Sec : 5338
    158 :    12216.65 MFlops :       0.01 Sec : 5372
    159 :    13704.28 MFlops :       0.01 Sec : 5406
    160 :    12757.00 MFlops :       0.01 Sec : 5440
    161 :    13197.51 MFlops :       0.01 Sec : 5474
    162 :    14327.75 MFlops :       0.01 Sec : 5508
    163 :    14711.47 MFlops :       0.01 Sec : 5542
    164 :    13710.32 MFlops :       0.01 Sec : 5576
    165 :    14413.56 MFlops :       0.01 Sec : 5610
    166 :    13829.51 MFlops :       0.01 Sec : 5644
    167 :    14281.01 MFlops :       0.01 Sec : 5678
    168 :    12932.17 MFlops :       0.01 Sec : 5712
    169 :    13413.18 MFlops :       0.01 Sec : 5746
    170 :    13572.48 MFlops :       0.01 Sec : 5780
    171 :    12648.24 MFlops :       0.01 Sec : 5814
    172 :    12391.68 MFlops :       0.01 Sec : 5848
    173 :    13230.72 MFlops :       0.01 Sec : 5882
    174 :    13704.88 MFlops :       0.01 Sec : 5916
    175 :    14126.77 MFlops :       0.01 Sec : 5950
    176 :    14613.18 MFlops :       0.01 Sec : 5984
    177 :    14453.18 MFlops :       0.01 Sec : 6018
    178 :    16237.80 MFlops :       0.01 Sec : 6052
    179 :    14408.12 MFlops :       0.01 Sec : 6086
    180 :    14309.62 MFlops :       0.01 Sec : 6120
    181 :    15353.53 MFlops :       0.01 Sec : 6154
    182 :    15783.25 MFlops :       0.01 Sec : 6188
    183 :    15205.72 MFlops :       0.01 Sec : 6222
    184 :    14962.86 MFlops :       0.01 Sec : 6256
    185 :    14788.58 MFlops :       0.01 Sec : 6290
    186 :    15108.77 MFlops :       0.01 Sec : 6324
    187 :    14942.05 MFlops :       0.01 Sec : 6358
    188 :    15421.26 MFlops :       0.01 Sec : 6392
    189 :    16852.57 MFlops :       0.01 Sec : 6426
    190 :    16485.39 MFlops :       0.01 Sec : 6460
    191 :    16141.48 MFlops :       0.01 Sec : 6494
    192 :    16242.01 MFlops :       0.01 Sec : 6528
    193 :    16282.83 MFlops :       0.01 Sec : 6562
    194 :    16411.60 MFlops :       0.01 Sec : 6596
    195 :    16839.20 MFlops :       0.01 Sec : 6630
    196 :    16178.61 MFlops :       0.01 Sec : 6664
    197 :    16716.71 MFlops :       0.01 Sec : 6698
    198 :    16517.20 MFlops :       0.01 Sec : 6732
    199 :    16924.65 MFlops :       0.01 Sec : 6766
    200 :    15545.39 MFlops :       0.01 Sec : 6800
