From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
    114 :    36683.85 MFlops :       0.00 Sec : 7296
    115 :    36302.70 MFlops :       0.00 Sec : 7360
    116 :    36927.36 MFlops :       0.00 Sec : 7424
    117 :    37227.89 MFlops :       0.00 Sec : 7488
    118 :    36283.03 MFlops :       0.00 Sec : 7552
    119 :    39346.54 MFlops :       0.00 Sec : 7616
    120 :    39309.87 MFlops :       0.00 Sec : 7680
    121 :    39959.86 MFlops :       0.00 Sec : 7744
    122 :    36323.77 MFlops :       0.00 Sec : 7808
    123 :    37086.20 MFlops :       0.00 Sec : 7872
    124 :    38143.34 MFlops :       0.00 Sec : 7936
    125 :    38638.06 MFlops :       0.00 Sec : 8000
    126 :    39872.21 MFlops :       0.00 Sec : 8064
    127 :    40077.64 MFlops :       0.00 Sec : 8128
    128 :    46723.23 MFlops :       0.00 Sec : 8192
    129 :    37079.17 MFlops :       0.00 Sec : 8256
    130 :    38450.83 MFlops :       0.00 Sec : 8320
    131 :    38089.61 MFlops :       0.00 Sec : 8384
    132 :    38357.48 MFlops :       0.00 Sec : 8448
    133 :    40380.35 MFlops :       0.00 Sec : 8512
    134 :    40513.09 MFlops :       0.00 Sec : 8576
    135 :    39189.19 MFlops :       0.00 Sec : 8640
    136 :    41308.63 MFlops :       0.00 Sec : 8704
    137 :    28357.01 MFlops :       0.00 Sec : 8768
    138 :    36399.81 MFlops :       0.00 Sec : 8832
    139 :    46256.31 MFlops :       0.00 Sec : 8896
    140 :    30139.13 MFlops :       0.00 Sec : 8960
    141 :    47666.44 MFlops :       0.00 Sec : 9024
    142 :    48073.29 MFlops :       0.00 Sec : 9088
    143 :    48333.11 MFlops :       0.00 Sec : 9152
    144 :    49978.75 MFlops :       0.00 Sec : 9216
    145 :    49468.50 MFlops :       0.00 Sec : 9280
    146 :    48285.87 MFlops :       0.00 Sec : 9344
    147 :    47215.69 MFlops :       0.00 Sec : 9408
    148 :    48458.95 MFlops :       0.00 Sec : 9472
    149 :    49035.15 MFlops :       0.00 Sec : 9536
    150 :    48539.30 MFlops :       0.00 Sec : 9600
    151 :    51326.43 MFlops :       0.00 Sec : 9664
    152 :    44166.45 MFlops :       0.00 Sec : 9728
    153 :    44832.85 MFlops :       0.00 Sec : 9792
    154 :    47628.76 MFlops :       0.00 Sec : 9856
    155 :    47627.95 MFlops :       0.00 Sec : 9920
    156 :    49149.39 MFlops :       0.00 Sec : 9984
    157 :    49618.07 MFlops :       0.00 Sec : 10048
    158 :    50573.74 MFlops :       0.00 Sec : 10112
    159 :    50444.97 MFlops :       0.00 Sec : 10176
    160 :    53821.78 MFlops :       0.00 Sec : 10240
    161 :    49786.27 MFlops :       0.00 Sec : 10304
    162 :    51887.17 MFlops :       0.00 Sec : 10368
    163 :    47115.02 MFlops :       0.00 Sec : 10432
    164 :    53712.26 MFlops :       0.00 Sec : 10496
    165 :    54328.47 MFlops :       0.00 Sec : 10560
    166 :    60415.74 MFlops :       0.00 Sec : 10624
    167 :    58323.96 MFlops :       0.00 Sec : 10688
    168 :    60813.84 MFlops :       0.00 Sec : 10752
    169 :    60447.79 MFlops :       0.00 Sec : 10816
    170 :    61674.23 MFlops :       0.00 Sec : 10880
    171 :    59533.56 MFlops :       0.00 Sec : 10944
    172 :    60315.18 MFlops :       0.00 Sec : 11008
    173 :    63944.02 MFlops :       0.00 Sec : 11072
    174 :    64018.73 MFlops :       0.00 Sec : 11136
    175 :    65580.65 MFlops :       0.00 Sec : 11200
    176 :    66559.56 MFlops :       0.00 Sec : 11264
    177 :    60473.18 MFlops :       0.00 Sec : 11328
    178 :    60026.31 MFlops :       0.00 Sec : 11392
    179 :    54395.54 MFlops :       0.00 Sec : 11456
    180 :    57575.46 MFlops :       0.00 Sec : 11520
    181 :    55255.17 MFlops :       0.00 Sec : 11584
    182 :    44289.18 MFlops :       0.00 Sec : 11648
    183 :    56319.25 MFlops :       0.00 Sec : 11712
    184 :    57248.83 MFlops :       0.00 Sec : 11776
    185 :    57492.31 MFlops :       0.00 Sec : 11840
    186 :    57545.60 MFlops :       0.00 Sec : 11904
    187 :    62476.83 MFlops :       0.00 Sec : 11968
    188 :    68673.40 MFlops :       0.00 Sec : 12032
    189 :    69912.56 MFlops :       0.00 Sec : 12096
    190 :    69406.10 MFlops :       0.00 Sec : 12160
    191 :    76482.08 MFlops :       0.00 Sec : 12224
    192 :    77371.52 MFlops :       0.00 Sec : 12288
    193 :    76235.39 MFlops :       0.00 Sec : 12352
    194 :    76511.76 MFlops :       0.00 Sec : 12416
    195 :    71889.05 MFlops :       0.00 Sec : 12480
    196 :    72604.66 MFlops :       0.00 Sec : 12544
    197 :    72408.91 MFlops :       0.00 Sec : 12608
    198 :    59947.57 MFlops :       0.00 Sec : 12672
    199 :    60773.27 MFlops :       0.00 Sec : 12736
    200 :    61695.21 MFlops :       0.00 Sec : 12800
