From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
     77 :   1.398881e-14    13834.33 MFlops    5929.00 MFlops   13175.56 MFlops
     78 :   2.586820e-14    13755.13 MFlops    6084.00 MFlops   13141.44 MFlops
     79 :   4.840572e-14    14290.99 MFlops    6241.00 MFlops   13646.99 MFlops
     80 :   9.547918e-15    15515.15 MFlops    6400.00 MFlops   14755.56 MFlops
     81 :   1.314504e-13    13122.00 MFlops    6561.00 MFlops   12669.52 MFlops
     82 :   1.776357e-14    14703.15 MFlops    6724.00 MFlops   14112.10 MFlops
     83 :   1.176836e-14    14661.21 MFlops    6889.00 MFlops   14106.05 MFlops
     84 :   5.928591e-14    15197.54 MFlops    7056.00 MFlops   14616.00 MFlops
     85 :   3.064216e-14    15746.79 MFlops    4816.67 MFlops   14616.09 MFlops
     86 :   1.598721e-14    16309.13 MFlops    4930.67 MFlops   15132.05 MFlops
     87 :   4.363176e-14    16259.33 MFlops    5046.00 MFlops   15138.00 MFlops
     88 :   2.686740e-14    17473.64 MFlops    7744.00 MFlops   16778.67 MFlops
     89 :   1.443290e-14    16206.18 MFlops    5280.67 MFlops   15181.92 MFlops
     90 :   3.264056e-14    16758.62 MFlops    5400.00 MFlops   15693.75 MFlops
     91 :   4.796163e-14    16746.02 MFlops    8281.00 MFlops   16216.96 MFlops
     92 :   2.542411e-14    17304.18 MFlops    8464.00 MFlops   16751.67 MFlops
     93 :   1.663114e-13    17298.00 MFlops    5766.00 MFlops   16280.47 MFlops
     94 :   3.652634e-14    18457.42 MFlops    4418.00 MFlops   16805.73 MFlops
     95 :   1.223466e-13    17320.71 MFlops    6016.67 MFlops   16378.70 MFlops
     96 :   1.887379e-14    20338.76 MFlops    6144.00 MFlops   19008.00 MFlops
     97 :   9.947598e-14    16011.81 MFlops    6272.67 MFlops   15299.19 MFlops
     98 :   9.803269e-14    18454.75 MFlops    4802.00 MFlops   17017.61 MFlops
     99 :   1.068035e-13    18481.89 MFlops    4900.50 MFlops   17088.92 MFlops
    100 :   5.173639e-14    19047.62 MFlops    5000.00 MFlops   17606.84 MFlops
    101 :   4.674039e-14    18563.98 MFlops    5100.50 MFlops   17250.47 MFlops
    102 :   3.586020e-14    19120.86 MFlops    5202.00 MFlops   17762.93 MFlops
    103 :   5.373479e-14    19170.65 MFlops    5304.50 MFlops   17850.06 MFlops
    104 :   4.174439e-14    21425.98 MFlops    5408.00 MFlops   19783.11 MFlops
    105 :   2.842171e-14    19788.46 MFlops    7350.00 MFlops   18900.00 MFlops
    106 :   1.665335e-14    20359.25 MFlops    5618.00 MFlops   18987.97 MFlops
    107 :   4.529710e-14    20417.38 MFlops    7632.67 MFlops   19525.43 MFlops
    108 :   1.199041e-14    21533.54 MFlops    5832.00 MFlops   20072.93 MFlops
    109 :   5.129230e-14    21057.38 MFlops    5940.50 MFlops   19713.66 MFlops
    110 :   1.443290e-14    21642.28 MFlops    6050.00 MFlops   20256.30 MFlops
    111 :   8.548717e-14    21203.58 MFlops    6160.50 MFlops   19923.32 MFlops
    112 :   1.776357e-14    24015.86 MFlops    6272.00 MFlops   22365.27 MFlops
    113 :   3.042011e-14    21376.25 MFlops    5107.60 MFlops   19749.39 MFlops
    114 :   3.841372e-14    21471.65 MFlops    6498.00 MFlops   20273.76 MFlops
    115 :   1.643130e-14    21572.70 MFlops    5290.00 MFlops   20007.05 MFlops
    116 :   7.667200e-13    22621.68 MFlops    6728.00 MFlops   21350.19 MFlops
    117 :   4.130030e-14    21790.65 MFlops    6844.50 MFlops   20662.64 MFlops
    118 :   9.314771e-14    22819.89 MFlops    6962.00 MFlops   21600.05 MFlops
    119 :   5.584422e-14    22468.79 MFlops    7080.50 MFlops   21328.91 MFlops
    120 :   4.696243e-14    25043.48 MFlops    7200.00 MFlops   23616.00 MFlops
    121 :   2.371436e-13    22712.32 MFlops    7320.50 MFlops   21612.90 MFlops
    122 :   3.410605e-13    23736.58 MFlops    7442.00 MFlops   22551.52 MFlops
    123 :   2.542411e-14    23407.13 MFlops    6051.60 MFlops   21910.97 MFlops
    124 :   9.781065e-14    24443.90 MFlops    6150.40 MFlops   22839.20 MFlops
    125 :   6.905587e-14    23674.24 MFlops    7812.50 MFlops   22598.87 MFlops
    126 :   4.252154e-14    24696.00 MFlops    6350.40 MFlops   23141.29 MFlops
    127 :   2.774447e-13    24385.51 MFlops    6451.60 MFlops   22915.52 MFlops
    128 :   8.526513e-14    28532.68 MFlops    6553.60 MFlops   26497.58 MFlops
    129 :   3.730349e-14    24674.59 MFlops    5547.00 MFlops   22881.38 MFlops
    130 :   3.885781e-14    25252.87 MFlops    5633.33 MFlops   23413.54 MFlops
    131 :   4.873879e-14    24569.30 MFlops    5720.33 MFlops   22881.33 MFlops
    132 :   6.350476e-14    25988.34 MFlops    5808.00 MFlops   24125.54 MFlops
    133 :   2.287059e-14    24895.63 MFlops    7075.60 MFlops   23585.33 MFlops
    134 :   2.697842e-14    25872.09 MFlops    5985.33 MFlops   24117.37 MFlops
    135 :   2.897682e-14    25234.62 MFlops    7290.00 MFlops   23952.86 MFlops
    136 :   1.002531e-13    28913.29 MFlops    6165.33 MFlops   26780.67 MFlops
    137 :   5.795364e-14    25585.60 MFlops    6256.33 MFlops   23996.89 MFlops
    138 :   6.616929e-14    26546.18 MFlops    6348.00 MFlops   24863.00 MFlops
    139 :   3.708145e-14    25577.32 MFlops    6440.33 MFlops   24066.51 MFlops
    140 :   3.197442e-14    27303.48 MFlops    6533.33 MFlops   25596.35 MFlops
    141 :   1.998401e-14    26697.34 MFlops    5680.29 MFlops   24786.70 MFlops
    142 :   4.984901e-14    27664.62 MFlops    5761.14 MFlops   25647.19 MFlops
    143 :   5.218048e-14    27075.99 MFlops    5842.57 MFlops   25194.55 MFlops
    144 :   8.171241e-14    31104.00 MFlops    5924.57 MFlops   28621.52 MFlops
    145 :   8.903989e-14    26742.32 MFlops    6007.14 MFlops   24993.57 MFlops
    146 :   1.006972e-13    27663.43 MFlops    6090.29 MFlops   25821.82 MFlops
    147 :   7.061018e-14    27149.77 MFlops    6174.00 MFlops   25422.35 MFlops
    148 :   4.796163e-14    29205.33 MFlops    6258.29 MFlops   27222.26 MFlops
