From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
    136 :    14796.80 MFlops  0.000005000 sec
    137 :    18769.00 MFlops  0.000004000 sec
    138 :    19044.00 MFlops  0.000004000 sec
    139 :    15456.80 MFlops  0.000005000 sec
    140 :    15680.00 MFlops  0.000005000 sec
    141 :    19881.00 MFlops  0.000004000 sec
    142 :    20164.00 MFlops  0.000004000 sec
    143 :    16359.20 MFlops  0.000005000 sec
    144 :    20736.00 MFlops  0.000004000 sec
    145 :    21025.00 MFlops  0.000004000 sec
    146 :    21316.00 MFlops  0.000004000 sec
    147 :      335.02 MFlops  0.000258000 sec
    148 :       66.68 MFlops  0.001314000 sec
    149 :       15.84 MFlops  0.005608000 sec
    150 :      714.29 MFlops  0.000126000 sec
    151 :    18240.80 MFlops  0.000005000 sec
    152 :    15402.67 MFlops  0.000006000 sec
    153 :    18727.20 MFlops  0.000005000 sec
    154 :    18972.80 MFlops  0.000005000 sec
    155 :    19220.00 MFlops  0.000005000 sec
    156 :    19468.80 MFlops  0.000005000 sec
    157 :    16432.67 MFlops  0.000006000 sec
    158 :    16642.67 MFlops  0.000006000 sec
    159 :       66.97 MFlops  0.001510000 sec
    160 :    17066.67 MFlops  0.000006000 sec
    161 :    17280.67 MFlops  0.000006000 sec
    162 :    17496.00 MFlops  0.000006000 sec
    163 :    17712.67 MFlops  0.000006000 sec
    164 :    21516.80 MFlops  0.000005000 sec
    165 :    18150.00 MFlops  0.000006000 sec
    166 :    18370.67 MFlops  0.000006000 sec
    167 :    15936.57 MFlops  0.000007000 sec
    168 :      345.25 MFlops  0.000327000 sec
    169 :      122.45 MFlops  0.000933000 sec
    170 :    16514.29 MFlops  0.000007000 sec
    171 :    16709.14 MFlops  0.000007000 sec
    172 :    16905.14 MFlops  0.000007000 sec
    173 :    17102.29 MFlops  0.000007000 sec
    174 :      823.84 MFlops  0.000147000 sec
    175 :    15312.50 MFlops  0.000008000 sec
    176 :    13767.11 MFlops  0.000009000 sec
    177 :    13924.00 MFlops  0.000009000 sec
    178 :    14081.78 MFlops  0.000009000 sec
    179 :     7120.22 MFlops  0.000018000 sec
    180 :      145.62 MFlops  0.000890000 sec
    181 :    21840.67 MFlops  0.000006000 sec
    182 :    22082.67 MFlops  0.000006000 sec
    183 :    22326.00 MFlops  0.000006000 sec
    184 :    22570.67 MFlops  0.000006000 sec
    185 :    22816.67 MFlops  0.000006000 sec
    186 :    27676.80 MFlops  0.000005000 sec
    187 :    19982.29 MFlops  0.000007000 sec
    188 :    28275.20 MFlops  0.000005000 sec
    189 :       47.88 MFlops  0.002984000 sec
    190 :      244.75 MFlops  0.000590000 sec
    191 :      119.32 MFlops  0.001223000 sec
    192 :    21065.14 MFlops  0.000007000 sec
    193 :    21285.14 MFlops  0.000007000 sec
    194 :    21506.29 MFlops  0.000007000 sec
    195 :    21728.57 MFlops  0.000007000 sec
    196 :    25610.67 MFlops  0.000006000 sec
    197 :    22176.57 MFlops  0.000007000 sec
    198 :    14256.00 MFlops  0.000011000 sec
    199 :      649.20 MFlops  0.000244000 sec
    200 :    12307.69 MFlops  0.000013000 sec
