From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.80 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :      256.00 MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :     2048.00 MFlops
      9 :         inf MFlops
     10 :     4000.00 MFlops
     11 :     5324.00 MFlops
     12 :     6912.00 MFlops
     13 :     8788.00 MFlops
     14 :         inf MFlops
     15 :    13500.00 MFlops
     16 :      862.32 MFlops
     17 :     3930.40 MFlops
     18 :     4665.60 MFlops
     19 :     5487.20 MFlops
     20 :     4571.43 MFlops
     21 :     9261.00 MFlops
     22 :     8518.40 MFlops
     23 :    12167.00 MFlops
     24 :     7899.43 MFlops
     25 :    12500.00 MFlops
     26 :    11717.33 MFlops
     27 :    15746.40 MFlops
     28 :    17561.60 MFlops
     29 :    16259.33 MFlops
     30 :    18000.00 MFlops
     31 :    17023.43 MFlops
     32 :     8192.00 MFlops
     33 :    11979.00 MFlops
     34 :    13101.33 MFlops
     35 :    14291.67 MFlops
     36 :    18662.40 MFlops
     37 :    15585.54 MFlops
     38 :    13718.00 MFlops
     39 :    13957.41 MFlops
     40 :    19692.31 MFlops
     41 :    19691.71 MFlops
     42 :    18522.00 MFlops
     43 :    17668.22 MFlops
     44 :    16225.52 MFlops
     45 :    22781.25 MFlops
     46 :    24334.00 MFlops
     47 :    21857.47 MFlops
     48 :    27648.00 MFlops
     49 :    20460.70 MFlops
     50 :    21739.13 MFlops
     51 :    20407.85 MFlops
     52 :    26782.48 MFlops
     53 :    25891.65 MFlops
     54 :    27385.04 MFlops
     55 :    24648.15 MFlops
     56 :    33450.67 MFlops
     57 :    29630.88 MFlops
     58 :    31217.92 MFlops
     59 :    27383.87 MFlops
     60 :    27870.97 MFlops
     61 :    30264.13 MFlops
     62 :    29791.00 MFlops
     63 :    27783.00 MFlops
     64 :    34952.53 MFlops
     65 :    34328.12 MFlops
     66 :    32856.69 MFlops
     67 :    31659.26 MFlops
     68 :    35935.09 MFlops
     69 :    36501.00 MFlops
     70 :    36105.26 MFlops
     71 :    27531.62 MFlops
     72 :    35547.43 MFlops
     73 :    26374.03 MFlops
     74 :    33079.51 MFlops
     75 :    29094.83 MFlops
     76 :    39906.91 MFlops
     77 :    36522.64 MFlops
     78 :    35152.00 MFlops
     79 :    34002.69 MFlops
     80 :    42666.67 MFlops
     81 :    40880.08 MFlops
     82 :    40099.49 MFlops
     83 :    30907.41 MFlops
     84 :    40183.32 MFlops
     85 :    38992.06 MFlops
     86 :    37973.49 MFlops
     87 :    36082.36 MFlops
     88 :    43965.94 MFlops
     89 :    40283.94 MFlops
     90 :    12200.84 MFlops
     91 :    37678.55 MFlops
     92 :    45805.18 MFlops
     93 :    44074.36 MFlops
     94 :    39086.31 MFlops
     95 :    33955.45 MFlops
     96 :    23282.53 MFlops
     97 :    61876.14 MFlops
     98 :    63809.63 MFlops
     99 :    63626.16 MFlops
    100 :    55555.56 MFlops
    101 :    58874.34 MFlops
    102 :    58956.00 MFlops
    103 :    58278.77 MFlops
    104 :    64277.94 MFlops
    105 :    60136.36 MFlops
    106 :    61870.96 MFlops
    107 :    60495.95 MFlops
    108 :    66300.63 MFlops
    109 :    65571.09 MFlops
    110 :    66550.00 MFlops
    111 :    65909.93 MFlops
    112 :    61755.08 MFlops
    113 :     3797.10 MFlops
    114 :    49799.80 MFlops
    115 :    49060.48 MFlops
    116 :    49948.67 MFlops
    117 :    47809.34 MFlops
    118 :    47971.74 MFlops
    119 :    45854.67 MFlops
    120 :    53169.23 MFlops
    121 :    42946.93 MFlops
    122 :    61554.17 MFlops
    123 :    52790.55 MFlops
    124 :    64088.20 MFlops
    125 :    64566.12 MFlops
    126 :    65052.88 MFlops
    127 :    52522.64 MFlops
    128 :    11848.32 MFlops
    129 :    52358.27 MFlops
    130 :    46010.47 MFlops
    131 :    49681.57 MFlops
    132 :    70768.25 MFlops
    133 :    70756.00 MFlops
    134 :    52881.41 MFlops
    135 :    47314.90 MFlops
    136 :    59537.42 MFlops
    137 :    57783.21 MFlops
    138 :    54187.05 MFlops
    139 :    61036.80 MFlops
    140 :    56287.18 MFlops
    141 :    63709.57 MFlops
    142 :    57844.20 MFlops
    143 :    48334.00 MFlops
    144 :    35975.71 MFlops
    145 :    50390.50 MFlops
    146 :    57632.15 MFlops
    147 :    54767.64 MFlops
    148 :    64835.84 MFlops
    149 :    62121.11 MFlops
    150 :    52123.55 MFlops
    151 :    50262.06 MFlops
    152 :    54446.64 MFlops
    153 :    27340.28 MFlops
    154 :    53907.96 MFlops
    155 :    69605.14 MFlops
    156 :    69659.01 MFlops
    157 :    69415.12 MFlops
    158 :    67137.23 MFlops
    159 :    67842.68 MFlops
    160 :    73470.85 MFlops
    161 :    72895.74 MFlops
    162 :    71155.28 MFlops
    163 :    68470.31 MFlops
    164 :    74133.51 MFlops
    165 :    67297.75 MFlops
    166 :    68528.78 MFlops
    167 :    52626.70 MFlops
    168 :    61380.35 MFlops
    169 :    59224.65 MFlops
    170 :    58662.69 MFlops
    171 :    56340.41 MFlops
    172 :    10673.20 MFlops
    173 :    56432.88 MFlops
    174 :    10515.02 MFlops
    175 :    54409.90 MFlops
    176 :    56789.33 MFlops
    177 :    58524.89 MFlops
    178 :    58141.77 MFlops
    179 :    55818.38 MFlops
    180 :    14953.85 MFlops
    181 :    64983.46 MFlops
    182 :    72852.79 MFlops
    183 :    13710.26 MFlops
    184 :    74382.14 MFlops
    185 :    39144.51 MFlops
    186 :    71697.56 MFlops
    187 :    54721.36 MFlops
    188 :    62685.58 MFlops
    189 :    60279.19 MFlops
    190 :    60035.01 MFlops
    191 :    28469.34 MFlops
    192 :    32208.82 MFlops
    193 :    60924.21 MFlops
    194 :    55842.33 MFlops
    195 :    52217.43 MFlops
    196 :    61215.74 MFlops
    197 :    58585.23 MFlops
    198 :    70247.89 MFlops
    199 :    70362.49 MFlops
    200 :    73732.72 MFlops
