From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.17 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :      125.00 MFlops
      6 :         inf MFlops
      7 :      343.00 MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :     1000.00 MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :     3375.00 MFlops
     16 :         inf MFlops
     17 :     4913.00 MFlops
     18 :         inf MFlops
     19 :     6859.00 MFlops
     20 :     8000.00 MFlops
     21 :         inf MFlops
     22 :    10648.00 MFlops
     23 :    12167.00 MFlops
     24 :    13824.00 MFlops
     25 :    15625.00 MFlops
     26 :         inf MFlops
     27 :    19683.00 MFlops
     28 :    21952.00 MFlops
     29 :    24389.00 MFlops
     30 :    27000.00 MFlops
     31 :         inf MFlops
     32 :    16384.00 MFlops
     33 :    35937.00 MFlops
     34 :    39304.00 MFlops
     35 :    42875.00 MFlops
     36 :    46656.00 MFlops
     37 :    50653.00 MFlops
     38 :    27436.00 MFlops
     39 :    59319.00 MFlops
     40 :    64000.00 MFlops
     41 :    68921.00 MFlops
     42 :    37044.00 MFlops
     43 :    39753.50 MFlops
     44 :    42592.00 MFlops
     45 :    91125.00 MFlops
     46 :    97336.00 MFlops
     47 :   103823.00 MFlops
     48 :   110592.00 MFlops
     49 :    58824.50 MFlops
     50 :    62500.00 MFlops
     51 :    66325.50 MFlops
     52 :    70304.00 MFlops
     53 :    74438.50 MFlops
     54 :    78732.00 MFlops
     55 :    83187.50 MFlops
     56 :   175616.00 MFlops
     57 :    92596.50 MFlops
     58 :    97556.00 MFlops
     59 :   102689.50 MFlops
     60 :   108000.00 MFlops
     61 :    75660.33 MFlops
     62 :   119164.00 MFlops
     63 :   125023.50 MFlops
     64 :   131072.00 MFlops
     65 :   137312.50 MFlops
     66 :    95832.00 MFlops
     67 :   100254.33 MFlops
     68 :   104810.67 MFlops
     69 :   109503.00 MFlops
     70 :   114333.33 MFlops
     71 :   119303.67 MFlops
     72 :   124416.00 MFlops
     73 :    97254.25 MFlops
     74 :   135074.67 MFlops
     75 :   140625.00 MFlops
     76 :   146325.33 MFlops
     77 :   114133.25 MFlops
     78 :   118638.00 MFlops
     79 :   123259.75 MFlops
     80 :   170666.67 MFlops
     81 :   132860.25 MFlops
     82 :   110273.60 MFlops
     83 :   142946.75 MFlops
     84 :   118540.80 MFlops
     85 :   122825.00 MFlops
     86 :   106009.33 MFlops
     87 :   131700.60 MFlops
     88 :   136294.40 MFlops
     89 :   140993.80 MFlops
     90 :   145800.00 MFlops
     91 :   125595.17 MFlops
     92 :   155737.60 MFlops
     93 :   134059.50 MFlops
     94 :   138430.67 MFlops
     95 :   142895.83 MFlops
     96 :   221184.00 MFlops
     97 :   130381.86 MFlops
     98 :   134456.00 MFlops
     99 :   138614.14 MFlops
    100 :   142857.14 MFlops
    101 :   128787.62 MFlops
    102 :   151601.14 MFlops
    103 :   136590.87 MFlops
    104 :   160694.86 MFlops
    105 :   144703.12 MFlops
    106 :   170145.14 MFlops
    107 :   153130.37 MFlops
    108 :   157464.00 MFlops
    109 :   185004.14 MFlops
    110 :   190142.86 MFlops
    111 :   195375.86 MFlops
    112 :   200704.00 MFlops
    113 :   160321.89 MFlops
    114 :   148154.40 MFlops
    115 :   152087.50 MFlops
    116 :   173432.89 MFlops
    117 :   160161.30 MFlops
    118 :   164303.20 MFlops
    119 :   168515.90 MFlops
    120 :   192000.00 MFlops
    121 :   161051.00 MFlops
    122 :   181584.80 MFlops
    123 :   186086.70 MFlops
    124 :   190662.40 MFlops
    125 :   195312.50 MFlops
    126 :   200037.60 MFlops
    127 :   186216.64 MFlops
    128 :   209715.20 MFlops
    129 :   165129.92 MFlops
    130 :   183083.33 MFlops
    131 :   172930.08 MFlops
    132 :   191664.00 MFlops
    133 :   180972.08 MFlops
    134 :   185084.92 MFlops
    135 :   189259.62 MFlops
    136 :   209621.33 MFlops
    137 :   183668.07 MFlops
    138 :   187719.43 MFlops
    139 :   191829.93 MFlops
    140 :   196000.00 MFlops
    141 :   200230.07 MFlops
    142 :   204520.57 MFlops
    143 :   208871.93 MFlops
    144 :   248832.00 MFlops
    145 :   190539.06 MFlops
    146 :   183066.82 MFlops
    147 :   186854.29 MFlops
    148 :   216119.47 MFlops
    149 :   194585.24 MFlops
    150 :   198529.41 MFlops
    151 :   202526.53 MFlops
    152 :   219488.00 MFlops
    153 :   198976.50 MFlops
    154 :   214839.06 MFlops
    155 :   219051.47 MFlops
    156 :   223318.59 MFlops
    157 :   214994.06 MFlops
    158 :   207595.37 MFlops
    159 :   211562.05 MFlops
    160 :   256000.00 MFlops
    161 :   198727.67 MFlops
    162 :   202453.71 MFlops
    163 :   206226.05 MFlops
    164 :   220547.20 MFlops
    165 :   213910.71 MFlops
    166 :   207922.55 MFlops
    167 :   211702.86 MFlops
    168 :   249559.58 MFlops
    169 :   209861.26 MFlops
    170 :   213608.70 MFlops
    171 :   192315.81 MFlops
    172 :   231293.09 MFlops
    173 :   225118.13 MFlops
    174 :   229044.52 MFlops
    175 :   233016.30 MFlops
    176 :   272588.80 MFlops
    177 :   213278.19 MFlops
    178 :   208879.70 MFlops
    179 :   220589.96 MFlops
    180 :   233280.00 MFlops
    181 :   219620.04 MFlops
    182 :   231868.00 MFlops
    183 :   226981.00 MFlops
    184 :   259562.67 MFlops
    185 :   226129.46 MFlops
    186 :   229816.29 MFlops
    187 :   233542.96 MFlops
    188 :   255564.31 MFlops
    189 :   232802.38 MFlops
    190 :   244964.29 MFlops
    191 :   248852.54 MFlops
    192 :   283115.52 MFlops
    193 :   224658.03 MFlops
