From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
     75 :   1.189683e-05     9000.00 MFlops    4500.00 MFlops    8666.67 MFlops
     76 :   1.764845e-05     9290.50 MFlops    4200.73 MFlops    8881.83 MFlops
     77 :   5.255601e-06     8573.39 MFlops    3952.67 MFlops    8213.33 MFlops
     78 :   2.940010e-05     9514.83 MFlops    4056.00 MFlops    9063.06 MFlops
     79 :   1.889792e-06     1660.06 MFlops    5547.56 MFlops    1703.74 MFlops
     80 :   1.373387e-06    11570.62 MFlops    5120.00 MFlops   11066.67 MFlops
     81 :   4.043949e-06    11809.80 MFlops    5248.80 MFlops   11305.11 MFlops
     82 :   2.677390e-06    13489.13 MFlops    5379.20 MFlops   12807.62 MFlops
     83 :   6.327807e-06    12006.03 MFlops    6123.56 MFlops   11616.75 MFlops
     84 :   7.597132e-06    13062.35 MFlops    5131.64 MFlops   12401.45 MFlops
     85 :   8.118365e-07     8574.17 MFlops    5780.00 MFlops    8435.16 MFlops
     86 :   4.801253e-06    11861.18 MFlops    4551.38 MFlops   11252.03 MFlops
     87 :   5.900614e-06    11945.63 MFlops    4036.80 MFlops   11213.33 MFlops
     88 :   1.260823e-05    12115.06 MFlops    4425.14 MFlops   11458.60 MFlops
     89 :   5.794333e-06    12367.88 MFlops    4526.29 MFlops   11706.54 MFlops
     90 :   5.092130e-06    12541.94 MFlops    4628.57 MFlops   11886.39 MFlops
     91 :   5.878957e-07    14668.05 MFlops    6624.80 MFlops   14120.89 MFlops
     92 :   7.378443e-06    15047.11 MFlops    6771.20 MFlops   14487.93 MFlops
     93 :   3.725650e-06    15105.30 MFlops    6290.18 MFlops   14471.53 MFlops
     94 :   3.220083e-06    15170.48 MFlops    6426.18 MFlops   14557.83 MFlops
     95 :   1.155519e-06    15141.28 MFlops    6563.64 MFlops   14558.85 MFlops
     96 :   7.240769e-06    14127.52 MFlops    6702.55 MFlops   13668.67 MFlops
     97 :   4.713909e-06    15023.42 MFlops    6842.91 MFlops   14503.28 MFlops
     98 :   1.852881e-05    15397.82 MFlops    6984.73 MFlops   14865.96 MFlops
     99 :   1.601456e-05    15310.44 MFlops    6534.00 MFlops   14728.57 MFlops
    100 :   6.986150e-06    15873.02 MFlops    7272.73 MFlops   15344.51 MFlops
    101 :   2.740590e-06    16752.86 MFlops    7418.91 MFlops   16166.16 MFlops
    102 :   1.595156e-05    17255.41 MFlops    7566.55 MFlops   16646.40 MFlops
    103 :   8.608927e-07    17344.87 MFlops    6528.62 MFlops   16568.01 MFlops
    104 :   1.181848e-06    18516.28 MFlops    7210.67 MFlops   17736.58 MFlops
    105 :   1.294953e-06    17640.00 MFlops    6784.62 MFlops   16889.36 MFlops
    106 :   3.128597e-06     3714.67 MFlops    4494.40 MFlops    3732.49 MFlops
    107 :   1.601248e-06    15556.10 MFlops    4820.63 MFlops   14665.39 MFlops
    108 :   1.559356e-06    15480.33 MFlops    4911.16 MFlops   14629.42 MFlops
    109 :   7.509622e-06    16289.67 MFlops    4752.40 MFlops   15295.08 MFlops
    110 :   4.810589e-06    16585.67 MFlops    4840.00 MFlops   15581.77 MFlops
    111 :   2.224000e-05    16884.33 MFlops    4480.36 MFlops   15737.75 MFlops
    112 :   1.112733e-05    17264.86 MFlops    4778.67 MFlops   16163.14 MFlops
    113 :   3.123389e-06    17489.66 MFlops    4643.27 MFlops   16321.81 MFlops
    114 :   2.897621e-06    17252.33 MFlops    4950.86 MFlops   16219.01 MFlops
    115 :   1.189694e-06    17331.91 MFlops    4809.09 MFlops   16255.73 MFlops
    116 :   2.154741e-06    17058.97 MFlops    4893.09 MFlops   16052.77 MFlops
    117 :   3.428163e-06    18174.33 MFlops    4761.39 MFlops   16978.60 MFlops
    118 :   5.542244e-07    18487.00 MFlops    5063.27 MFlops   17346.76 MFlops
    119 :   1.167298e-05    18492.83 MFlops    4720.33 MFlops   17254.85 MFlops
    120 :   1.849912e-05    18731.71 MFlops    4800.00 MFlops   17493.33 MFlops
    121 :   7.927967e-06    18972.54 MFlops    5092.52 MFlops   17798.86 MFlops
