From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops		Time
    141 :     9940.50 MFlops   0.000002 sec
    142 :    10082.00 MFlops   0.000002 sec
    143 :    20449.00 MFlops   0.000001 sec
    144 :       14.77 MFlops   0.001404 sec
    145 :       21.56 MFlops   0.000975 sec
    146 :       28.23 MFlops   0.000755 sec
    147 :       47.28 MFlops   0.000457 sec
    148 :    10952.00 MFlops   0.000002 sec
    149 :    11100.50 MFlops   0.000002 sec
    150 :    11250.00 MFlops   0.000002 sec
    151 :    11400.50 MFlops   0.000002 sec
    152 :    11552.00 MFlops   0.000002 sec
    153 :     1232.05 MFlops   0.000019 sec
    154 :    11858.00 MFlops   0.000002 sec
    155 :     8008.33 MFlops   0.000003 sec
    156 :    24336.00 MFlops   0.000001 sec
    157 :    12324.50 MFlops   0.000002 sec
    158 :    12482.00 MFlops   0.000002 sec
    159 :    12640.50 MFlops   0.000002 sec
    160 :    25600.00 MFlops   0.000001 sec
    161 :    12960.50 MFlops   0.000002 sec
    162 :    13122.00 MFlops   0.000002 sec
    163 :    13284.50 MFlops   0.000002 sec
    164 :    13448.00 MFlops   0.000002 sec
    165 :    13612.50 MFlops   0.000002 sec
    166 :    13778.00 MFlops   0.000002 sec
    167 :    13944.50 MFlops   0.000002 sec
    168 :     9408.00 MFlops   0.000003 sec
    169 :    14280.50 MFlops   0.000002 sec
    170 :    14450.00 MFlops   0.000002 sec
    171 :    14620.50 MFlops   0.000002 sec
    172 :    14792.00 MFlops   0.000002 sec
    173 :    14964.50 MFlops   0.000002 sec
    174 :    15138.00 MFlops   0.000002 sec
    175 :    10208.33 MFlops   0.000003 sec
    176 :    15488.00 MFlops   0.000002 sec
    177 :    15664.50 MFlops   0.000002 sec
    178 :    10561.33 MFlops   0.000003 sec
    179 :    16020.50 MFlops   0.000002 sec
    180 :    16200.00 MFlops   0.000002 sec
    181 :    16380.50 MFlops   0.000002 sec
    182 :    16562.00 MFlops   0.000002 sec
    183 :    16744.50 MFlops   0.000002 sec
    184 :    16928.00 MFlops   0.000002 sec
    185 :    11408.33 MFlops   0.000003 sec
    186 :    17298.00 MFlops   0.000002 sec
    187 :    17484.50 MFlops   0.000002 sec
    188 :    17672.00 MFlops   0.000002 sec
    189 :    17860.50 MFlops   0.000002 sec
    190 :    18050.00 MFlops   0.000002 sec
    191 :    18240.50 MFlops   0.000002 sec
    192 :    18432.00 MFlops   0.000002 sec
    193 :    18624.50 MFlops   0.000002 sec
    194 :       87.93 MFlops   0.000428 sec
    195 :    19012.50 MFlops   0.000002 sec
    196 :       61.07 MFlops   0.000629 sec
    197 :     6468.17 MFlops   0.000006 sec
    198 :     6534.00 MFlops   0.000006 sec
    199 :     6600.17 MFlops   0.000006 sec
    200 :     6666.67 MFlops   0.000006 sec
