From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
    129x129 :    11094.00 MFlops   0.000012 sec
    130x130 :    10400.00 MFlops   0.000013 sec
    131x131 :    11440.67 MFlops   0.000012 sec
    132x132 :    11616.00 MFlops   0.000012 sec
    133x133 :    11792.67 MFlops   0.000012 sec
    134x134 :    13058.91 MFlops   0.000011 sec
    135x135 :    12150.00 MFlops   0.000012 sec
    136x136 :    12330.67 MFlops   0.000012 sec
    137x137 :    12512.67 MFlops   0.000012 sec
    138x138 :    12696.00 MFlops   0.000012 sec
    139x139 :    11889.85 MFlops   0.000013 sec
    140x140 :    12061.54 MFlops   0.000013 sec
    141x141 :    13254.00 MFlops   0.000012 sec
    142x142 :    13442.67 MFlops   0.000012 sec
    143x143 :    13632.67 MFlops   0.000012 sec
    144x144 :     8730.95 MFlops   0.000019 sec
    145x145 :     8852.63 MFlops   0.000019 sec
    146x146 :     5329.00 MFlops   0.000032 sec
    147x147 :     6174.00 MFlops   0.000028 sec
    148x148 :     5006.63 MFlops   0.000035 sec
    149x149 :     6343.14 MFlops   0.000028 sec
    150x150 :     6428.57 MFlops   0.000028 sec
    151x151 :     6289.93 MFlops   0.000029 sec
    152x152 :     5436.24 MFlops   0.000034 sec
    153x153 :     6242.40 MFlops   0.000030 sec
    154x154 :     5580.24 MFlops   0.000034 sec
    155x155 :     5652.94 MFlops   0.000034 sec
    156x156 :     9270.86 MFlops   0.000021 sec
    157x157 :     5056.21 MFlops   0.000039 sec
    158x158 :     4755.05 MFlops   0.000042 sec
    159x159 :     6128.73 MFlops   0.000033 sec
    160x160 :     6606.45 MFlops   0.000031 sec
    161x161 :     4937.33 MFlops   0.000042 sec
    162x162 :     5998.63 MFlops   0.000035 sec
    163x163 :     6440.97 MFlops   0.000033 sec
    164x164 :     5379.20 MFlops   0.000040 sec
    165x165 :     5731.58 MFlops   0.000038 sec
    166x166 :     6680.24 MFlops   0.000033 sec
    167x167 :     5871.37 MFlops   0.000038 sec
    168x168 :     6842.18 MFlops   0.000033 sec
    169x169 :     6720.24 MFlops   0.000034 sec
    170x170 :     5504.76 MFlops   0.000042 sec
    171x171 :     5440.19 MFlops   0.000043 sec
    172x172 :     5259.38 MFlops   0.000045 sec
    173x173 :     5985.80 MFlops   0.000040 sec
    174x174 :     5382.40 MFlops   0.000045 sec
    175x175 :     2882.35 MFlops   0.000085 sec
    176x176 :     6883.56 MFlops   0.000036 sec
    177x177 :     2914.33 MFlops   0.000086 sec
    178x178 :     5632.71 MFlops   0.000045 sec
    179x179 :     5696.18 MFlops   0.000045 sec
    180x180 :     5634.78 MFlops   0.000046 sec
    181x181 :     4598.04 MFlops   0.000057 sec
    182x182 :     5408.00 MFlops   0.000049 sec
    183x183 :     5152.15 MFlops   0.000052 sec
    184x184 :     3428.46 MFlops   0.000079 sec
    185x185 :     6845.00 MFlops   0.000040 sec
    186x186 :     6750.44 MFlops   0.000041 sec
    187x187 :     5086.40 MFlops   0.000055 sec
    188x188 :     6146.78 MFlops   0.000046 sec
    189x189 :     3810.24 MFlops   0.000075 sec
    190x190 :     5250.91 MFlops   0.000055 sec
    191x191 :     6209.53 MFlops   0.000047 sec
    192x192 :     6411.13 MFlops   0.000046 sec
    193x193 :     3386.27 MFlops   0.000088 sec
    194x194 :     4935.87 MFlops   0.000061 sec
    195x195 :     5739.62 MFlops   0.000053 sec
    196x196 :     6026.04 MFlops   0.000051 sec
    197x197 :     3449.69 MFlops   0.000090 sec
    198x198 :     3646.88 MFlops   0.000086 sec
    199x199 :     5657.29 MFlops   0.000056 sec
    200x200 :     4000.00 MFlops   0.000080 sec
