From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
    138 :    67386.46 MFlops    0.000156 sec
    139 :    68423.41 MFlops    0.000157 sec
    140 :    67753.09 MFlops    0.000162 sec
    141 :    69215.33 MFlops    0.000162 sec
    142 :    37674.84 MFlops    0.000304 sec
    143 :    69623.98 MFlops    0.000168 sec
    144 :    74185.94 MFlops    0.000161 sec
    145 :    68508.43 MFlops    0.000178 sec
    146 :    69935.64 MFlops    0.000178 sec
    147 :    70983.75 MFlops    0.000179 sec
    148 :    69715.96 MFlops    0.000186 sec
    149 :    71911.93 MFlops    0.000184 sec
    150 :    70680.63 MFlops    0.000191 sec
    151 :    71356.50 MFlops    0.000193 sec
    152 :    33208.59 MFlops    0.000423 sec
    153 :    11003.31 MFlops    0.001302 sec
    154 :    12561.53 MFlops    0.001163 sec
    155 :    74477.50 MFlops    0.000200 sec
    156 :    75176.55 MFlops    0.000202 sec
    157 :    75880.25 MFlops    0.000204 sec
    158 :    76218.59 MFlops    0.000207 sec
    159 :    76202.45 MFlops    0.000211 sec
    160 :    72495.58 MFlops    0.000226 sec
    161 :    74191.66 MFlops    0.000225 sec
    162 :    72987.61 MFlops    0.000233 sec
    163 :    72179.12 MFlops    0.000240 sec
    164 :    31563.11 MFlops    0.000559 sec
    165 :    71587.65 MFlops    0.000251 sec
    166 :    72320.89 MFlops    0.000253 sec
    167 :    73058.24 MFlops    0.000255 sec
    168 :    74378.54 MFlops    0.000255 sec
    169 :    74258.60 MFlops    0.000260 sec
    170 :    71985.35 MFlops    0.000273 sec
    171 :    73263.16 MFlops    0.000273 sec
    172 :    75664.65 MFlops    0.000269 sec
    173 :    76706.92 MFlops    0.000270 sec
    174 :    76348.17 MFlops    0.000276 sec
    175 :    75484.15 MFlops    0.000284 sec
    176 :    77330.16 MFlops    0.000282 sec
    177 :    73936.44 MFlops    0.000300 sec
    178 :    73722.25 MFlops    0.000306 sec
    179 :    72370.21 MFlops    0.000317 sec
    180 :    72000.00 MFlops    0.000324 sec
    181 :    73433.33 MFlops    0.000323 sec
    182 :    70716.34 MFlops    0.000341 sec
    183 :    73615.46 MFlops    0.000333 sec
    184 :    74160.76 MFlops    0.000336 sec
    185 :    73623.55 MFlops    0.000344 sec
    186 :    75482.18 MFlops    0.000341 sec
    187 :    77387.02 MFlops    0.000338 sec
    188 :    64984.57 MFlops    0.000409 sec
    189 :    77824.43 MFlops    0.000347 sec
    190 :    79524.64 MFlops    0.000345 sec
    191 :    80090.47 MFlops    0.000348 sec
    192 :    80659.69 MFlops    0.000351 sec
    193 :    76479.33 MFlops    0.000376 sec
    194 :    31539.46 MFlops    0.000926 sec
    195 :    75277.92 MFlops    0.000394 sec
    196 :    74734.85 MFlops    0.000403 sec
    197 :    75323.87 MFlops    0.000406 sec
    198 :    76288.86 MFlops    0.000407 sec
    199 :    76510.67 MFlops    0.000412 sec
    200 :    77669.90 MFlops    0.000412 sec
