From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
    115 :    28377.46 MFlops :       0.00 Sec : 7360
    116 :    30864.66 MFlops :       0.00 Sec : 7424
    117 :    28293.20 MFlops :       0.00 Sec : 7488
    118 :    32014.44 MFlops :       0.00 Sec : 7552
    119 :    31012.72 MFlops :       0.00 Sec : 7616
    120 :    41632.73 MFlops :       0.00 Sec : 7680
    121 :    34023.80 MFlops :       0.00 Sec : 7744
    122 :    37022.31 MFlops :       0.00 Sec : 7808
    123 :    34735.66 MFlops :       0.00 Sec : 7872
    124 :    40111.05 MFlops :       0.00 Sec : 7936
    125 :    35462.33 MFlops :       0.00 Sec : 8000
    126 :    38427.57 MFlops :       0.00 Sec : 8064
    127 :    38243.10 MFlops :       0.00 Sec : 8128
    128 :    52453.43 MFlops :       0.00 Sec : 8192
    129 :    26350.24 MFlops :       0.00 Sec : 8256
    130 :    27221.03 MFlops :       0.00 Sec : 8320
    131 :    26851.46 MFlops :       0.00 Sec : 8384
    132 :    29321.35 MFlops :       0.00 Sec : 8448
    133 :    30582.18 MFlops :       0.00 Sec : 8512
    134 :    30098.17 MFlops :       0.00 Sec : 8576
    135 :    27187.50 MFlops :       0.00 Sec : 8640
    136 :    43890.42 MFlops :       0.00 Sec : 8704
    137 :    30445.80 MFlops :       0.00 Sec : 8768
    138 :    30572.65 MFlops :       0.00 Sec : 8832
    139 :    30704.62 MFlops :       0.00 Sec : 8896
    140 :    36032.67 MFlops :       0.00 Sec : 8960
    141 :    33495.33 MFlops :       0.00 Sec : 9024
    142 :    37977.90 MFlops :       0.00 Sec : 9088
    143 :    34631.54 MFlops :       0.00 Sec : 9152
    144 :    50779.69 MFlops :       0.00 Sec : 9216
    145 :    35165.65 MFlops :       0.00 Sec : 9280
    146 :    37531.29 MFlops :       0.00 Sec : 9344
    147 :    36643.48 MFlops :       0.00 Sec : 9408
    148 :    37397.67 MFlops :       0.00 Sec : 9472
    149 :    38837.58 MFlops :       0.00 Sec : 9536
    150 :    39979.91 MFlops :       0.00 Sec : 9600
    151 :    38712.31 MFlops :       0.00 Sec : 9664
    152 :    55470.95 MFlops :       0.00 Sec : 9728
    153 :    44413.85 MFlops :       0.00 Sec : 9792
    154 :    46154.53 MFlops :       0.00 Sec : 9856
    155 :    45333.94 MFlops :       0.00 Sec : 9920
    156 :    51936.21 MFlops :       0.00 Sec : 9984
    157 :    43892.91 MFlops :       0.00 Sec : 10048
    158 :    48466.50 MFlops :       0.00 Sec : 10112
    159 :    45987.55 MFlops :       0.00 Sec : 10176
    160 :    68810.13 MFlops :       0.00 Sec : 10240
    161 :    37678.38 MFlops :       0.00 Sec : 10304
    162 :    40889.35 MFlops :       0.00 Sec : 10368
    163 :    39641.60 MFlops :       0.00 Sec : 10432
    164 :    45384.78 MFlops :       0.00 Sec : 10496
    165 :    39487.09 MFlops :       0.00 Sec : 10560
    166 :    42460.01 MFlops :       0.00 Sec : 10624
    167 :    40407.45 MFlops :       0.00 Sec : 10688
    168 :    51592.07 MFlops :       0.00 Sec : 10752
    169 :    40811.89 MFlops :       0.00 Sec : 10816
    170 :    41278.80 MFlops :       0.00 Sec : 10880
    171 :    39511.86 MFlops :       0.00 Sec : 10944
    172 :    46588.28 MFlops :       0.00 Sec : 11008
    173 :    42431.99 MFlops :       0.00 Sec : 11072
    174 :    45712.72 MFlops :       0.00 Sec : 11136
    175 :    44195.65 MFlops :       0.00 Sec : 11200
    176 :    60319.60 MFlops :       0.00 Sec : 11264
    177 :    42805.87 MFlops :       0.00 Sec : 11328
    178 :    48943.02 MFlops :       0.00 Sec : 11392
    179 :    45061.40 MFlops :       0.00 Sec : 11456
    180 :    18178.17 MFlops :       0.00 Sec : 11520
    181 :    48305.90 MFlops :       0.00 Sec : 11584
    182 :    50666.27 MFlops :       0.00 Sec : 11648
    183 :    47871.36 MFlops :       0.00 Sec : 11712
    184 :    73207.58 MFlops :       0.00 Sec : 11776
    185 :    50652.11 MFlops :       0.00 Sec : 11840
    186 :    51791.04 MFlops :       0.00 Sec : 11904
    187 :    51084.00 MFlops :       0.00 Sec : 11968
    188 :    60858.84 MFlops :       0.00 Sec : 12032
    189 :    54341.13 MFlops :       0.00 Sec : 12096
    190 :    56231.79 MFlops :       0.00 Sec : 12160
    191 :    55415.16 MFlops :       0.00 Sec : 12224
    192 :    81040.00 MFlops :       0.00 Sec : 12288
    193 :    45906.16 MFlops :       0.00 Sec : 12352
    194 :    47306.66 MFlops :       0.00 Sec : 12416
    195 :    44363.96 MFlops :       0.00 Sec : 12480
    196 :    56187.03 MFlops :       0.00 Sec : 12544
    197 :    46160.68 MFlops :       0.00 Sec : 12608
    198 :    52075.67 MFlops :       0.00 Sec : 12672
    199 :    49612.30 MFlops :       0.00 Sec : 12736
    200 :    66006.21 MFlops :       0.00 Sec : 12800
