From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 133x133 :   69707.76 MFlops   0.000090 s
 134x134 :   70508.54 MFlops   0.000091 s
 135x135 :   70548.39 MFlops   0.000093 s
 136x136 :   76225.94 MFlops   0.000088 s
 137x137 :   75351.00 MFlops   0.000091 s
 138x138 :   77868.80 MFlops   0.000090 s
 139x139 :   76187.77 MFlops   0.000094 s
 140x140 :   79536.23 MFlops   0.000092 s
 141x141 :   77064.49 MFlops   0.000097 s
 142x142 :   78715.82 MFlops   0.000097 s
 143x143 :   77206.79 MFlops   0.000101 s
 144x144 :   95935.23 MFlops   0.000083 s
 145x145 :   80491.75 MFlops   0.000101 s
 146x146 :   81363.03 MFlops   0.000102 s
 147x147 :   80673.60 MFlops   0.000105 s
 148x148 :   80044.25 MFlops   0.000108 s
 149x149 :   82441.10 MFlops   0.000107 s
 150x150 :   84112.15 MFlops   0.000107 s
 151x151 :   84231.22 MFlops   0.000109 s
 152x152 :   95559.40 MFlops   0.000098 s
 153x153 :   89260.49 MFlops   0.000107 s
 154x154 :   91022.16 MFlops   0.000107 s
 155x155 :   90275.76 MFlops   0.000110 s
 156x156 :   92034.33 MFlops   0.000110 s
 157x157 :   85997.62 MFlops   0.000120 s
 158x158 :   86926.99 MFlops   0.000121 s
 159x159 :   90840.20 MFlops   0.000118 s
 160x160 :  110329.97 MFlops   0.000099 s
 161x161 :   84308.71 MFlops   0.000132 s
 162x162 :   85889.45 MFlops   0.000132 s
 163x163 :   85545.62 MFlops   0.000135 s
 164x164 :   90480.90 MFlops   0.000130 s
 165x165 :   88733.33 MFlops   0.000135 s
 166x166 :   89692.08 MFlops   0.000136 s
 167x167 :   87464.09 MFlops   0.000142 s
 168x168 :   98784.00 MFlops   0.000128 s
 169x169 :   88160.89 MFlops   0.000146 s
 170x170 :   89124.72 MFlops   0.000147 s
 171x171 :   87149.65 MFlops   0.000153 s
 172x172 :   94230.52 MFlops   0.000144 s
 173x173 :   90837.14 MFlops   0.000152 s
 174x174 :   94282.31 MFlops   0.000149 s
 175x175 :   94646.80 MFlops   0.000151 s
 176x176 :  113578.67 MFlops   0.000128 s
 177x177 :   96021.35 MFlops   0.000154 s
 178x178 :   98943.02 MFlops   0.000152 s
 179x179 :   97415.52 MFlops   0.000157 s
 180x180 :  102993.38 MFlops   0.000151 s
 181x181 :   97010.08 MFlops   0.000163 s
 182x182 :   99852.06 MFlops   0.000161 s
 183x183 :  100261.55 MFlops   0.000163 s
 184x184 :  111490.00 MFlops   0.000149 s
 185x185 :  100501.98 MFlops   0.000168 s
 186x186 :   98618.48 MFlops   0.000174 s
 187x187 :   99645.00 MFlops   0.000175 s
 188x188 :  108043.45 MFlops   0.000164 s
 189x189 :  106528.90 MFlops   0.000169 s
 190x190 :  107592.16 MFlops   0.000170 s
 191x191 :  106787.30 MFlops   0.000174 s
 192x192 :  130168.06 MFlops   0.000145 s
 193x193 :  101432.90 MFlops   0.000189 s
 194x194 :  101939.04 MFlops   0.000191 s
 195x195 :   99361.81 MFlops   0.000199 s
 196x196 :  106236.84 MFlops   0.000189 s
 197x197 :  100929.02 MFlops   0.000202 s
 198x198 :  104018.65 MFlops   0.000199 s
 199x199 :   99596.83 MFlops   0.000211 s
 200x200 :  117216.12 MFlops   0.000182 s
