From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
    139 :    76731.97 MFlops    0.000035 sec
    140 :    83151.52 MFlops    0.000033 sec
    141 :    80092.03 MFlops    0.000035 sec
    142 :   106047.70 MFlops    0.000027 sec
    143 :   108303.96 MFlops    0.000027 sec
    144 :   106642.29 MFlops    0.000028 sec
    145 :   105125.00 MFlops    0.000029 sec
    146 :      912.11 MFlops    0.003412 sec
    147 :    19369.04 MFlops    0.000164 sec
    148 :   111785.93 MFlops    0.000029 sec
    149 :   110264.97 MFlops    0.000030 sec
    150 :   112500.00 MFlops    0.000030 sec
    151 :   114765.03 MFlops    0.000030 sec
    152 :   113284.13 MFlops    0.000031 sec
    153 :      528.88 MFlops    0.006772 sec
    154 :    22269.90 MFlops    0.000164 sec
    155 :    19395.18 MFlops    0.000192 sec
    156 :    88288.74 MFlops    0.000043 sec
    157 :    89997.51 MFlops    0.000043 sec
    158 :    93912.19 MFlops    0.000042 sec
    159 :    28918.55 MFlops    0.000139 sec
    160 :    93090.91 MFlops    0.000044 sec
    161 :    86943.35 MFlops    0.000048 sec
    162 :   101226.86 MFlops    0.000042 sec
    163 :    23665.28 MFlops    0.000183 sec
    164 :   100248.73 MFlops    0.000044 sec
    165 :     1260.06 MFlops    0.003565 sec
    166 :    19382.61 MFlops    0.000236 sec
    167 :   103499.18 MFlops    0.000045 sec
    168 :    94832.64 MFlops    0.000050 sec
    169 :   107262.42 MFlops    0.000045 sec
    170 :   104531.91 MFlops    0.000047 sec
    171 :    28249.78 MFlops    0.000177 sec
    172 :   124108.49 MFlops    0.000041 sec
    173 :   126285.78 MFlops    0.000041 sec
    174 :   128488.39 MFlops    0.000041 sec
    175 :   127604.17 MFlops    0.000042 sec
    176 :   126785.49 MFlops    0.000043 sec
    177 :   123227.40 MFlops    0.000045 sec
    178 :   122603.30 MFlops    0.000046 sec
    179 :   114706.78 MFlops    0.000050 sec
    180 :   124085.11 MFlops    0.000047 sec
    181 :   123536.27 MFlops    0.000048 sec
    182 :   118207.22 MFlops    0.000051 sec
    183 :    11224.34 MFlops    0.000546 sec
    184 :   124590.08 MFlops    0.000050 sec
    185 :   129216.84 MFlops    0.000049 sec
    186 :    59582.00 MFlops    0.000108 sec
    187 :   107200.05 MFlops    0.000061 sec
    188 :   108929.05 MFlops    0.000061 sec
    189 :   118443.32 MFlops    0.000057 sec
    190 :   116254.24 MFlops    0.000059 sec
    191 :   120135.71 MFlops    0.000058 sec
    192 :   105640.12 MFlops    0.000067 sec
    193 :   112329.02 MFlops    0.000064 sec
    194 :   114084.12 MFlops    0.000064 sec
    195 :   115857.42 MFlops    0.000064 sec
    196 :   114083.88 MFlops    0.000066 sec
    197 :   119458.95 MFlops    0.000064 sec
    198 :   117612.00 MFlops    0.000066 sec
    199 :   119403.02 MFlops    0.000066 sec
    200 :   109589.04 MFlops    0.000073 sec
