From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
    132x132 :     4356.00 MFlops   0.000008 sec
    133x133 :     4422.25 MFlops   0.000008 sec
    134x134 :     3990.22 MFlops   0.000009 sec
    135x135 :     4556.25 MFlops   0.000008 sec
    136x136 :     4110.22 MFlops   0.000009 sec
    137x137 :     4170.89 MFlops   0.000009 sec
    138x138 :     4232.00 MFlops   0.000009 sec
    139x139 :     4293.56 MFlops   0.000009 sec
    140x140 :      816.67 MFlops   0.000048 sec
    141x141 :     4418.00 MFlops   0.000009 sec
    142x142 :     4032.80 MFlops   0.000010 sec
    143x143 :     4089.80 MFlops   0.000010 sec
    144x144 :     3770.18 MFlops   0.000011 sec
    145x145 :     3822.73 MFlops   0.000011 sec
    146x146 :     4263.20 MFlops   0.000010 sec
    147x147 :     4321.80 MFlops   0.000010 sec
    148x148 :     4380.80 MFlops   0.000010 sec
    149x149 :     3700.17 MFlops   0.000012 sec
    150x150 :     4090.91 MFlops   0.000011 sec
    151x151 :     3800.17 MFlops   0.000012 sec
    152x152 :     3850.67 MFlops   0.000012 sec
    153x153 :     3901.50 MFlops   0.000012 sec
    154x154 :     3952.67 MFlops   0.000012 sec
    155x155 :     3696.15 MFlops   0.000013 sec
    156x156 :     4424.73 MFlops   0.000011 sec
    157x157 :     4481.64 MFlops   0.000011 sec
    158x158 :     3840.62 MFlops   0.000013 sec
    159x159 :     3370.80 MFlops   0.000015 sec
    160x160 :     5120.00 MFlops   0.000010 sec
    161x161 :     4712.91 MFlops   0.000011 sec
    162x162 :     3749.14 MFlops   0.000014 sec
    163x163 :     4830.73 MFlops   0.000011 sec
    164x164 :     5976.89 MFlops   0.000009 sec
    165x165 :     6050.00 MFlops   0.000009 sec
    166x166 :     6889.00 MFlops   0.000008 sec
    167x167 :     6197.56 MFlops   0.000009 sec
    168x168 :     6272.00 MFlops   0.000009 sec
    169x169 :     7140.25 MFlops   0.000008 sec
    170x170 :     7225.00 MFlops   0.000008 sec
    171x171 :     6498.00 MFlops   0.000009 sec
    172x172 :     6574.22 MFlops   0.000009 sec
    173x173 :     6650.89 MFlops   0.000009 sec
    174x174 :     6728.00 MFlops   0.000009 sec
    175x175 :     6805.56 MFlops   0.000009 sec
    176x176 :     6195.20 MFlops   0.000010 sec
    177x177 :     7832.25 MFlops   0.000008 sec
    178x178 :     6336.80 MFlops   0.000010 sec
    179x179 :     7120.22 MFlops   0.000009 sec
    180x180 :     6480.00 MFlops   0.000010 sec
    181x181 :     7280.22 MFlops   0.000009 sec
    182x182 :     6624.80 MFlops   0.000010 sec
    183x183 :     7442.00 MFlops   0.000009 sec
    184x184 :     6771.20 MFlops   0.000010 sec
    185x185 :     6845.00 MFlops   0.000010 sec
