From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 133x133 :   42750.93 MFlops   0.000587 s
 134x134 :   43648.15 MFlops   0.000588 s
 135x135 :   35852.46 MFlops   0.000732 s
 136x136 :   37266.01 MFlops   0.000720 s
 137x137 :   34939.83 MFlops   0.000785 s
 138x138 :   37228.11 MFlops   0.000753 s
 139x139 :   38607.28 MFlops   0.000742 s
 140x140 :   37962.82 MFlops   0.000771 s
 141x141 :   38782.13 MFlops   0.000771 s
 142x142 :   39307.26 MFlops   0.000777 s
 143x143 :   25276.78 MFlops   0.001234 s
 144x144 :   47185.92 MFlops   0.000675 s
 145x145 :   45865.54 MFlops   0.000709 s
 146x146 :   45978.00 MFlops   0.000722 s
 147x147 :   41120.04 MFlops   0.000824 s
 148x148 :   49398.74 MFlops   0.000700 s
 149x149 :   46921.26 MFlops   0.000752 s
 150x150 :   47808.76 MFlops   0.000753 s
 151x151 :   47756.58 MFlops   0.000769 s
 152x152 :   46417.95 MFlops   0.000807 s
 153x153 :   41661.38 MFlops   0.000917 s
 154x154 :   41799.87 MFlops   0.000932 s
 155x155 :   42528.19 MFlops   0.000934 s
 156x156 :   44208.63 MFlops   0.000916 s
 157x157 :   43360.15 MFlops   0.000952 s
 158x158 :   44427.31 MFlops   0.000947 s
 159x159 :   46004.91 MFlops   0.000932 s
 160x160 :   46678.06 MFlops   0.000936 s
 161x161 :   51521.99 MFlops   0.000864 s
 162x162 :   53668.20 MFlops   0.000845 s
 163x163 :   53714.69 MFlops   0.000860 s
 164x164 :   53405.30 MFlops   0.000881 s
 165x165 :   53838.20 MFlops   0.000890 s
 166x166 :   54334.62 MFlops   0.000898 s
 167x167 :   51588.38 MFlops   0.000963 s
 168x168 :   42934.98 MFlops   0.001178 s
 169x169 :   43301.90 MFlops   0.001189 s
 170x170 :   43061.08 MFlops   0.001217 s
 171x171 :   43646.14 MFlops   0.001222 s
 172x172 :   44271.43 MFlops   0.001226 s
 173x173 :   44575.45 MFlops   0.001239 s
 174x174 :   44917.87 MFlops   0.001251 s
 175x175 :   44349.63 MFlops   0.001289 s
 176x176 :   45360.59 MFlops   0.001282 s
 177x177 :   44506.51 MFlops   0.001329 s
 178x178 :   53904.44 MFlops   0.001116 s
 179x179 :   53336.49 MFlops   0.001147 s
 180x180 :   53351.63 MFlops   0.001166 s
 181x181 :   48879.88 MFlops   0.001294 s
 182x182 :   55868.57 MFlops   0.001151 s
 183x183 :   56794.55 MFlops   0.001151 s
 184x184 :   57481.01 MFlops   0.001156 s
 185x185 :   44815.75 MFlops   0.001507 s
 186x186 :   46314.75 MFlops   0.001482 s
