From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
    115 :    10507.65 MFlops :       0.00 Sec : 3910
    116 :    11629.43 MFlops :       0.00 Sec : 3944
    117 :    11302.73 MFlops :       0.00 Sec : 3978
    118 :    11423.56 MFlops :       0.00 Sec : 4012
    119 :    11218.77 MFlops :       0.00 Sec : 4046
    120 :    11105.26 MFlops :       0.00 Sec : 4080
    121 :    11626.42 MFlops :       0.00 Sec : 4114
    122 :    10996.15 MFlops :       0.00 Sec : 4148
    123 :    11738.53 MFlops :       0.00 Sec : 4182
    124 :    11986.97 MFlops :       0.00 Sec : 4216
    125 :    11746.41 MFlops :       0.00 Sec : 4250
    126 :    11825.30 MFlops :       0.00 Sec : 4284
    127 :    11568.84 MFlops :       0.00 Sec : 4318
    128 :    11513.35 MFlops :       0.00 Sec : 4352
    129 :    11977.61 MFlops :       0.00 Sec : 4386
    130 :    11959.27 MFlops :       0.00 Sec : 4420
    131 :    12383.31 MFlops :       0.00 Sec : 4454
    132 :    11761.15 MFlops :       0.01 Sec : 4488
    133 :    12093.90 MFlops :       0.01 Sec : 4522
    134 :    11669.32 MFlops :       0.01 Sec : 4556
    135 :    11928.13 MFlops :       0.01 Sec : 4590
    136 :    12940.98 MFlops :       0.01 Sec : 4624
    137 :    12343.43 MFlops :       0.01 Sec : 4658
    138 :    13110.48 MFlops :       0.01 Sec : 4692
    139 :    11856.53 MFlops :       0.01 Sec : 4726
    140 :    12525.92 MFlops :       0.01 Sec : 4760
    141 :    12612.58 MFlops :       0.01 Sec : 4794
    142 :    13068.19 MFlops :       0.01 Sec : 4828
    143 :    12402.44 MFlops :       0.01 Sec : 4862
    144 :    12563.27 MFlops :       0.01 Sec : 4896
    145 :    13092.53 MFlops :       0.01 Sec : 4930
    146 :    12805.52 MFlops :       0.01 Sec : 4964
    147 :    12468.37 MFlops :       0.01 Sec : 4998
    148 :    13725.10 MFlops :       0.01 Sec : 5032
    149 :    13395.62 MFlops :       0.01 Sec : 5066
    150 :    14781.06 MFlops :       0.01 Sec : 5100
    151 :    13819.04 MFlops :       0.01 Sec : 5134
