From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
    115 :    11851.76 MFlops :       0.00 Sec : 7360
    116 :    11884.67 MFlops :       0.00 Sec : 7424
    117 :    11595.57 MFlops :       0.00 Sec : 7488
    118 :     9383.54 MFlops :       0.00 Sec : 7552
    119 :     9113.94 MFlops :       0.00 Sec : 7616
    120 :     9308.13 MFlops :       0.00 Sec : 7680
    121 :     9206.44 MFlops :       0.00 Sec : 7744
    122 :     9703.43 MFlops :       0.00 Sec : 7808
    123 :     9864.93 MFlops :       0.00 Sec : 7872
    124 :     9948.80 MFlops :       0.00 Sec : 7936
    125 :     9918.58 MFlops :       0.00 Sec : 8000
    126 :     7938.63 MFlops :       0.00 Sec : 8064
    127 :    10403.30 MFlops :       0.00 Sec : 8128
    128 :    11300.94 MFlops :       0.00 Sec : 8192
    129 :     7278.33 MFlops :       0.00 Sec : 8256
    130 :     7936.38 MFlops :       0.00 Sec : 8320
    131 :     7741.59 MFlops :       0.00 Sec : 8384
    132 :     8712.63 MFlops :       0.00 Sec : 8448
    133 :     7877.23 MFlops :       0.00 Sec : 8512
    134 :     9667.90 MFlops :       0.00 Sec : 8576
    135 :     8301.53 MFlops :       0.00 Sec : 8640
    136 :     9163.93 MFlops :       0.00 Sec : 8704
    137 :    10301.90 MFlops :       0.00 Sec : 8768
    138 :     9123.77 MFlops :       0.00 Sec : 8832
    139 :     7827.99 MFlops :       0.00 Sec : 8896
    140 :     9307.67 MFlops :       0.00 Sec : 8960
    141 :     9068.25 MFlops :       0.00 Sec : 9024
    142 :     9713.02 MFlops :       0.00 Sec : 9088
    143 :     9996.73 MFlops :       0.00 Sec : 9152
    144 :     7751.11 MFlops :       0.00 Sec : 9216
    145 :     8202.94 MFlops :       0.00 Sec : 9280
    146 :     7547.43 MFlops :       0.00 Sec : 9344
    147 :     9985.78 MFlops :       0.00 Sec : 9408
    148 :    10363.21 MFlops :       0.00 Sec : 9472
    149 :    10499.15 MFlops :       0.00 Sec : 9536
    150 :    10948.04 MFlops :       0.00 Sec : 9600
    151 :    10219.36 MFlops :       0.00 Sec : 9664
    152 :    10638.26 MFlops :       0.00 Sec : 9728
    153 :    11026.18 MFlops :       0.00 Sec : 9792
    154 :    10890.40 MFlops :       0.00 Sec : 9856
    155 :    10789.08 MFlops :       0.00 Sec : 9920
    156 :    11909.72 MFlops :       0.00 Sec : 9984
    157 :    11437.57 MFlops :       0.00 Sec : 10048
    158 :    11923.42 MFlops :       0.00 Sec : 10112
    159 :    11647.50 MFlops :       0.00 Sec : 10176
    160 :    12382.69 MFlops :       0.00 Sec : 10240
    161 :    10314.19 MFlops :       0.00 Sec : 10304
    162 :     7645.98 MFlops :       0.00 Sec : 10368
    163 :    11827.23 MFlops :       0.00 Sec : 10432
    164 :    13215.88 MFlops :       0.00 Sec : 10496
    165 :    11600.29 MFlops :       0.00 Sec : 10560
    166 :    12891.26 MFlops :       0.00 Sec : 10624
    167 :    13181.96 MFlops :       0.00 Sec : 10688
    168 :    11655.99 MFlops :       0.00 Sec : 10752
    169 :    11482.91 MFlops :       0.00 Sec : 10816
    170 :    13531.22 MFlops :       0.00 Sec : 10880
    171 :    14093.40 MFlops :       0.00 Sec : 10944
    172 :    13193.95 MFlops :       0.00 Sec : 11008
    173 :    13914.94 MFlops :       0.00 Sec : 11072
    174 :    12206.01 MFlops :       0.00 Sec : 11136
    175 :    12019.43 MFlops :       0.00 Sec : 11200
    176 :    12721.18 MFlops :       0.00 Sec : 11264
    177 :    12521.45 MFlops :       0.00 Sec : 11328
    178 :    12627.79 MFlops :       0.00 Sec : 11392
    179 :    12302.71 MFlops :       0.00 Sec : 11456
