From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
     77 :   1.953993e-14     3170.37 MFlops    2964.50 MFlops    3162.13 MFlops
     78 :   4.973799e-14     3295.50 MFlops    3042.00 MFlops    3285.36 MFlops
     79 :   9.037215e-14     3652.14 MFlops    3120.50 MFlops    3629.52 MFlops
     80 :   1.298961e-14     3346.41 MFlops    2560.00 MFlops    3309.66 MFlops
     81 :   3.963496e-14     2746.47 MFlops    3280.50 MFlops    2762.53 MFlops
     82 :   3.419487e-14     3828.94 MFlops    3362.00 MFlops    3810.27 MFlops
     83 :   3.996803e-14     3630.39 MFlops    2755.60 MFlops    3590.63 MFlops
     84 :   3.264056e-14     4203.57 MFlops    3528.00 MFlops    4176.00 MFlops
     85 :   4.429790e-14     3529.45 MFlops    2408.33 MFlops    3474.32 MFlops
     86 :   1.887379e-14     3926.27 MFlops    2958.40 MFlops    3883.45 MFlops
     87 :   5.884182e-14     4303.94 MFlops    3027.60 MFlops    4244.30 MFlops
     88 :   1.865175e-14     4732.44 MFlops    3097.60 MFlops    4651.51 MFlops
     89 :   1.187939e-14     4272.54 MFlops    3168.40 MFlops    4224.53 MFlops
     90 :   2.442491e-14     4339.29 MFlops    3240.00 MFlops    4292.31 MFlops
     91 :   3.141931e-13     4525.95 MFlops    3312.40 MFlops    4473.64 MFlops
     92 :   4.385381e-14     4514.13 MFlops    3385.60 MFlops    4467.11 MFlops
     93 :   8.926193e-14     4583.23 MFlops    2883.00 MFlops    4500.29 MFlops
     94 :   1.487699e-14     4732.67 MFlops    3534.40 MFlops    4683.56 MFlops
     95 :   3.019807e-14     4572.67 MFlops    3008.33 MFlops    4501.02 MFlops
     96 :   4.529710e-14     5173.89 MFlops    3072.00 MFlops    5068.80 MFlops
     97 :   5.706546e-14     5070.41 MFlops    3763.60 MFlops    5018.13 MFlops
     98 :   3.719247e-14     4546.82 MFlops    3841.60 MFlops    4522.16 MFlops
     99 :   3.825829e-13     4827.36 MFlops    3267.00 MFlops    4760.49 MFlops
    100 :   1.854072e-13     5167.96 MFlops    4000.00 MFlops    5124.38 MFlops
    101 :   3.597123e-14     4941.49 MFlops    3400.33 MFlops    4877.72 MFlops
    102 :   1.210143e-14     4313.85 MFlops    3468.00 MFlops    4284.00 MFlops
    103 :   4.851675e-14     5130.17 MFlops    3536.33 MFlops    5065.56 MFlops
    104 :   5.417888e-14     5554.88 MFlops    3605.33 MFlops    5471.92 MFlops
    105 :   3.308465e-14     5359.38 MFlops    3675.00 MFlops    5292.00 MFlops
    106 :   5.284662e-14     5189.61 MFlops    3210.29 MFlops    5103.02 MFlops
    107 :   6.417089e-14     5593.80 MFlops    3816.33 MFlops    5523.64 MFlops
    108 :   2.586820e-14     5383.38 MFlops    3332.57 MFlops    5295.31 MFlops
    109 :   2.442491e-14     5833.46 MFlops    3960.33 MFlops    5760.48 MFlops
    110 :   2.442491e-14     5189.08 MFlops    3457.14 MFlops    5120.97 MFlops
    111 :   3.019807e-14     5998.38 MFlops    3520.29 MFlops    5889.28 MFlops
    112 :   2.664535e-14     6121.69 MFlops    3584.00 MFlops    6010.67 MFlops
    113 :   6.439294e-14     6412.88 MFlops    3648.29 MFlops    6289.61 MFlops
    114 :   2.164935e-14     6211.92 MFlops    3249.00 MFlops    6069.99 MFlops
    115 :   4.551914e-14     6258.74 MFlops    3306.25 MFlops    6119.80 MFlops
    116 :   3.128608e-13     6157.38 MFlops    3844.57 MFlops    6065.39 MFlops
    117 :   2.442491e-14     6318.00 MFlops    3422.25 MFlops    6187.12 MFlops
    118 :   3.896883e-14     5953.01 MFlops    3978.29 MFlops    5880.64 MFlops
    119 :   7.971401e-14     6139.01 MFlops    3540.25 MFlops    6030.16 MFlops
    120 :   7.349676e-14     6857.14 MFlops    4114.29 MFlops    6747.43 MFlops
    121 :   8.892886e-13     1704.24 MFlops    1464.10 MFlops    1697.51 MFlops
    122 :   4.061196e-13     3783.02 MFlops    3307.56 MFlops    3770.01 MFlops
    123 :   3.952394e-14     6779.11 MFlops    3782.25 MFlops    6653.59 MFlops
    124 :   4.400924e-13     6725.31 MFlops    4393.14 MFlops    6642.01 MFlops
    125 :   3.619327e-14     6576.18 MFlops    3906.25 MFlops    6472.49 MFlops
    126 :   2.975398e-14     6909.76 MFlops    4536.00 MFlops    6826.68 MFlops
    127 :   1.139089e-13     6931.92 MFlops    4608.29 MFlops    6852.19 MFlops
    128 :   1.179057e-13     6442.86 MFlops    4681.14 MFlops    6387.81 MFlops
    129 :   4.651834e-14     6981.10 MFlops    4160.25 MFlops    6875.15 MFlops
    130 :   4.163336e-14     6687.98 MFlops    5633.33 MFlops    6659.85 MFlops
    131 :   9.037215e-14     7003.40 MFlops    3813.56 MFlops    6874.66 MFlops
    132 :   3.586020e-14     7443.26 MFlops    4978.29 MFlops    7362.25 MFlops
    133 :   3.063105e-13     7363.50 MFlops    4422.25 MFlops    7257.03 MFlops
    134 :   7.904788e-14     6855.00 MFlops    3990.22 MFlops    6748.89 MFlops
    135 :   1.034728e-13     7629.07 MFlops    4050.00 MFlops    7485.27 MFlops
    136 :   6.417089e-14     7910.24 MFlops    4110.22 MFlops    7755.49 MFlops
    137 :   9.592327e-14     6802.52 MFlops    1564.08 MFlops    6347.00 MFlops
    138 :   2.287059e-14     6636.55 MFlops    4232.00 MFlops    6557.27 MFlops
    139 :   8.326673e-14     5647.99 MFlops    1207.56 MFlops    5240.84 MFlops
    140 :   1.828981e-12     5939.39 MFlops    1351.72 MFlops    5544.61 MFlops
    141 :   4.263256e-14     5913.97 MFlops    1728.78 MFlops    5630.02 MFlops
    142 :   2.975398e-14     5784.42 MFlops    1344.27 MFlops    5414.41 MFlops
    143 :   1.272316e-13     5998.37 MFlops    1778.17 MFlops    5719.45 MFlops
    144 :   9.581225e-13     6087.63 MFlops    1974.86 MFlops    5839.45 MFlops
    145 :   1.030287e-13     6158.84 MFlops    3822.73 MFlops    6083.48 MFlops
    146 :   3.330669e-13     8433.97 MFlops    4263.20 MFlops    8271.05 MFlops
    147 :   8.126833e-14     7252.34 MFlops    4321.80 MFlops    7155.30 MFlops
    148 :   4.773959e-14     8857.36 MFlops    4380.80 MFlops    8681.11 MFlops
    149 :   2.220224e-12     8928.34 MFlops    4440.20 MFlops    8753.70 MFlops
    150 :   3.397282e-14     8620.69 MFlops    4500.00 MFlops    8468.63 MFlops
    151 :   3.441691e-14     8862.16 MFlops    4145.64 MFlops    8670.01 MFlops
    152 :   3.715916e-13     9555.94 MFlops    4200.73 MFlops    9325.83 MFlops
    153 :   3.375078e-14     9290.73 MFlops    4256.18 MFlops    9084.09 MFlops
    154 :   5.304646e-13     8338.50 MFlops    4312.00 MFlops    8192.33 MFlops
    155 :   4.118927e-14     9127.14 MFlops    4368.18 MFlops    8942.17 MFlops
    156 :   4.662937e-14     9734.40 MFlops    4424.73 MFlops    9518.88 MFlops
    157 :   1.576517e-14     8896.31 MFlops    4481.64 MFlops    8734.97 MFlops
    158 :   1.116884e-13     8913.70 MFlops    4538.91 MFlops    8756.44 MFlops
    159 :   4.818368e-14     9053.33 MFlops    4596.55 MFlops    8893.64 MFlops
    160 :   7.183143e-14     9581.29 MFlops    4654.55 MFlops    9398.20 MFlops
    161 :   1.598721e-13    10044.00 MFlops    4320.17 MFlops    9806.33 MFlops
    162 :   8.448797e-13    10901.35 MFlops    4771.64 MFlops   10652.55 MFlops
    163 :   4.796163e-14    11190.56 MFlops    4428.17 MFlops   10890.01 MFlops
    164 :   3.419487e-14    10654.45 MFlops    4482.67 MFlops   10397.30 MFlops
    165 :   1.139089e-13    11258.46 MFlops    4537.50 MFlops   10968.35 MFlops
    166 :   1.164624e-13    11049.02 MFlops    4239.38 MFlops   10742.71 MFlops
    167 :   5.675460e-13     6946.25 MFlops    4290.62 MFlops    6871.20 MFlops
    168 :   7.189804e-13    11664.53 MFlops    4704.00 MFlops   11369.39 MFlops
    169 :   1.110223e-13    11658.96 MFlops    4394.00 MFlops   11332.16 MFlops
    170 :   4.574119e-14    11655.99 MFlops    4816.67 MFlops   11375.88 MFlops
    171 :   4.329870e-14    11655.50 MFlops    4873.50 MFlops   11382.40 MFlops
    172 :   6.261658e-14    11902.80 MFlops    4551.38 MFlops   11582.10 MFlops
    173 :   1.583178e-13    11985.46 MFlops    4604.46 MFlops   11666.68 MFlops
    174 :   5.373479e-14    12152.30 MFlops    4657.85 MFlops   11829.70 MFlops
    175 :   1.522782e-12    12492.72 MFlops    4375.00 MFlops   12113.89 MFlops
    176 :   6.994405e-14    12320.40 MFlops    4765.54 MFlops   12001.52 MFlops
    177 :   2.537970e-13    12200.73 MFlops    4819.85 MFlops   11897.09 MFlops
    178 :   4.196643e-14    10993.67 MFlops    1667.58 MFlops   10061.06 MFlops
    179 :   1.301514e-12     7381.39 MFlops    1941.88 MFlops    7055.61 MFlops
    180 :   3.235190e-13     5794.34 MFlops    1963.64 MFlops    5614.77 MFlops
    181 :   6.139533e-14     7501.25 MFlops    2047.56 MFlops    7189.06 MFlops
    182 :   1.516565e-13     7597.44 MFlops    4732.00 MFlops    7523.56 MFlops
    183 :   6.794565e-14    12087.75 MFlops    4784.14 MFlops   11797.26 MFlops
    184 :   6.239453e-14    12546.84 MFlops    4836.57 MFlops   12233.96 MFlops
    185 :   1.063594e-13    12714.11 MFlops    4889.29 MFlops   12397.50 MFlops
    186 :   1.160183e-13    13118.97 MFlops    4612.80 MFlops   12745.89 MFlops
    187 :   5.428991e-14     7784.77 MFlops    1942.72 MFlops    7431.89 MFlops
    188 :   8.046896e-13     7757.94 MFlops    2079.06 MFlops    7438.79 MFlops
    189 :   9.148238e-14    11168.35 MFlops    4465.12 MFlops   10912.38 MFlops
    190 :   7.449596e-14    11970.33 MFlops    4813.33 MFlops   11699.92 MFlops
    191 :   6.317169e-14    13048.45 MFlops    4560.12 MFlops   12683.36 MFlops
    192 :   5.107026e-14    13677.08 MFlops    4915.20 MFlops   13312.00 MFlops
    193 :   1.132427e-13    10698.00 MFlops    1862.45 MFlops    9973.78 MFlops
    194 :   8.271162e-14     8139.78 MFlops    2150.63 MFlops    7808.63 MFlops
    195 :   3.358425e-13     7909.20 MFlops    2055.41 MFlops    7582.02 MFlops
    196 :   4.198863e-13     8310.75 MFlops    2195.20 MFlops    7975.78 MFlops
    197 :   8.237855e-14    14041.09 MFlops    4851.12 MFlops   13653.12 MFlops
    198 :   2.429168e-13    14100.62 MFlops    4900.50 MFlops   13716.28 MFlops
    199 :   4.951595e-14    13789.32 MFlops    4658.94 MFlops   13399.33 MFlops
    200 :   1.794120e-13    14072.12 MFlops    5000.00 MFlops   13704.64 MFlops
