From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
    138 :    35158.15 MFlops    0.000299 sec
    139 :    33155.79 MFlops    0.000324 sec
    140 :    34734.18 MFlops    0.000316 sec
    141 :    33875.78 MFlops    0.000331 sec
    142 :    34601.67 MFlops    0.000331 sec
    143 :    47937.82 MFlops    0.000244 sec
    144 :    35547.43 MFlops    0.000336 sec
    145 :    35041.67 MFlops    0.000348 sec
    146 :    34869.87 MFlops    0.000357 sec
    147 :    33882.91 MFlops    0.000375 sec
    148 :    36221.14 MFlops    0.000358 sec
    149 :    33754.58 MFlops    0.000392 sec
    150 :    35620.05 MFlops    0.000379 sec
    151 :    34777.28 MFlops    0.000396 sec
    152 :    36111.14 MFlops    0.000389 sec
    153 :    34273.46 MFlops    0.000418 sec
    154 :    18562.97 MFlops    0.000787 sec
    155 :    18831.23 MFlops    0.000791 sec
    156 :    32587.26 MFlops    0.000466 sec
    157 :    32316.43 MFlops    0.000479 sec
    158 :    35534.34 MFlops    0.000444 sec
    159 :    36377.19 MFlops    0.000442 sec
    160 :    36984.20 MFlops    0.000443 sec
    161 :    36447.87 MFlops    0.000458 sec
    162 :    37212.50 MFlops    0.000457 sec
    163 :    33768.01 MFlops    0.000513 sec
    164 :    39738.23 MFlops    0.000444 sec
    165 :    34554.81 MFlops    0.000520 sec
    166 :    35459.66 MFlops    0.000516 sec
    167 :    50624.60 MFlops    0.000368 sec
    168 :    38162.03 MFlops    0.000497 sec
    169 :    36428.75 MFlops    0.000530 sec
    170 :    53547.68 MFlops    0.000367 sec
    171 :    37176.29 MFlops    0.000538 sec
    172 :    37415.06 MFlops    0.000544 sec
    173 :    36271.22 MFlops    0.000571 sec
    174 :    49465.01 MFlops    0.000426 sec
    175 :    40601.33 MFlops    0.000528 sec
    176 :    37859.56 MFlops    0.000576 sec
    177 :    37278.88 MFlops    0.000595 sec
    178 :    37287.62 MFlops    0.000605 sec
    179 :    34707.04 MFlops    0.000661 sec
    180 :    37870.13 MFlops    0.000616 sec
    181 :    36716.66 MFlops    0.000646 sec
    182 :    27217.01 MFlops    0.000886 sec
    183 :    38726.62 MFlops    0.000633 sec
    184 :    38276.52 MFlops    0.000651 sec
    185 :    40137.08 MFlops    0.000631 sec
    186 :    38189.06 MFlops    0.000674 sec
    187 :    36685.57 MFlops    0.000713 sec
    188 :    38078.35 MFlops    0.000698 sec
    189 :    36346.00 MFlops    0.000743 sec
    190 :    54544.73 MFlops    0.000503 sec
    191 :    39590.18 MFlops    0.000704 sec
    192 :    38571.60 MFlops    0.000734 sec
    193 :    49924.01 MFlops    0.000576 sec
    194 :    38529.73 MFlops    0.000758 sec
    195 :    38468.87 MFlops    0.000771 sec
    196 :    37137.05 MFlops    0.000811 sec
    197 :    37068.48 MFlops    0.000825 sec
    198 :    38004.37 MFlops    0.000817 sec
    199 :    37616.22 MFlops    0.000838 sec
    200 :    38415.37 MFlops    0.000833 sec
