From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
    135 :     5607.69 MFlops  0.000013000 sec
    136 :     6165.33 MFlops  0.000012000 sec
    137 :     5775.08 MFlops  0.000013000 sec
    138 :     6925.09 MFlops  0.000011000 sec
    139 :     7025.82 MFlops  0.000011000 sec
    140 :     6533.33 MFlops  0.000012000 sec
    141 :     6627.00 MFlops  0.000012000 sec
    142 :     6204.31 MFlops  0.000013000 sec
    143 :     6816.33 MFlops  0.000012000 sec
    144 :     6912.00 MFlops  0.000012000 sec
    145 :     3656.52 MFlops  0.000023000 sec
    146 :     4263.20 MFlops  0.000020000 sec
    147 :    14406.00 MFlops  0.000006000 sec
    148 :     7965.09 MFlops  0.000011000 sec
    149 :    11100.50 MFlops  0.000008000 sec
    150 :     9000.00 MFlops  0.000010000 sec
    151 :    10133.78 MFlops  0.000009000 sec
    152 :     8401.45 MFlops  0.000011000 sec
    153 :     6242.40 MFlops  0.000015000 sec
    154 :     8624.00 MFlops  0.000011000 sec
    155 :     7392.31 MFlops  0.000013000 sec
    156 :     6953.14 MFlops  0.000014000 sec
    157 :     8963.27 MFlops  0.000011000 sec
    158 :     9077.82 MFlops  0.000011000 sec
    159 :     7778.77 MFlops  0.000013000 sec
    160 :     6400.00 MFlops  0.000016000 sec
    161 :     9425.82 MFlops  0.000011000 sec
    162 :    13122.00 MFlops  0.000008000 sec
    163 :     8856.33 MFlops  0.000012000 sec
    164 :     8275.69 MFlops  0.000013000 sec
    165 :    10890.00 MFlops  0.000010000 sec
    166 :    10020.36 MFlops  0.000011000 sec
    167 :    13944.50 MFlops  0.000008000 sec
    168 :    12544.00 MFlops  0.000009000 sec
    169 :    12693.78 MFlops  0.000009000 sec
    170 :    14450.00 MFlops  0.000008000 sec
    171 :    14620.50 MFlops  0.000008000 sec
    172 :    11833.60 MFlops  0.000010000 sec
    173 :     9208.92 MFlops  0.000013000 sec
    174 :    10092.00 MFlops  0.000012000 sec
    175 :     9423.08 MFlops  0.000013000 sec
    176 :    12390.40 MFlops  0.000010000 sec
    177 :    12531.60 MFlops  0.000010000 sec
    178 :    15842.00 MFlops  0.000008000 sec
    179 :    10680.33 MFlops  0.000012000 sec
    180 :    10800.00 MFlops  0.000012000 sec
    181 :    10080.31 MFlops  0.000013000 sec
    182 :     9464.00 MFlops  0.000014000 sec
    183 :    13395.60 MFlops  0.000010000 sec
    184 :    15047.11 MFlops  0.000009000 sec
    185 :    19557.14 MFlops  0.000007000 sec
    186 :    10644.92 MFlops  0.000013000 sec
    187 :    10759.69 MFlops  0.000013000 sec
    188 :    10875.08 MFlops  0.000013000 sec
    189 :    10991.08 MFlops  0.000013000 sec
    190 :    13127.27 MFlops  0.000011000 sec
    191 :    11224.92 MFlops  0.000013000 sec
    192 :    14745.60 MFlops  0.000010000 sec
    193 :    12416.33 MFlops  0.000012000 sec
    194 :    12545.33 MFlops  0.000012000 sec
    195 :    12675.00 MFlops  0.000012000 sec
    196 :    12805.33 MFlops  0.000012000 sec
    197 :    17248.44 MFlops  0.000009000 sec
    198 :    13068.00 MFlops  0.000012000 sec
    199 :    14400.36 MFlops  0.000011000 sec
    200 :    13333.33 MFlops  0.000012000 sec
