From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
    138 :    51530.82 MFlops    0.000204 sec
    139 :    54808.55 MFlops    0.000196 sec
    140 :    53803.92 MFlops    0.000204 sec
    141 :    54697.00 MFlops    0.000205 sec
    142 :    50233.12 MFlops    0.000228 sec
    143 :    55173.72 MFlops    0.000212 sec
    144 :    55041.18 MFlops    0.000217 sec
    145 :    56718.60 MFlops    0.000215 sec
    146 :    51440.26 MFlops    0.000242 sec
    147 :    53839.37 MFlops    0.000236 sec
    148 :    54029.87 MFlops    0.000240 sec
    149 :    54676.84 MFlops    0.000242 sec
    150 :    52734.37 MFlops    0.000256 sec
    151 :    52165.92 MFlops    0.000264 sec
    152 :    57102.57 MFlops    0.000246 sec
    153 :    56181.60 MFlops    0.000255 sec
    154 :    52362.21 MFlops    0.000279 sec
    155 :    56209.43 MFlops    0.000265 sec
    156 :    57960.55 MFlops    0.000262 sec
    157 :    54892.10 MFlops    0.000282 sec
    158 :    54031.67 MFlops    0.000292 sec
    159 :    56219.29 MFlops    0.000286 sec
    160 :    57690.14 MFlops    0.000284 sec
    161 :    57962.24 MFlops    0.000288 sec
    162 :    53144.10 MFlops    0.000320 sec
    163 :    57360.89 MFlops    0.000302 sec
    164 :    56011.99 MFlops    0.000315 sec
    165 :    57962.90 MFlops    0.000310 sec
    166 :    53344.56 MFlops    0.000343 sec
    167 :    55445.99 MFlops    0.000336 sec
    168 :    59643.17 MFlops    0.000318 sec
    169 :    59406.88 MFlops    0.000325 sec
    170 :    56471.26 MFlops    0.000348 sec
    171 :    61922.12 MFlops    0.000323 sec
    172 :    57013.42 MFlops    0.000357 sec
    173 :    61456.58 MFlops    0.000337 sec
    174 :    56342.50 MFlops    0.000374 sec
    175 :    59548.61 MFlops    0.000360 sec
    176 :    58621.25 MFlops    0.000372 sec
    177 :    59948.46 MFlops    0.000370 sec
    178 :    59679.92 MFlops    0.000378 sec
    179 :    55954.53 MFlops    0.000410 sec
    180 :    56621.36 MFlops    0.000412 sec
    181 :    59149.54 MFlops    0.000401 sec
    182 :    56739.46 MFlops    0.000425 sec
    183 :    56224.65 MFlops    0.000436 sec
    184 :    61223.63 MFlops    0.000407 sec
    185 :    59312.65 MFlops    0.000427 sec
    186 :    55472.90 MFlops    0.000464 sec
    187 :    59312.50 MFlops    0.000441 sec
    188 :    58802.41 MFlops    0.000452 sec
    189 :    58706.69 MFlops    0.000460 sec
    190 :    57638.66 MFlops    0.000476 sec
    191 :    60327.89 MFlops    0.000462 sec
    192 :    60494.77 MFlops    0.000468 sec
    193 :    96174.68 MFlops    0.000299 sec
    194 :    82269.12 MFlops    0.000355 sec
    195 :    30992.16 MFlops    0.000957 sec
    196 :    34618.56 MFlops    0.000870 sec
    197 :    80266.38 MFlops    0.000381 sec
    198 :    56453.76 MFlops    0.000550 sec
    199 :    58483.11 MFlops    0.000539 sec
    200 :    60263.65 MFlops    0.000531 sec
