From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
    115 :     9925.55 MFlops :       0.02 Sec : 3795
    116 :    10161.55 MFlops :       0.02 Sec : 3828
    117 :     9609.31 MFlops :       0.02 Sec : 3861
    118 :     8198.81 MFlops :       0.02 Sec : 3894
    119 :     9868.28 MFlops :       0.02 Sec : 3927
    120 :     8909.43 MFlops :       0.02 Sec : 3960
    121 :     8714.25 MFlops :       0.02 Sec : 3993
    122 :     8513.40 MFlops :       0.02 Sec : 4026
    123 :     9081.44 MFlops :       0.02 Sec : 4059
    124 :    10852.01 MFlops :       0.02 Sec : 4092
    125 :    10497.20 MFlops :       0.02 Sec : 4125
    126 :     9615.68 MFlops :       0.02 Sec : 4158
    127 :     9959.18 MFlops :       0.02 Sec : 4191
    128 :     9254.29 MFlops :       0.02 Sec : 4224
    129 :     8844.40 MFlops :       0.03 Sec : 4257
    130 :    10986.04 MFlops :       0.02 Sec : 4290
    131 :     9476.44 MFlops :       0.02 Sec : 4323
    132 :     9309.84 MFlops :       0.03 Sec : 4356
    133 :     9846.20 MFlops :       0.03 Sec : 4389
    134 :     9665.90 MFlops :       0.03 Sec : 4422
    135 :     9882.03 MFlops :       0.03 Sec : 4455
    136 :     9689.41 MFlops :       0.03 Sec : 4488
    137 :     9771.07 MFlops :       0.03 Sec : 4521
    138 :    10295.66 MFlops :       0.03 Sec : 4554
    139 :    10313.56 MFlops :       0.03 Sec : 4587
    140 :     9637.12 MFlops :       0.03 Sec : 4620
    141 :     9487.30 MFlops :       0.03 Sec : 4653
    142 :    10623.60 MFlops :       0.03 Sec : 4686
    143 :    10019.76 MFlops :       0.03 Sec : 4719
    144 :    10345.88 MFlops :       0.03 Sec : 4752
    145 :     9591.67 MFlops :       0.03 Sec : 4785
    146 :     9702.80 MFlops :       0.03 Sec : 4818
    147 :    10164.41 MFlops :       0.03 Sec : 4851
    148 :    10650.58 MFlops :       0.03 Sec : 4884
    149 :    11260.28 MFlops :       0.03 Sec : 4917
    150 :    15647.78 MFlops :       0.02 Sec : 4950
    151 :    14669.35 MFlops :       0.02 Sec : 4983
    152 :    15181.37 MFlops :       0.02 Sec : 5016
    153 :    15031.95 MFlops :       0.03 Sec : 5049
    154 :    15173.23 MFlops :       0.03 Sec : 5082
    155 :    14133.79 MFlops :       0.03 Sec : 5115
    156 :    15708.28 MFlops :       0.03 Sec : 5148
    157 :    16147.42 MFlops :       0.03 Sec : 5181
    158 :    16529.98 MFlops :       0.03 Sec : 5214
    159 :    14936.23 MFlops :       0.03 Sec : 5247
    160 :    15575.92 MFlops :       0.03 Sec : 5280
    161 :    15601.11 MFlops :       0.03 Sec : 5313
    162 :    15791.05 MFlops :       0.03 Sec : 5346
    163 :    15173.97 MFlops :       0.03 Sec : 5379
    164 :    17685.42 MFlops :       0.03 Sec : 5412
    165 :    17356.12 MFlops :       0.03 Sec : 5445
    166 :    15715.19 MFlops :       0.03 Sec : 5478
    167 :    16423.61 MFlops :       0.03 Sec : 5511
    168 :    15248.97 MFlops :       0.03 Sec : 5544
    169 :    16814.72 MFlops :       0.03 Sec : 5577
    170 :    16315.73 MFlops :       0.03 Sec : 5610
    171 :    15997.03 MFlops :       0.03 Sec : 5643
    172 :    15587.54 MFlops :       0.03 Sec : 5676
    173 :    15547.17 MFlops :       0.04 Sec : 5709
    174 :    16004.05 MFlops :       0.03 Sec : 5742
    175 :    16699.69 MFlops :       0.03 Sec : 5775
    176 :    17138.71 MFlops :       0.03 Sec : 5808
    177 :    15855.14 MFlops :       0.04 Sec : 5841
    178 :    16337.84 MFlops :       0.04 Sec : 5874
    179 :    18640.52 MFlops :       0.03 Sec : 5907
    180 :    18422.55 MFlops :       0.03 Sec : 5940
    181 :    17224.35 MFlops :       0.04 Sec : 5973
    182 :    17683.08 MFlops :       0.04 Sec : 6006
    183 :    17835.10 MFlops :       0.04 Sec : 6039
    184 :    17011.73 MFlops :       0.04 Sec : 6072
    185 :    16991.89 MFlops :       0.04 Sec : 6105
    186 :    18458.91 MFlops :       0.04 Sec : 6138
    187 :    17626.66 MFlops :       0.04 Sec : 6171
    188 :    18690.69 MFlops :       0.04 Sec : 6204
    189 :    19121.79 MFlops :       0.04 Sec : 6237
    190 :    18914.69 MFlops :       0.04 Sec : 6270
    191 :    17712.73 MFlops :       0.04 Sec : 6303
    192 :    18664.08 MFlops :       0.04 Sec : 6336
    193 :    17395.78 MFlops :       0.04 Sec : 6369
    194 :    17680.59 MFlops :       0.04 Sec : 6402
    195 :    19153.70 MFlops :       0.04 Sec : 6435
    196 :    19503.46 MFlops :       0.04 Sec : 6468
    197 :    18725.83 MFlops :       0.04 Sec : 6501
    198 :    19133.48 MFlops :       0.04 Sec : 6534
    199 :    17970.87 MFlops :       0.05 Sec : 6567
    200 :    19312.37 MFlops :       0.04 Sec : 6600
