From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
    114 :    15000.60 MFlops :       0.01 Sec : 14820
    115 :    16607.42 MFlops :       0.01 Sec : 14950
    116 :    13509.21 MFlops :       0.01 Sec : 15080
    117 :    13224.77 MFlops :       0.01 Sec : 15210
    118 :    16124.13 MFlops :       0.01 Sec : 15340
    119 :    15743.90 MFlops :       0.01 Sec : 15470
    120 :    13424.28 MFlops :       0.01 Sec : 15600
    121 :    16077.62 MFlops :       0.01 Sec : 15730
    122 :    16376.53 MFlops :       0.01 Sec : 15860
    123 :    16131.90 MFlops :       0.01 Sec : 15990
    124 :    15482.32 MFlops :       0.01 Sec : 16120
    125 :    14631.42 MFlops :       0.01 Sec : 16250
    126 :    17588.88 MFlops :       0.01 Sec : 16380
    127 :    16084.07 MFlops :       0.01 Sec : 16510
    128 :    16219.13 MFlops :       0.01 Sec : 16640
    129 :    15483.45 MFlops :       0.01 Sec : 16770
    130 :    13725.71 MFlops :       0.02 Sec : 16900
    131 :    16103.44 MFlops :       0.01 Sec : 17030
    132 :    17470.80 MFlops :       0.01 Sec : 17160
    133 :    17065.89 MFlops :       0.01 Sec : 17290
    134 :    17345.03 MFlops :       0.01 Sec : 17420
    135 :    14965.45 MFlops :       0.02 Sec : 17550
    136 :    17804.29 MFlops :       0.01 Sec : 17680
    137 :    17674.91 MFlops :       0.02 Sec : 17810
    138 :    18999.76 MFlops :       0.01 Sec : 17940
    139 :    18978.09 MFlops :       0.01 Sec : 18070
    140 :    16452.13 MFlops :       0.02 Sec : 18200
    141 :    18949.63 MFlops :       0.02 Sec : 18330
    142 :    17639.30 MFlops :       0.02 Sec : 18460
    143 :    18743.68 MFlops :       0.02 Sec : 18590
    144 :    17952.04 MFlops :       0.02 Sec : 18720
    145 :    17918.48 MFlops :       0.02 Sec : 18850
    146 :    19434.93 MFlops :       0.02 Sec : 18980
    147 :    16574.26 MFlops :       0.02 Sec : 19110
