From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
    115 :     7527.19 MFlops :       0.01 Sec : 3910
    116 :     7874.76 MFlops :       0.01 Sec : 3944
    117 :     7812.24 MFlops :       0.01 Sec : 3978
    118 :     7797.59 MFlops :       0.01 Sec : 4012
    119 :     7643.45 MFlops :       0.01 Sec : 4046
    120 :     7940.36 MFlops :       0.01 Sec : 4080
    121 :     7813.27 MFlops :       0.01 Sec : 4114
    122 :     7577.06 MFlops :       0.01 Sec : 4148
    123 :     8081.25 MFlops :       0.01 Sec : 4182
    124 :     8610.88 MFlops :       0.01 Sec : 4216
    125 :     8042.82 MFlops :       0.01 Sec : 4250
    126 :     7919.09 MFlops :       0.01 Sec : 4284
    127 :     8083.62 MFlops :       0.01 Sec : 4318
    128 :     8484.64 MFlops :       0.01 Sec : 4352
    129 :     8247.82 MFlops :       0.01 Sec : 4386
    130 :     7787.70 MFlops :       0.01 Sec : 4420
    131 :     7697.30 MFlops :       0.01 Sec : 4454
    132 :     7836.20 MFlops :       0.01 Sec : 4488
    133 :     8154.94 MFlops :       0.01 Sec : 4522
    134 :     8243.68 MFlops :       0.01 Sec : 4556
    135 :     8330.98 MFlops :       0.01 Sec : 4590
    136 :     8297.66 MFlops :       0.01 Sec : 4624
    137 :     8161.99 MFlops :       0.01 Sec : 4658
    138 :     8687.65 MFlops :       0.01 Sec : 4692
    139 :     8860.09 MFlops :       0.01 Sec : 4726
    140 :     8399.15 MFlops :       0.01 Sec : 4760
    141 :     8378.80 MFlops :       0.01 Sec : 4794
    142 :     8361.84 MFlops :       0.01 Sec : 4828
    143 :     8545.44 MFlops :       0.01 Sec : 4862
    144 :     8889.75 MFlops :       0.01 Sec : 4896
    145 :     8250.62 MFlops :       0.01 Sec : 4930
    146 :     8918.43 MFlops :       0.01 Sec : 4964
    147 :     8979.80 MFlops :       0.01 Sec : 4998
    148 :     8295.08 MFlops :       0.01 Sec : 5032
    149 :     8759.76 MFlops :       0.01 Sec : 5066
    150 :     8814.97 MFlops :       0.01 Sec : 5100
    151 :     8901.50 MFlops :       0.01 Sec : 5134
    152 :     8867.93 MFlops :       0.01 Sec : 5168
    153 :     8545.80 MFlops :       0.01 Sec : 5202
    154 :     9047.33 MFlops :       0.01 Sec : 5236
    155 :     9057.70 MFlops :       0.01 Sec : 5270
    156 :     9497.35 MFlops :       0.01 Sec : 5304
    157 :     8727.56 MFlops :       0.01 Sec : 5338
    158 :     8749.26 MFlops :       0.01 Sec : 5372
    159 :     8973.14 MFlops :       0.01 Sec : 5406
    160 :     9308.45 MFlops :       0.01 Sec : 5440
    161 :     9119.64 MFlops :       0.01 Sec : 5474
    162 :     8916.19 MFlops :       0.01 Sec : 5508
    163 :     9424.63 MFlops :       0.01 Sec : 5542
    164 :     9863.28 MFlops :       0.01 Sec : 5576
    165 :     9362.59 MFlops :       0.01 Sec : 5610
    166 :     9486.55 MFlops :       0.01 Sec : 5644
    167 :     9114.84 MFlops :       0.01 Sec : 5678
    168 :     9474.63 MFlops :       0.01 Sec : 5712
    169 :     9111.04 MFlops :       0.01 Sec : 5746
    170 :     9015.84 MFlops :       0.01 Sec : 5780
    171 :     8868.68 MFlops :       0.01 Sec : 5814
    172 :     8997.30 MFlops :       0.01 Sec : 5848
    173 :     9108.66 MFlops :       0.01 Sec : 5882
    174 :     9690.99 MFlops :       0.01 Sec : 5916
    175 :     9773.00 MFlops :       0.01 Sec : 5950
    176 :    10047.97 MFlops :       0.01 Sec : 5984
    177 :     9140.23 MFlops :       0.02 Sec : 6018
    178 :     9493.94 MFlops :       0.02 Sec : 6052
    179 :    10086.93 MFlops :       0.01 Sec : 6086
    180 :     9958.27 MFlops :       0.02 Sec : 6120
    181 :     9766.06 MFlops :       0.02 Sec : 6154
    182 :     9390.77 MFlops :       0.02 Sec : 6188
    183 :     9466.33 MFlops :       0.02 Sec : 6222
    184 :     9547.31 MFlops :       0.02 Sec : 6256
    185 :     9566.84 MFlops :       0.02 Sec : 6290
    186 :    10301.56 MFlops :       0.02 Sec : 6324
    187 :    10162.14 MFlops :       0.02 Sec : 6358
    188 :     9612.87 MFlops :       0.02 Sec : 6392
    189 :    10620.20 MFlops :       0.02 Sec : 6426
    190 :    10190.01 MFlops :       0.02 Sec : 6460
    191 :     9232.75 MFlops :       0.02 Sec : 6494
    192 :    10671.75 MFlops :       0.02 Sec : 6528
    193 :    10265.07 MFlops :       0.02 Sec : 6562
    194 :    10319.13 MFlops :       0.02 Sec : 6596
    195 :    10051.67 MFlops :       0.02 Sec : 6630
    196 :    10026.94 MFlops :       0.02 Sec : 6664
    197 :    10698.48 MFlops :       0.02 Sec : 6698
    198 :    10214.59 MFlops :       0.02 Sec : 6732
    199 :    10082.91 MFlops :       0.02 Sec : 6766
    200 :     9758.18 MFlops :       0.02 Sec : 6800
