From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
     75 :   4.796447e-05    20454.55 MFlops    7500.00 MFlops   19180.33 MFlops
     76 :   1.290862e-05    20182.80 MFlops    7701.33 MFlops   19012.67 MFlops
     77 :   6.033565e-06    19957.73 MFlops    7905.33 MFlops   18878.41 MFlops
     78 :   4.276507e-05    20410.84 MFlops    8112.00 MFlops   19325.65 MFlops
     79 :   7.685355e-06    20869.38 MFlops    7132.57 MFlops   19495.70 MFlops
     80 :   3.482581e-06    20686.87 MFlops    8533.33 MFlops   19674.07 MFlops
     81 :   2.587935e-06    18168.92 MFlops    3749.14 MFlops   15974.61 MFlops
     82 :   3.217255e-06    20421.04 MFlops    7684.57 MFlops   19292.49 MFlops
     83 :   2.707467e-06    20604.94 MFlops    7873.14 MFlops   19504.66 MFlops
     84 :   5.071049e-06    20526.55 MFlops    8064.00 MFlops   19488.00 MFlops
     85 :   4.399024e-06    20995.73 MFlops    8257.14 MFlops   19946.67 MFlops
     86 :   2.078104e-06    20940.12 MFlops    8452.57 MFlops   19946.79 MFlops
     87 :   1.203149e-05    21950.10 MFlops    8650.29 MFlops   20880.00 MFlops
     88 :   1.562206e-05    21894.68 MFlops   10325.33 MFlops   21114.73 MFlops
     89 :   8.429384e-06    21608.25 MFlops    7921.00 MFlops   20455.64 MFlops
     90 :   6.152490e-06    21842.70 MFlops    9257.14 MFlops   20925.00 MFlops
     91 :   2.610811e-06    22082.67 MFlops    9464.00 MFlops   21181.33 MFlops
     92 :   1.074136e-06    22090.44 MFlops    9673.14 MFlops   21229.83 MFlops
     93 :   5.203165e-06    22343.25 MFlops    8649.00 MFlops   21289.85 MFlops
     94 :   6.147246e-06    22372.63 MFlops    8836.00 MFlops   21360.55 MFlops
     95 :   3.790954e-06    22636.96 MFlops    9025.00 MFlops   21637.92 MFlops
     96 :   1.131617e-05    18289.12 MFlops    9216.00 MFlops   17759.30 MFlops
     97 :   8.351140e-06    20625.38 MFlops    7527.20 MFlops   19602.08 MFlops
     98 :   4.671931e-05    22611.22 MFlops    8536.89 MFlops   21555.64 MFlops
     99 :   1.392388e-05    22305.72 MFlops    8712.00 MFlops   21326.98 MFlops
    100 :   2.633315e-06    22792.02 MFlops    3478.26 MFlops   19619.05 MFlops
    101 :   2.377714e-05    21633.62 MFlops    8160.80 MFlops   20650.20 MFlops
    102 :   3.910410e-06    23780.57 MFlops    7566.55 MFlops   22408.62 MFlops
    103 :   4.599861e-08    23884.74 MFlops    8487.20 MFlops   22718.26 MFlops
    104 :   9.537554e-06    24190.62 MFlops    8652.80 MFlops   23031.08 MFlops
    105 :   5.656993e-06    24500.00 MFlops    8018.18 MFlops   23176.64 MFlops
    106 :   3.504307e-06    23353.25 MFlops    2140.19 MFlops   18347.93 MFlops
    107 :   7.810107e-06    21634.31 MFlops    6106.13 MFlops   20231.16 MFlops
    108 :   5.124815e-06    24883.20 MFlops    7177.85 MFlops   23328.00 MFlops
    109 :   4.469386e-06    25580.82 MFlops    2795.53 MFlops   20996.80 MFlops
    110 :   3.462536e-06    23198.26 MFlops    5377.78 MFlops   21322.42 MFlops
    111 :   1.233240e-04    25683.21 MFlops    8214.00 MFlops   24321.97 MFlops
    112 :   7.537769e-06    24170.80 MFlops   10035.20 MFlops   23314.10 MFlops
    113 :   4.397769e-06    25481.62 MFlops    8512.67 MFlops   24232.38 MFlops
    114 :   7.736442e-06    20054.74 MFlops    8664.00 MFlops   19400.73 MFlops
    115 :   5.175822e-06    22531.48 MFlops    7557.14 MFlops   21450.86 MFlops
    116 :   3.494793e-07    23253.57 MFlops    8970.67 MFlops   22356.22 MFlops
    117 :   4.613676e-07    23860.16 MFlops    9126.00 MFlops   22934.45 MFlops
    118 :   6.509987e-06    22240.70 MFlops    9282.67 MFlops   21496.70 MFlops
    119 :   2.157161e-04    24159.99 MFlops    8714.46 MFlops   23150.98 MFlops
    120 :   4.319976e-05    25318.68 MFlops   10472.73 MFlops   24472.54 MFlops
    121 :   1.336120e-05    25956.94 MFlops    6889.88 MFlops   24328.09 MFlops
    122 :   8.543196e-06    24455.87 MFlops    9922.67 MFlops   23625.40 MFlops
    123 :   1.065555e-05    22054.72 MFlops    8645.14 MFlops   21269.22 MFlops
    124 :   8.773013e-06    24681.22 MFlops   10250.67 MFlops   23886.87 MFlops
