From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
     77 :   8.681944e-14     5852.99 MFlops    2964.50 MFlops    5646.67 MFlops
     78 :   9.237056e-14     6456.49 MFlops    4056.00 MFlops    6318.00 MFlops
     79 :   4.329870e-14     6086.90 MFlops    3120.50 MFlops    5882.32 MFlops
     80 :   2.242651e-14     6320.99 MFlops    4266.67 MFlops    6212.87 MFlops
     81 :   6.417089e-14     6326.68 MFlops    4374.00 MFlops    6227.39 MFlops
     82 :   1.310063e-14     6935.45 MFlops    4482.67 MFlops    6804.05 MFlops
     83 :   1.354472e-14     6572.26 MFlops    4592.67 MFlops    6474.91 MFlops
     84 :   8.038015e-14     7317.33 MFlops    4704.00 MFlops    7179.79 MFlops
     85 :   2.442491e-14     6939.27 MFlops    3612.50 MFlops    6728.04 MFlops
     86 :   6.528111e-14     7310.99 MFlops    4930.67 MFlops    7193.92 MFlops
     87 :   7.327472e-14     7196.75 MFlops    3027.60 MFlops    6880.91 MFlops
     88 :   2.309264e-14     7833.01 MFlops    3872.00 MFlops    7577.46 MFlops
     89 :   8.681944e-14     7343.43 MFlops    5280.67 MFlops    7251.06 MFlops
     90 :   2.420286e-14     7838.71 MFlops    5400.00 MFlops    7726.15 MFlops
     91 :   2.238210e-13     6977.51 MFlops    4140.50 MFlops    6828.19 MFlops
     92 :   1.620926e-14     8240.08 MFlops    4232.00 MFlops    8000.80 MFlops
     93 :   1.014744e-13     8249.82 MFlops    4324.50 MFlops    8022.26 MFlops
     94 :   5.373479e-14     8389.74 MFlops    4418.00 MFlops    8162.78 MFlops
     95 :   2.986500e-14     8283.82 MFlops    3610.00 MFlops    7968.02 MFlops
     96 :   4.229950e-14     8673.88 MFlops    4608.00 MFlops    8448.00 MFlops
     97 :   5.373479e-14     5794.75 MFlops    3763.60 MFlops    5702.42 MFlops
     98 :   1.536549e-13     6402.67 MFlops    3841.60 MFlops    6278.34 MFlops
     99 :   6.883383e-14     6955.55 MFlops    3920.40 MFlops    6800.69 MFlops
    100 :   2.786660e-14     7843.14 MFlops    4000.00 MFlops    7629.63 MFlops
    101 :   2.642331e-14     8176.99 MFlops    3400.33 MFlops    7858.55 MFlops
    102 :   1.953993e-14     8955.34 MFlops    4161.60 MFlops    8670.00 MFlops
    103 :   6.061818e-14     8470.75 MFlops    2121.80 MFlops    7809.40 MFlops
    104 :   4.485301e-14     7499.09 MFlops    4326.40 MFlops    7348.01 MFlops
    105 :   1.862954e-13     8575.00 MFlops    4410.00 MFlops    8355.79 MFlops
    106 :   2.187139e-14     8446.92 MFlops    4494.40 MFlops    8247.30 MFlops
    107 :   3.308465e-14     8006.82 MFlops    3816.33 MFlops    7774.01 MFlops
    108 :   4.818368e-14     8934.13 MFlops    3888.00 MFlops    8631.36 MFlops
    109 :   1.392220e-13     8809.72 MFlops    3960.33 MFlops    8529.95 MFlops
    110 :   2.398082e-14     8873.33 MFlops    4840.00 MFlops    8681.27 MFlops
    111 :   4.130030e-14     9117.54 MFlops    4107.00 MFlops    8833.92 MFlops
    112 :   1.332268e-14     9859.14 MFlops    5017.60 MFlops    9617.07 MFlops
    113 :   8.126833e-14     9430.70 MFlops    4256.33 MFlops    9143.23 MFlops
    114 :   3.330669e-14     9497.08 MFlops    4332.00 MFlops    9215.35 MFlops
    115 :   3.930190e-14     9217.42 MFlops    5290.00 MFlops    9046.67 MFlops
    116 :   1.330047e-13    10005.74 MFlops    4485.33 MFlops    9704.63 MFlops
    117 :   4.407585e-14     9366.16 MFlops    3911.14 MFlops    9050.58 MFlops
    118 :   1.731948e-13    10532.26 MFlops    4641.33 MFlops   10210.93 MFlops
    119 :   8.348877e-14    10499.43 MFlops    4720.33 MFlops   10192.58 MFlops
    120 :   8.371082e-14    11520.00 MFlops    4800.00 MFlops   11139.62 MFlops
    121 :   9.188206e-13    10545.01 MFlops    4183.14 MFlops   10170.78 MFlops
    122 :   7.371881e-13    11420.43 MFlops    4961.33 MFlops   11074.40 MFlops
    123 :   3.730349e-14    10787.63 MFlops    5043.00 MFlops   10502.78 MFlops
    124 :   3.379519e-13    11348.95 MFlops    4393.14 MFlops   10939.79 MFlops
    125 :   4.796163e-14    11625.74 MFlops    5208.33 MFlops   11299.44 MFlops
    126 :   2.220446e-14    11907.00 MFlops    5292.00 MFlops   11570.64 MFlops
    127 :   2.662315e-13    11874.68 MFlops    5376.33 MFlops   11552.45 MFlops
    128 :   1.214584e-13    12595.51 MFlops    5461.33 MFlops   12229.65 MFlops
    129 :   4.818368e-14    10078.35 MFlops    4160.25 MFlops    9762.72 MFlops
    130 :   1.072475e-13    10031.96 MFlops    4828.57 MFlops    9793.90 MFlops
    131 :   2.513545e-13    10939.62 MFlops    3813.56 MFlops   10500.34 MFlops
    132 :   5.906386e-14    10648.00 MFlops    4356.00 MFlops   10316.84 MFlops
    133 :   5.411227e-13    11283.63 MFlops    3930.89 MFlops   10836.50 MFlops
    134 :   6.838974e-14    11540.07 MFlops    4489.00 MFlops   11156.34 MFlops
    135 :   2.620126e-14    11470.28 MFlops    4050.00 MFlops   11030.92 MFlops
    136 :   1.213474e-13    10819.17 MFlops    4624.00 MFlops   10515.11 MFlops
    137 :   1.454392e-13    11204.15 MFlops    4692.25 MFlops   10880.58 MFlops
    138 :   4.207745e-14    11758.71 MFlops    5441.14 MFlops   11475.23 MFlops
    139 :   4.174439e-14    11403.90 MFlops    3864.20 MFlops   10952.42 MFlops
    140 :   8.939516e-13    11433.33 MFlops    4355.56 MFlops   11056.41 MFlops
    141 :   6.572520e-14    11123.89 MFlops    3614.73 MFlops   10662.44 MFlops
    142 :   1.443290e-13    11162.92 MFlops    5041.00 MFlops   10889.31 MFlops
    143 :   1.960654e-13    10890.90 MFlops    5112.25 MFlops   10643.69 MFlops
    144 :   1.559863e-12    11920.10 MFlops    4608.00 MFlops   11546.18 MFlops
    145 :   1.009193e-13    10369.47 MFlops    4672.22 MFlops   10119.35 MFlops
    146 :   2.959855e-13     9388.04 MFlops    4736.89 MFlops    9206.04 MFlops
    147 :   8.559820e-14     9496.33 MFlops    4802.00 MFlops    9314.22 MFlops
    148 :   5.484502e-14    11682.13 MFlops    4867.56 MFlops   11365.99 MFlops
    149 :   1.883604e-12     9188.75 MFlops    4933.56 MFlops    9034.95 MFlops
    150 :   3.996803e-14    10227.27 MFlops    2812.50 MFlops    9724.58 MFlops
    151 :   4.252154e-14    10528.90 MFlops    4145.64 MFlops   10222.28 MFlops
    152 :   1.025846e-13    12453.22 MFlops    4620.80 MFlops   12057.64 MFlops
    153 :   9.880985e-14    11370.09 MFlops    4681.80 MFlops   11066.07 MFlops
    154 :   5.639933e-13    12297.19 MFlops    5270.22 MFlops   11991.67 MFlops
    155 :   1.609823e-13    11878.39 MFlops    4368.18 MFlops   11502.88 MFlops
    156 :   3.741452e-14    11995.00 MFlops    4424.73 MFlops   11619.89 MFlops
    157 :   4.085621e-14    12112.34 MFlops    4929.80 MFlops   11790.25 MFlops
    158 :   1.476597e-13    12889.91 MFlops    4538.91 MFlops   12462.65 MFlops
    159 :   7.838175e-14    12349.24 MFlops    3889.38 MFlops   11871.08 MFlops
    160 :   1.980638e-13    13255.66 MFlops    4266.67 MFlops   12760.86 MFlops
    161 :   1.447731e-13    10996.79 MFlops    3240.12 MFlops   10535.43 MFlops
    162 :   4.632961e-13    12883.42 MFlops    4374.00 MFlops   12443.28 MFlops
    163 :   4.038991e-13    12391.26 MFlops    4830.73 MFlops   12050.42 MFlops
    164 :   7.283063e-14    13677.35 MFlops    5379.20 MFlops   13308.54 MFlops
    165 :   5.928591e-14    14193.13 MFlops    4537.50 MFlops   13673.54 MFlops
    166 :   3.752554e-14    13675.03 MFlops    5010.18 MFlops   13267.70 MFlops
    167 :   6.654677e-13    14577.35 MFlops    4648.17 MFlops   14047.79 MFlops
    168 :   2.504663e-13    15270.96 MFlops    3763.20 MFlops   14493.41 MFlops
    169 :   7.382983e-14    13407.80 MFlops    5192.91 MFlops   13047.79 MFlops
    170 :   8.892886e-14    13937.59 MFlops    5254.55 MFlops   13549.32 MFlops
    171 :   3.119727e-13    14749.88 MFlops    4498.62 MFlops   14192.28 MFlops
    172 :   4.451994e-14    15705.09 MFlops    4930.67 MFlops   15138.01 MFlops
    173 :   1.632028e-13    15139.52 MFlops    4988.17 MFlops   14631.96 MFlops
    174 :   2.777778e-13    15748.95 MFlops    5504.73 MFlops   15267.38 MFlops
    175 :   2.283729e-12    15670.69 MFlops    5104.17 MFlops   15142.36 MFlops
    176 :   1.303402e-13    16298.28 MFlops    5162.67 MFlops   15729.66 MFlops
    177 :   8.038015e-14    15731.16 MFlops    5221.50 MFlops   15220.57 MFlops
    178 :   3.108624e-14    16276.34 MFlops    5280.67 MFlops   15733.34 MFlops
    179 :   1.607825e-12    16201.52 MFlops    4929.38 MFlops   15613.02 MFlops
    180 :   3.390621e-13    16066.12 MFlops    5400.00 MFlops   15562.20 MFlops
    181 :   1.316725e-13    15940.16 MFlops    5040.15 MFlops   15397.25 MFlops
    182 :   7.838175e-14    16958.00 MFlops    5096.00 MFlops   16341.17 MFlops
    183 :   6.472600e-14    16474.43 MFlops    4784.14 MFlops   15849.76 MFlops
    184 :   5.473400e-14    17376.58 MFlops    5208.62 MFlops   16748.87 MFlops
    185 :   1.409983e-13    17228.91 MFlops    5265.38 MFlops   16626.10 MFlops
    186 :   2.063238e-12    18100.86 MFlops    5322.46 MFlops   17436.38 MFlops
    187 :   6.317169e-14    15459.11 MFlops    4995.57 MFlops   14964.21 MFlops
    188 :   2.727374e-12    18080.74 MFlops    5437.54 MFlops   17443.68 MFlops
    189 :   6.794565e-14    17650.38 MFlops    5103.00 MFlops   16997.35 MFlops
    190 :   7.172041e-14    18817.56 MFlops    5157.14 MFlops   18073.41 MFlops
    191 :   3.425038e-13    16830.61 MFlops    5211.57 MFlops   16269.69 MFlops
    192 :   9.059420e-14    20079.11 MFlops    5266.29 MFlops   19246.27 MFlops
    193 :   5.317968e-14    12320.58 MFlops    4656.12 MFlops   12017.78 MFlops
    194 :   7.394085e-14    13867.78 MFlops    5018.13 MFlops   13505.09 MFlops
    195 :   9.625634e-14    13146.94 MFlops    3456.82 MFlops   12611.31 MFlops
    196 :   3.368417e-13    10818.30 MFlops    4519.53 MFlops   10595.68 MFlops
    197 :   1.953993e-13    16232.21 MFlops    5174.53 MFlops   15728.06 MFlops
    198 :   1.381117e-13    14455.11 MFlops    5227.20 MFlops   14084.01 MFlops
    199 :   6.750156e-14    14276.45 MFlops    4950.12 MFlops   13887.85 MFlops
    200 :   1.779688e-13    15779.09 MFlops    4705.88 MFlops   15248.83 MFlops
