From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 134x134 :   23353.15 MFlops   0.001099 s
 135x135 :   23858.18 MFlops   0.001100 s
 136x136 :   26151.59 MFlops   0.001026 s
 137x137 :   25826.52 MFlops   0.001062 s
 138x138 :   25624.10 MFlops   0.001094 s
 139x139 :   26573.84 MFlops   0.001078 s
 140x140 :   26368.77 MFlops   0.001110 s
 141x141 :   25556.43 MFlops   0.001170 s
 142x142 :   21862.38 MFlops   0.001397 s
 143x143 :   29537.44 MFlops   0.001056 s
 144x144 :   25020.03 MFlops   0.001273 s
 145x145 :   26373.61 MFlops   0.001233 s
 146x146 :   22324.22 MFlops   0.001487 s
 147x147 :   26471.02 MFlops   0.001280 s
 148x148 :   27597.06 MFlops   0.001253 s
 149x149 :   27204.93 MFlops   0.001297 s
 150x150 :   22886.20 MFlops   0.001573 s
 151x151 :   27406.58 MFlops   0.001340 s
 152x152 :   24791.06 MFlops   0.001511 s
 153x153 :   26979.86 MFlops   0.001416 s
 154x154 :   28624.16 MFlops   0.001361 s
 155x155 :   26357.89 MFlops   0.001507 s
 156x156 :   23612.31 MFlops   0.001715 s
 157x157 :   23737.12 MFlops   0.001739 s
 158x158 :   24096.60 MFlops   0.001746 s
 159x159 :   24047.43 MFlops   0.001783 s
 160x160 :   28953.39 MFlops   0.001509 s
 161x161 :   28812.30 MFlops   0.001545 s
 162x162 :   22230.21 MFlops   0.002040 s
 163x163 :   29764.58 MFlops   0.001552 s
 164x164 :   22784.54 MFlops   0.002065 s
 165x165 :   22948.28 MFlops   0.002088 s
 166x166 :   22736.48 MFlops   0.002146 s
 167x167 :   30054.21 MFlops   0.001653 s
 168x168 :   30708.81 MFlops   0.001647 s
 169x169 :   29709.15 MFlops   0.001733 s
 170x170 :   23479.09 MFlops   0.002232 s
 171x171 :   23526.94 MFlops   0.002267 s
 172x172 :   23805.60 MFlops   0.002280 s
 173x173 :   30445.97 MFlops   0.001814 s
 174x174 :   27146.02 MFlops   0.002070 s
 175x175 :   22748.38 MFlops   0.002513 s
 176x176 :   31916.73 MFlops   0.001822 s
 177x177 :   24351.24 MFlops   0.002429 s
 178x178 :   30818.32 MFlops   0.001952 s
 179x179 :   33855.53 MFlops   0.001807 s
 180x180 :   26550.58 MFlops   0.002343 s
 181x181 :   27974.60 MFlops   0.002261 s
 182x182 :   27897.93 MFlops   0.002305 s
 183x183 :   33905.88 MFlops   0.001928 s
 184x184 :   26047.84 MFlops   0.002551 s
 185x185 :   32945.04 MFlops   0.002050 s
 186x186 :   24833.02 MFlops   0.002764 s
