From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops		Time
    141 :     3976.20 MFlops   0.000010 sec
    142 :     6721.33 MFlops   0.000006 sec
    143 :     3718.00 MFlops   0.000011 sec
    144 :     3456.00 MFlops   0.000012 sec
    145 :     3234.62 MFlops   0.000013 sec
    146 :     3552.67 MFlops   0.000012 sec
    147 :     3324.46 MFlops   0.000013 sec
    148 :     3650.67 MFlops   0.000012 sec
    149 :     5550.25 MFlops   0.000008 sec
    150 :     3750.00 MFlops   0.000012 sec
    151 :     5700.25 MFlops   0.000008 sec
    152 :     4200.73 MFlops   0.000011 sec
    153 :     4681.80 MFlops   0.000010 sec
    154 :     5929.00 MFlops   0.000008 sec
    155 :     3696.15 MFlops   0.000013 sec
    156 :     4867.20 MFlops   0.000010 sec
    157 :     3521.29 MFlops   0.000014 sec
    158 :     4538.91 MFlops   0.000011 sec
    159 :     4596.55 MFlops   0.000011 sec
    160 :     5120.00 MFlops   0.000010 sec
    161 :     4712.91 MFlops   0.000011 sec
    162 :     6561.00 MFlops   0.000008 sec
    163 :     4087.54 MFlops   0.000013 sec
    164 :     4482.67 MFlops   0.000012 sec
    165 :     4950.00 MFlops   0.000011 sec
    166 :     3936.57 MFlops   0.000014 sec
    167 :     5070.73 MFlops   0.000011 sec
    168 :     3763.20 MFlops   0.000015 sec
    169 :     8160.29 MFlops   0.000007 sec
    170 :     4446.15 MFlops   0.000013 sec
    171 :     7310.25 MFlops   0.000008 sec
    172 :     4551.38 MFlops   0.000013 sec
    173 :     5441.64 MFlops   0.000011 sec
    174 :     4325.14 MFlops   0.000014 sec
    175 :     8750.00 MFlops   0.000007 sec
    176 :     7744.00 MFlops   0.000008 sec
    177 :     4475.57 MFlops   0.000014 sec
    178 :     5280.67 MFlops   0.000012 sec
    179 :     5340.17 MFlops   0.000012 sec
    180 :     4320.00 MFlops   0.000015 sec
    181 :     5040.15 MFlops   0.000013 sec
    182 :     8281.00 MFlops   0.000008 sec
    183 :     8372.25 MFlops   0.000008 sec
    184 :     4836.57 MFlops   0.000014 sec
    185 :     5704.17 MFlops   0.000012 sec
    186 :     6919.20 MFlops   0.000010 sec
    187 :     4371.12 MFlops   0.000016 sec
    188 :     4158.12 MFlops   0.000017 sec
    189 :     8930.25 MFlops   0.000008 sec
    190 :     8022.22 MFlops   0.000009 sec
    191 :    12160.33 MFlops   0.000006 sec
    192 :     4608.00 MFlops   0.000016 sec
    193 :     4966.53 MFlops   0.000015 sec
    194 :     5790.15 MFlops   0.000013 sec
    195 :     9506.25 MFlops   0.000008 sec
    196 :     7683.20 MFlops   0.000010 sec
    197 :     8624.22 MFlops   0.000009 sec
    198 :    11201.14 MFlops   0.000007 sec
    199 :     5280.13 MFlops   0.000015 sec
    200 :    11428.57 MFlops   0.000007 sec
