From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
    115 :     2242.52 MFlops :       0.02 Sec : 14950
    116 :     2006.27 MFlops :       0.02 Sec : 15080
    117 :     2292.75 MFlops :       0.02 Sec : 15210
    118 :     1857.33 MFlops :       0.02 Sec : 15340
    119 :     2155.67 MFlops :       0.02 Sec : 15470
    120 :     2243.83 MFlops :       0.02 Sec : 15600
    121 :     2235.14 MFlops :       0.02 Sec : 15730
    122 :     2346.91 MFlops :       0.02 Sec : 15860
    123 :     2455.48 MFlops :       0.02 Sec : 15990
    124 :     2450.28 MFlops :       0.02 Sec : 16120
    125 :     2326.43 MFlops :       0.02 Sec : 16250
    126 :     2480.10 MFlops :       0.02 Sec : 16380
    127 :     2423.89 MFlops :       0.02 Sec : 16510
    128 :     2477.59 MFlops :       0.02 Sec : 16640
    129 :     2498.11 MFlops :       0.02 Sec : 16770
    130 :     2333.29 MFlops :       0.02 Sec : 16900
    131 :     2446.67 MFlops :       0.02 Sec : 17030
    132 :     2599.62 MFlops :       0.02 Sec : 17160
    133 :     2549.17 MFlops :       0.02 Sec : 17290
    134 :     2591.75 MFlops :       0.02 Sec : 17420
    135 :     2624.55 MFlops :       0.02 Sec : 17550
    136 :     2320.75 MFlops :       0.03 Sec : 17680
    137 :     2590.34 MFlops :       0.03 Sec : 17810
    138 :      730.38 MFlops :       0.09 Sec : 17940
    139 :     1897.25 MFlops :       0.04 Sec : 18070
    140 :     2757.72 MFlops :       0.03 Sec : 18200
    141 :     2297.41 MFlops :       0.03 Sec : 18330
    142 :     2833.90 MFlops :       0.03 Sec : 18460
    143 :     2845.43 MFlops :       0.03 Sec : 18590
    144 :     2842.61 MFlops :       0.03 Sec : 18720
    145 :     2916.69 MFlops :       0.03 Sec : 18850
    146 :     2835.09 MFlops :       0.03 Sec : 18980
    147 :     2949.46 MFlops :       0.03 Sec : 19110
    148 :     2910.70 MFlops :       0.03 Sec : 19240
    149 :     2775.33 MFlops :       0.03 Sec : 19370
    150 :     2464.47 MFlops :       0.04 Sec : 19500
    151 :     2434.75 MFlops :       0.04 Sec : 19630
    152 :     2450.34 MFlops :       0.04 Sec : 19760
    153 :     2426.92 MFlops :       0.04 Sec : 19890
    154 :     2195.78 MFlops :       0.04 Sec : 20020
    155 :     2165.26 MFlops :       0.05 Sec : 20150
    156 :     2533.25 MFlops :       0.04 Sec : 20280
    157 :     2554.32 MFlops :       0.04 Sec : 20410
    158 :     2715.06 MFlops :       0.04 Sec : 20540
    159 :     2436.70 MFlops :       0.04 Sec : 20670
    160 :     2761.64 MFlops :       0.04 Sec : 20800
