From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
    129x129 :     5547.00 MFlops   0.000024 sec
    130x130 :     5200.00 MFlops   0.000026 sec
    131x131 :     6537.52 MFlops   0.000021 sec
    132x132 :     4806.62 MFlops   0.000029 sec
    133x133 :     4564.90 MFlops   0.000031 sec
    134x134 :     5985.33 MFlops   0.000024 sec
    135x135 :     4703.23 MFlops   0.000031 sec
    136x136 :     5918.72 MFlops   0.000025 sec
    137x137 :     5775.08 MFlops   0.000026 sec
    138x138 :     5078.40 MFlops   0.000030 sec
    139x139 :     6182.72 MFlops   0.000025 sec
    140x140 :     6272.00 MFlops   0.000025 sec
    141x141 :     6361.92 MFlops   0.000025 sec
    142x142 :     6452.48 MFlops   0.000025 sec
    143x143 :     6292.00 MFlops   0.000026 sec
    144x144 :     6380.31 MFlops   0.000026 sec
    145x145 :     6469.23 MFlops   0.000026 sec
    146x146 :     6558.77 MFlops   0.000026 sec
    147x147 :     6402.67 MFlops   0.000027 sec
    148x148 :     3306.26 MFlops   0.000053 sec
    149x149 :     2960.13 MFlops   0.000060 sec
    150x150 :     5454.55 MFlops   0.000033 sec
    151x151 :     6080.27 MFlops   0.000030 sec
    152x152 :     6601.14 MFlops   0.000028 sec
    153x153 :     6242.40 MFlops   0.000030 sec
    154x154 :     6324.27 MFlops   0.000030 sec
    155x155 :     6864.29 MFlops   0.000028 sec
    156x156 :     6489.60 MFlops   0.000030 sec
    157x157 :     6162.25 MFlops   0.000032 sec
    158x158 :     6657.07 MFlops   0.000030 sec
    159x159 :     6741.60 MFlops   0.000030 sec
    160x160 :     6606.45 MFlops   0.000031 sec
    161x161 :     6689.29 MFlops   0.000031 sec
    162x162 :     6561.00 MFlops   0.000032 sec
    163x163 :     6856.52 MFlops   0.000031 sec
    164x164 :     5976.89 MFlops   0.000036 sec
    165x165 :     7025.81 MFlops   0.000031 sec
    166x166 :     6483.76 MFlops   0.000034 sec
    167x167 :     6972.25 MFlops   0.000032 sec
    168x168 :     6842.18 MFlops   0.000033 sec
    169x169 :     6923.88 MFlops   0.000033 sec
    170x170 :     6800.00 MFlops   0.000034 sec
    171x171 :     6322.38 MFlops   0.000037 sec
    172x172 :     6960.94 MFlops   0.000034 sec
    173x173 :     6840.91 MFlops   0.000035 sec
    174x174 :     6920.23 MFlops   0.000035 sec
    175x175 :     7205.88 MFlops   0.000034 sec
    176x176 :     6883.56 MFlops   0.000036 sec
    177x177 :     6962.00 MFlops   0.000036 sec
    178x178 :     6850.59 MFlops   0.000037 sec
    179x179 :     6408.20 MFlops   0.000040 sec
    180x180 :     7200.00 MFlops   0.000036 sec
    181x181 :     6392.39 MFlops   0.000041 sec
    182x182 :     7161.95 MFlops   0.000037 sec
    183x183 :     5253.18 MFlops   0.000051 sec
    184x184 :     6944.82 MFlops   0.000039 sec
    185x185 :     7020.51 MFlops   0.000039 sec
    186x186 :     7096.62 MFlops   0.000039 sec
    187x187 :     7173.13 MFlops   0.000039 sec
    188x188 :     7068.80 MFlops   0.000040 sec
    189x189 :     6212.35 MFlops   0.000046 sec
    190x190 :     3438.10 MFlops   0.000084 sec
    191x191 :     4169.26 MFlops   0.000070 sec
    192x192 :     6702.55 MFlops   0.000044 sec
    193x193 :     6081.47 MFlops   0.000049 sec
    194x194 :     4301.26 MFlops   0.000070 sec
    195x195 :     4056.00 MFlops   0.000075 sec
    196x196 :     3702.75 MFlops   0.000083 sec
    197x197 :     4633.91 MFlops   0.000067 sec
    198x198 :     4825.11 MFlops   0.000065 sec
    199x199 :     6092.46 MFlops   0.000052 sec
    200x200 :     6666.67 MFlops   0.000048 sec
