From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
    137 :     1340.64 MFlops  0.000014000 sec
    138 :     1360.29 MFlops  0.000014000 sec
    139 :     1380.07 MFlops  0.000014000 sec
    140 :     1960.00 MFlops  0.000010000 sec
    141 :     1529.31 MFlops  0.000013000 sec
    142 :     1344.27 MFlops  0.000015000 sec
    143 :     1704.08 MFlops  0.000012000 sec
    144 :     1382.40 MFlops  0.000015000 sec
    145 :     1168.06 MFlops  0.000018000 sec
    146 :     1639.69 MFlops  0.000013000 sec
    147 :     1137.32 MFlops  0.000019000 sec
    148 :      663.76 MFlops  0.000033000 sec
    149 :     1168.47 MFlops  0.000019000 sec
    150 :     1730.77 MFlops  0.000013000 sec
    151 :     1520.07 MFlops  0.000015000 sec
    152 :     1540.27 MFlops  0.000015000 sec
    153 :     1672.07 MFlops  0.000014000 sec
    154 :     1824.31 MFlops  0.000013000 sec
    155 :     2002.08 MFlops  0.000012000 sec
    156 :     1872.00 MFlops  0.000013000 sec
    157 :     2054.08 MFlops  0.000012000 sec
    158 :     2080.33 MFlops  0.000012000 sec
    159 :     1944.69 MFlops  0.000013000 sec
    160 :     2133.33 MFlops  0.000012000 sec
    161 :     2592.10 MFlops  0.000010000 sec
    162 :     2385.82 MFlops  0.000011000 sec
    163 :     2415.36 MFlops  0.000011000 sec
    164 :     2241.33 MFlops  0.000012000 sec
    165 :     1944.64 MFlops  0.000014000 sec
    166 :     2505.09 MFlops  0.000011000 sec
    167 :     2145.31 MFlops  0.000013000 sec
    168 :     2352.00 MFlops  0.000012000 sec
    169 :     2596.45 MFlops  0.000011000 sec
    170 :     2064.29 MFlops  0.000014000 sec
    171 :     2658.27 MFlops  0.000011000 sec
    172 :     2275.69 MFlops  0.000013000 sec
    173 :     1870.56 MFlops  0.000016000 sec
    174 :     2523.00 MFlops  0.000012000 sec
    175 :     2355.77 MFlops  0.000013000 sec
    176 :     2212.57 MFlops  0.000014000 sec
    177 :     1740.50 MFlops  0.000018000 sec
    178 :     2640.33 MFlops  0.000012000 sec
    179 :     2464.69 MFlops  0.000013000 sec
    180 :     2700.00 MFlops  0.000012000 sec
    181 :     2184.07 MFlops  0.000015000 sec
    182 :     2760.33 MFlops  0.000012000 sec
    183 :     2392.07 MFlops  0.000014000 sec
    184 :     1991.53 MFlops  0.000017000 sec
    185 :     2444.64 MFlops  0.000014000 sec
    186 :     2661.23 MFlops  0.000013000 sec
    187 :     1295.15 MFlops  0.000027000 sec
    188 :     2718.77 MFlops  0.000013000 sec
    189 :     2381.40 MFlops  0.000015000 sec
    190 :     2406.67 MFlops  0.000015000 sec
    191 :      889.78 MFlops  0.000041000 sec
    192 :     2168.47 MFlops  0.000017000 sec
    193 :     2660.64 MFlops  0.000014000 sec
    194 :     1710.73 MFlops  0.000022000 sec
    195 :     1728.41 MFlops  0.000022000 sec
    196 :     2561.07 MFlops  0.000015000 sec
    197 :     1848.05 MFlops  0.000021000 sec
    198 :     1782.00 MFlops  0.000022000 sec
    199 :     2640.07 MFlops  0.000015000 sec
    200 :     3636.36 MFlops  0.000011000 sec
