From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
    114 :     8255.88 MFlops :       0.00 Sec : 14820
    115 :     8372.28 MFlops :       0.00 Sec : 14950
    116 :     8501.94 MFlops :       0.00 Sec : 15080
    117 :     5908.71 MFlops :       0.01 Sec : 15210
    118 :     6018.51 MFlops :       0.01 Sec : 15340
    119 :     8521.27 MFlops :       0.01 Sec : 15470
    120 :     6479.38 MFlops :       0.01 Sec : 15600
    121 :     8733.42 MFlops :       0.01 Sec : 15730
    122 :     8692.96 MFlops :       0.01 Sec : 15860
    123 :     8315.79 MFlops :       0.01 Sec : 15990
    124 :     8507.27 MFlops :       0.01 Sec : 16120
    125 :     7112.83 MFlops :       0.01 Sec : 16250
    126 :     6406.75 MFlops :       0.01 Sec : 16380
    127 :     6310.28 MFlops :       0.01 Sec : 16510
    128 :     8439.25 MFlops :       0.01 Sec : 16640
    129 :     8382.37 MFlops :       0.01 Sec : 16770
    130 :     8972.70 MFlops :       0.01 Sec : 16900
    131 :    10421.17 MFlops :       0.01 Sec : 17030
    132 :     9572.90 MFlops :       0.01 Sec : 17160
    133 :     7269.68 MFlops :       0.01 Sec : 17290
    134 :    10343.30 MFlops :       0.01 Sec : 17420
    135 :     9818.38 MFlops :       0.01 Sec : 17550
    136 :     9197.61 MFlops :       0.01 Sec : 17680
    137 :     9669.20 MFlops :       0.01 Sec : 17810
    138 :     7811.82 MFlops :       0.01 Sec : 17940
    139 :     8570.15 MFlops :       0.01 Sec : 18070
    140 :    10226.40 MFlops :       0.01 Sec : 18200
    141 :    10619.97 MFlops :       0.01 Sec : 18330
    142 :     7528.50 MFlops :       0.01 Sec : 18460
    143 :    10199.28 MFlops :       0.01 Sec : 18590
    144 :    10126.35 MFlops :       0.01 Sec : 18720
    145 :    10255.56 MFlops :       0.01 Sec : 18850
    146 :     8942.76 MFlops :       0.01 Sec : 18980
    147 :     9684.79 MFlops :       0.01 Sec : 19110
    148 :     9980.87 MFlops :       0.01 Sec : 19240
    149 :    10341.76 MFlops :       0.01 Sec : 19370
    150 :     9200.10 MFlops :       0.01 Sec : 19500
    151 :     9270.16 MFlops :       0.01 Sec : 19630
    152 :     8999.11 MFlops :       0.01 Sec : 19760
    153 :     8378.01 MFlops :       0.01 Sec : 19890
    154 :     7580.33 MFlops :       0.01 Sec : 20020
    155 :     8321.99 MFlops :       0.01 Sec : 20150
    156 :     5551.46 MFlops :       0.02 Sec : 20280
    157 :     9025.98 MFlops :       0.01 Sec : 20410
    158 :     5495.49 MFlops :       0.02 Sec : 20540
    159 :     7423.59 MFlops :       0.01 Sec : 20670
    160 :    12417.69 MFlops :       0.01 Sec : 20800
    161 :    13224.51 MFlops :       0.01 Sec : 20930
    162 :    10433.66 MFlops :       0.01 Sec : 21060
    163 :    12643.15 MFlops :       0.01 Sec : 21190
    164 :    12964.96 MFlops :       0.01 Sec : 21320
    165 :     7258.08 MFlops :       0.02 Sec : 21450
    166 :     9490.29 MFlops :       0.01 Sec : 21580
    167 :     9551.44 MFlops :       0.01 Sec : 21710
    168 :    10016.62 MFlops :       0.01 Sec : 21840
    169 :     9384.17 MFlops :       0.01 Sec : 21970
    170 :     9969.12 MFlops :       0.01 Sec : 22100
    171 :     9732.08 MFlops :       0.01 Sec : 22230
    172 :     8674.58 MFlops :       0.02 Sec : 22360
    173 :    10117.95 MFlops :       0.01 Sec : 22490
    174 :     9716.78 MFlops :       0.01 Sec : 22620
    175 :     7143.48 MFlops :       0.02 Sec : 22750
    176 :     7864.63 MFlops :       0.02 Sec : 22880
    177 :     7052.41 MFlops :       0.02 Sec : 23010
    178 :     7972.44 MFlops :       0.02 Sec : 23140
    179 :     9111.90 MFlops :       0.02 Sec : 23270
    180 :    10872.80 MFlops :       0.01 Sec : 23400
    181 :    10526.57 MFlops :       0.01 Sec : 23530
    182 :    10923.69 MFlops :       0.01 Sec : 23660
    183 :     7362.80 MFlops :       0.02 Sec : 23790
    184 :    11092.37 MFlops :       0.01 Sec : 23920
    185 :    12067.44 MFlops :       0.01 Sec : 24050
    186 :    14775.42 MFlops :       0.01 Sec : 24180
    187 :    11945.14 MFlops :       0.01 Sec : 24310
    188 :    15133.14 MFlops :       0.01 Sec : 24440
    189 :    14886.60 MFlops :       0.01 Sec : 24570
    190 :    13990.04 MFlops :       0.01 Sec : 24700
    191 :    15015.88 MFlops :       0.01 Sec : 24830
    192 :    15353.50 MFlops :       0.01 Sec : 24960
    193 :    13208.28 MFlops :       0.01 Sec : 25090
    194 :    15514.93 MFlops :       0.01 Sec : 25220
    195 :    14413.71 MFlops :       0.01 Sec : 25350
    196 :    13353.05 MFlops :       0.01 Sec : 25480
    197 :    13587.76 MFlops :       0.01 Sec : 25610
    198 :    15287.89 MFlops :       0.01 Sec : 25740
    199 :    14448.59 MFlops :       0.01 Sec : 25870
    200 :    15947.91 MFlops :       0.01 Sec : 26000
