From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
    139 :    49277.41 MFlops    0.000218 sec
    140 :    53803.92 MFlops    0.000204 sec
    141 :    53394.69 MFlops    0.000210 sec
    142 :    54024.30 MFlops    0.000212 sec
    143 :    47548.08 MFlops    0.000246 sec
    144 :    53321.14 MFlops    0.000224 sec
    145 :    53957.96 MFlops    0.000226 sec
    146 :    54839.40 MFlops    0.000227 sec
    147 :    54068.48 MFlops    0.000235 sec
    148 :    55179.44 MFlops    0.000235 sec
    149 :    56788.82 MFlops    0.000233 sec
    150 :    56485.36 MFlops    0.000239 sec
    151 :    55308.45 MFlops    0.000249 sec
    152 :    56642.06 MFlops    0.000248 sec
    153 :    58474.73 MFlops    0.000245 sec
    154 :    54715.57 MFlops    0.000267 sec
    155 :    59821.29 MFlops    0.000249 sec
    156 :    59319.00 MFlops    0.000256 sec
    157 :    59766.69 MFlops    0.000259 sec
    158 :    59762.30 MFlops    0.000264 sec
    159 :    60674.40 MFlops    0.000265 sec
    160 :    61363.30 MFlops    0.000267 sec
    161 :    49097.42 MFlops    0.000340 sec
    162 :    61840.41 MFlops    0.000275 sec
    163 :    60149.26 MFlops    0.000288 sec
    164 :    59009.28 MFlops    0.000299 sec
    165 :    61117.35 MFlops    0.000294 sec
    166 :    64426.70 MFlops    0.000284 sec
    167 :    64686.99 MFlops    0.000288 sec
    168 :    63646.07 MFlops    0.000298 sec
    169 :    66120.67 MFlops    0.000292 sec
    170 :    61221.18 MFlops    0.000321 sec
    171 :    55868.28 MFlops    0.000358 sec
    172 :    65236.51 MFlops    0.000312 sec
    173 :    61274.76 MFlops    0.000338 sec
    174 :    68194.49 MFlops    0.000309 sec
    175 :    69602.27 MFlops    0.000308 sec
    176 :    74426.98 MFlops    0.000293 sec
    177 :    72724.37 MFlops    0.000305 sec
    178 :    69842.13 MFlops    0.000323 sec
    179 :    73529.99 MFlops    0.000312 sec
    180 :    64980.50 MFlops    0.000359 sec
    181 :    71658.50 MFlops    0.000331 sec
    182 :    75593.33 MFlops    0.000319 sec
    183 :    76367.44 MFlops    0.000321 sec
    184 :    76201.88 MFlops    0.000327 sec
    185 :    72361.43 MFlops    0.000350 sec
    186 :    73751.93 MFlops    0.000349 sec
    187 :    72456.54 MFlops    0.000361 sec
    188 :    73219.53 MFlops    0.000363 sec
    189 :    71442.00 MFlops    0.000378 sec
    190 :    76000.00 MFlops    0.000361 sec
    191 :    76993.05 MFlops    0.000362 sec
    192 :    75497.47 MFlops    0.000375 sec
    193 :    72985.35 MFlops    0.000394 sec
    194 :    72112.43 MFlops    0.000405 sec
    195 :    67407.95 MFlops    0.000440 sec
    196 :    70042.20 MFlops    0.000430 sec
    197 :    75138.80 MFlops    0.000407 sec
    198 :    71708.01 MFlops    0.000433 sec
    199 :    79401.50 MFlops    0.000397 sec
    200 :    74766.36 MFlops    0.000428 sec
