From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 133x133 :   42389.86 MFlops   0.000592 s
 134x134 :   40227.44 MFlops   0.000638 s
 135x135 :   36704.90 MFlops   0.000715 s
 136x136 :   41089.63 MFlops   0.000653 s
 137x137 :   44670.63 MFlops   0.000614 s
 138x138 :   42732.88 MFlops   0.000656 s
 139x139 :   38974.97 MFlops   0.000735 s
 140x140 :   43233.87 MFlops   0.000677 s
 141x141 :   45930.91 MFlops   0.000651 s
 142x142 :   44327.63 MFlops   0.000689 s
 143x143 :   45270.74 MFlops   0.000689 s
 144x144 :   44923.13 MFlops   0.000709 s
 145x145 :   46388.97 MFlops   0.000701 s
 146x146 :   45042.22 MFlops   0.000737 s
 147x147 :   43551.30 MFlops   0.000778 s
 148x148 :   47498.78 MFlops   0.000728 s
 149x149 :   46123.91 MFlops   0.000765 s
 150x150 :   44334.98 MFlops   0.000812 s
 151x151 :   46428.33 MFlops   0.000791 s
 152x152 :   48902.46 MFlops   0.000766 s
 153x153 :   46990.76 MFlops   0.000813 s
 154x154 :   45940.43 MFlops   0.000848 s
 155x155 :   47063.19 MFlops   0.000844 s
 156x156 :   47362.69 MFlops   0.000855 s
 157x157 :   48279.37 MFlops   0.000855 s
 158x158 :   47809.84 MFlops   0.000880 s
 159x159 :   46757.44 MFlops   0.000917 s
 160x160 :   45941.82 MFlops   0.000951 s
 161x161 :   45377.16 MFlops   0.000981 s
 162x162 :   43231.30 MFlops   0.001049 s
 163x163 :   46803.07 MFlops   0.000987 s
 164x164 :   47050.07 MFlops   0.001000 s
 165x165 :   45896.55 MFlops   0.001044 s
 166x166 :   46557.72 MFlops   0.001048 s
 167x167 :   47860.89 MFlops   0.001038 s
 168x168 :   49392.00 MFlops   0.001024 s
 169x169 :   44576.59 MFlops   0.001155 s
 170x170 :   47000.30 MFlops   0.001115 s
 171x171 :   48752.82 MFlops   0.001094 s
 172x172 :   52340.19 MFlops   0.001037 s
 173x173 :   48025.20 MFlops   0.001150 s
 174x174 :   49771.71 MFlops   0.001129 s
 175x175 :   50411.52 MFlops   0.001134 s
 176x176 :   48949.73 MFlops   0.001188 s
 177x177 :   47855.30 MFlops   0.001236 s
 178x178 :   51024.05 MFlops   0.001179 s
 179x179 :   49376.07 MFlops   0.001239 s
 180x180 :   50411.67 MFlops   0.001234 s
 181x181 :   54245.77 MFlops   0.001166 s
 182x182 :   54403.32 MFlops   0.001182 s
 183x183 :   52846.02 MFlops   0.001237 s
 184x184 :   54555.04 MFlops   0.001218 s
 185x185 :   55132.52 MFlops   0.001225 s
 186x186 :   51453.12 MFlops   0.001334 s
 187x187 :   55270.60 MFlops   0.001262 s
 188x188 :   55896.29 MFlops   0.001268 s
 189x189 :   53701.37 MFlops   0.001341 s
 190x190 :   54114.40 MFlops   0.001352 s
 191x191 :   53818.94 MFlops   0.001381 s
 192x192 :   54867.35 MFlops   0.001376 s
 193x193 :   52272.17 MFlops   0.001467 s
 194x194 :   53600.43 MFlops   0.001453 s
 195x195 :   55620.25 MFlops   0.001422 s
 196x196 :   55389.69 MFlops   0.001450 s
 197x197 :   56988.57 MFlops   0.001431 s
 198x198 :   53349.77 MFlops   0.001552 s
 199x199 :   55484.97 MFlops   0.001515 s
 200x200 :   57424.85 MFlops   0.001486 s
