From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
    137 :     1104.06 MFlops  0.000017000 sec
    138 :     1587.00 MFlops  0.000012000 sec
    139 :     1610.08 MFlops  0.000012000 sec
    140 :     1507.69 MFlops  0.000013000 sec
    141 :     1529.31 MFlops  0.000013000 sec
    142 :     1833.09 MFlops  0.000011000 sec
    143 :     1573.00 MFlops  0.000013000 sec
    144 :     1728.00 MFlops  0.000012000 sec
    145 :     1752.08 MFlops  0.000012000 sec
    146 :     1937.82 MFlops  0.000011000 sec
    147 :     1662.23 MFlops  0.000013000 sec
    148 :     2190.40 MFlops  0.000010000 sec
    149 :     1850.08 MFlops  0.000012000 sec
    150 :     2250.00 MFlops  0.000010000 sec
    151 :     1753.92 MFlops  0.000013000 sec
    152 :     2100.36 MFlops  0.000011000 sec
    153 :     1950.75 MFlops  0.000012000 sec
    154 :     1694.00 MFlops  0.000014000 sec
    155 :     1848.08 MFlops  0.000013000 sec
    156 :     1622.40 MFlops  0.000015000 sec
    157 :     2240.82 MFlops  0.000011000 sec
    158 :     1783.14 MFlops  0.000014000 sec
    159 :     2106.75 MFlops  0.000012000 sec
    160 :     1600.00 MFlops  0.000016000 sec
    161 :     1364.26 MFlops  0.000019000 sec
    162 :      514.59 MFlops  0.000051000 sec
    163 :     1398.37 MFlops  0.000019000 sec
    164 :      791.06 MFlops  0.000034000 sec
    165 :     1183.70 MFlops  0.000023000 sec
    166 :      706.56 MFlops  0.000039000 sec
    167 :     1992.07 MFlops  0.000014000 sec
    168 :     1764.00 MFlops  0.000016000 sec
    169 :     1586.72 MFlops  0.000018000 sec
    170 :     1445.00 MFlops  0.000020000 sec
    171 :     1720.06 MFlops  0.000017000 sec
    172 :     1479.20 MFlops  0.000020000 sec
    173 :     1575.21 MFlops  0.000019000 sec
    174 :     1892.25 MFlops  0.000016000 sec
    175 :     2187.50 MFlops  0.000014000 sec
    176 :     2581.33 MFlops  0.000012000 sec
    177 :     2848.09 MFlops  0.000011000 sec
    178 :     2880.36 MFlops  0.000011000 sec
    179 :     3560.11 MFlops  0.000009000 sec
    180 :     2945.45 MFlops  0.000011000 sec
    181 :     2520.08 MFlops  0.000013000 sec
    182 :     2760.33 MFlops  0.000012000 sec
    183 :     2392.07 MFlops  0.000014000 sec
    184 :     2821.33 MFlops  0.000012000 sec
    185 :     2852.08 MFlops  0.000012000 sec
    186 :     2883.00 MFlops  0.000012000 sec
    187 :     2914.08 MFlops  0.000012000 sec
    188 :     1262.29 MFlops  0.000028000 sec
    189 :     2101.24 MFlops  0.000017000 sec
    190 :     2776.92 MFlops  0.000013000 sec
    191 :     2605.79 MFlops  0.000014000 sec
    192 :     2835.69 MFlops  0.000013000 sec
    193 :     3386.27 MFlops  0.000011000 sec
    194 :     2895.08 MFlops  0.000013000 sec
    195 :     2925.00 MFlops  0.000013000 sec
    196 :     2955.08 MFlops  0.000013000 sec
    197 :     2985.31 MFlops  0.000013000 sec
    198 :     2613.60 MFlops  0.000015000 sec
    199 :     2828.64 MFlops  0.000014000 sec
    200 :     2857.14 MFlops  0.000014000 sec
