From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
    114 :    23157.36 MFlops :       0.00 Sec : 7296
    115 :    23026.29 MFlops :       0.00 Sec : 7360
    116 :    19059.28 MFlops :       0.00 Sec : 7424
    117 :    18532.66 MFlops :       0.00 Sec : 7488
    118 :    23471.50 MFlops :       0.00 Sec : 7552
    119 :    23754.43 MFlops :       0.00 Sec : 7616
    120 :    24754.59 MFlops :       0.00 Sec : 7680
    121 :    24454.60 MFlops :       0.00 Sec : 7744
    122 :    25067.19 MFlops :       0.00 Sec : 7808
    123 :    19809.09 MFlops :       0.00 Sec : 7872
    124 :    20095.40 MFlops :       0.00 Sec : 7936
    125 :    20383.86 MFlops :       0.00 Sec : 8000
    126 :    21169.68 MFlops :       0.00 Sec : 8064
    127 :    26108.27 MFlops :       0.00 Sec : 8128
    128 :    26042.45 MFlops :       0.00 Sec : 8192
    129 :    20400.19 MFlops :       0.00 Sec : 8256
    130 :    20368.18 MFlops :       0.00 Sec : 8320
    131 :    20414.47 MFlops :       0.00 Sec : 8384
    132 :    19673.68 MFlops :       0.00 Sec : 8448
    133 :    20692.42 MFlops :       0.00 Sec : 8512
    134 :    19603.11 MFlops :       0.00 Sec : 8576
    135 :    20107.86 MFlops :       0.00 Sec : 8640
    136 :    18302.73 MFlops :       0.00 Sec : 8704
    137 :    18917.78 MFlops :       0.00 Sec : 8768
    138 :    18247.55 MFlops :       0.00 Sec : 8832
    139 :    18335.84 MFlops :       0.00 Sec : 8896
    140 :    17581.16 MFlops :       0.00 Sec : 8960
    141 :    18451.52 MFlops :       0.00 Sec : 9024
    142 :    18754.52 MFlops :       0.00 Sec : 9088
    143 :    19814.72 MFlops :       0.00 Sec : 9152
    144 :    18148.07 MFlops :       0.00 Sec : 9216
    145 :    20632.91 MFlops :       0.00 Sec : 9280
    146 :    21757.27 MFlops :       0.00 Sec : 9344
    147 :    22444.74 MFlops :       0.00 Sec : 9408
    148 :    19841.90 MFlops :       0.00 Sec : 9472
    149 :    19858.13 MFlops :       0.00 Sec : 9536
    150 :    15711.40 MFlops :       0.00 Sec : 9600
    151 :    20669.92 MFlops :       0.00 Sec : 9664
    152 :    21597.03 MFlops :       0.00 Sec : 9728
    153 :    20461.92 MFlops :       0.00 Sec : 9792
    154 :    21162.56 MFlops :       0.00 Sec : 9856
    155 :    23144.73 MFlops :       0.00 Sec : 9920
    156 :    21437.50 MFlops :       0.00 Sec : 9984
    157 :    22088.04 MFlops :       0.00 Sec : 10048
    158 :    21696.92 MFlops :       0.00 Sec : 10112
    159 :    17097.94 MFlops :       0.00 Sec : 10176
    160 :    18135.11 MFlops :       0.00 Sec : 10240
    161 :    21180.58 MFlops :       0.00 Sec : 10304
    162 :    22414.02 MFlops :       0.00 Sec : 10368
    163 :    22279.19 MFlops :       0.00 Sec : 10432
    164 :    22072.14 MFlops :       0.00 Sec : 10496
    165 :    24613.21 MFlops :       0.00 Sec : 10560
    166 :    22719.48 MFlops :       0.00 Sec : 10624
    167 :    22501.69 MFlops :       0.00 Sec : 10688
