From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
    129x129 :    10240.62 MFlops   0.000013 sec
    130x130 :    11266.67 MFlops   0.000012 sec
    131x131 :    11440.67 MFlops   0.000012 sec
    132x132 :     9956.57 MFlops   0.000014 sec
    133x133 :    10885.54 MFlops   0.000013 sec
    134x134 :    11970.67 MFlops   0.000012 sec
    135x135 :    11215.38 MFlops   0.000013 sec
    136x136 :    10569.14 MFlops   0.000014 sec
    137x137 :    10725.14 MFlops   0.000014 sec
    138x138 :    11719.38 MFlops   0.000013 sec
    139x139 :    11040.57 MFlops   0.000014 sec
    140x140 :    11200.00 MFlops   0.000014 sec
    141x141 :    12234.46 MFlops   0.000013 sec
    142x142 :    11522.29 MFlops   0.000014 sec
    143x143 :    11685.14 MFlops   0.000014 sec
    144x144 :     6144.00 MFlops   0.000027 sec
    145x145 :     8410.00 MFlops   0.000020 sec
    146x146 :     8975.16 MFlops   0.000019 sec
    147x147 :     6648.92 MFlops   0.000026 sec
    148x148 :     9222.74 MFlops   0.000019 sec
    149x149 :    10447.53 MFlops   0.000017 sec
    150x150 :    10588.24 MFlops   0.000017 sec
    151x151 :     8686.10 MFlops   0.000021 sec
    152x152 :     9241.60 MFlops   0.000020 sec
    153x153 :     7202.77 MFlops   0.000026 sec
    154x154 :     9985.68 MFlops   0.000019 sec
    155x155 :     9152.38 MFlops   0.000021 sec
    156x156 :    10816.00 MFlops   0.000018 sec
    157x157 :     3866.51 MFlops   0.000051 sec
    158x158 :     7681.23 MFlops   0.000026 sec
    159x159 :     9630.86 MFlops   0.000021 sec
    160x160 :     8904.35 MFlops   0.000023 sec
    161x161 :     9874.67 MFlops   0.000021 sec
    162x162 :     9997.71 MFlops   0.000021 sec
    163x163 :     2760.42 MFlops   0.000077 sec
    164x164 :     7684.57 MFlops   0.000028 sec
    165x165 :     5185.71 MFlops   0.000042 sec
    166x166 :    10497.52 MFlops   0.000021 sec
    167x167 :    10624.38 MFlops   0.000021 sec
