From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
    139 :    37692.90 MFlops    0.000285 sec
    140 :    37979.24 MFlops    0.000289 sec
    141 :    36884.49 MFlops    0.000304 sec
    142 :    38177.17 MFlops    0.000300 sec
    143 :    38224.93 MFlops    0.000306 sec
    144 :    38528.83 MFlops    0.000310 sec
    145 :    37637.35 MFlops    0.000324 sec
    146 :    37837.52 MFlops    0.000329 sec
    147 :    36511.76 MFlops    0.000348 sec
    148 :    38364.40 MFlops    0.000338 sec
    149 :    35097.60 MFlops    0.000377 sec
    150 :    37815.13 MFlops    0.000357 sec
    151 :    38793.81 MFlops    0.000355 sec
    152 :    38275.84 MFlops    0.000367 sec
    153 :    39357.99 MFlops    0.000364 sec
    154 :    38853.87 MFlops    0.000376 sec
    155 :    38790.36 MFlops    0.000384 sec
    156 :    40067.72 MFlops    0.000379 sec
    157 :    39793.24 MFlops    0.000389 sec
    158 :    39541.97 MFlops    0.000399 sec
    159 :    40912.76 MFlops    0.000393 sec
    160 :    37406.39 MFlops    0.000438 sec
    161 :    37852.89 MFlops    0.000441 sec
    162 :    37050.35 MFlops    0.000459 sec
    163 :    40006.90 MFlops    0.000433 sec
    164 :    36605.34 MFlops    0.000482 sec
    165 :    42986.84 MFlops    0.000418 sec
    166 :    41117.27 MFlops    0.000445 sec
    167 :    42631.24 MFlops    0.000437 sec
    168 :    42430.71 MFlops    0.000447 sec
    169 :    41972.25 MFlops    0.000460 sec
    170 :    43191.21 MFlops    0.000455 sec
    171 :    43385.78 MFlops    0.000461 sec
    172 :    42850.09 MFlops    0.000475 sec
    173 :    43601.83 MFlops    0.000475 sec
    174 :    44549.89 MFlops    0.000473 sec
    175 :    46201.51 MFlops    0.000464 sec
    176 :    45526.31 MFlops    0.000479 sec
    177 :    44273.32 MFlops    0.000501 sec
    178 :    48514.00 MFlops    0.000465 sec
    179 :    44719.99 MFlops    0.000513 sec
    180 :    46749.50 MFlops    0.000499 sec
    181 :    48307.46 MFlops    0.000491 sec
    182 :    47751.03 MFlops    0.000505 sec
    183 :    49825.10 MFlops    0.000492 sec
    184 :    48290.73 MFlops    0.000516 sec
    185 :    46132.06 MFlops    0.000549 sec
    186 :    47315.12 MFlops    0.000544 sec
    187 :    49166.94 MFlops    0.000532 sec
    188 :    49494.76 MFlops    0.000537 sec
    189 :    49011.03 MFlops    0.000551 sec
    190 :    47631.94 MFlops    0.000576 sec
    191 :    48220.56 MFlops    0.000578 sec
    192 :    48561.84 MFlops    0.000583 sec
    193 :    48007.06 MFlops    0.000599 sec
    194 :    42635.82 MFlops    0.000685 sec
    195 :    45212.65 MFlops    0.000656 sec
    196 :    46122.73 MFlops    0.000653 sec
    197 :    45644.02 MFlops    0.000670 sec
    198 :    46551.08 MFlops    0.000667 sec
    199 :    46769.13 MFlops    0.000674 sec
    200 :    46511.63 MFlops    0.000688 sec
