From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops		Time
    146 :     7105.33 MFlops   0.000003 sec
    147 :    10804.50 MFlops   0.000002 sec
    148 :     7301.33 MFlops   0.000003 sec
    149 :    11100.50 MFlops   0.000002 sec
    150 :     7500.00 MFlops   0.000003 sec
    151 :     7600.33 MFlops   0.000003 sec
    152 :     7701.33 MFlops   0.000003 sec
    153 :    11704.50 MFlops   0.000002 sec
    154 :    11858.00 MFlops   0.000002 sec
    155 :     8008.33 MFlops   0.000003 sec
    156 :     8112.00 MFlops   0.000003 sec
    157 :     8216.33 MFlops   0.000003 sec
    158 :     8321.33 MFlops   0.000003 sec
    159 :     8427.00 MFlops   0.000003 sec
    160 :     8533.33 MFlops   0.000003 sec
    161 :     8640.33 MFlops   0.000003 sec
    162 :     8748.00 MFlops   0.000003 sec
    163 :     8856.33 MFlops   0.000003 sec
    164 :     8965.33 MFlops   0.000003 sec
    165 :     9075.00 MFlops   0.000003 sec
    166 :     6889.00 MFlops   0.000004 sec
    167 :     9296.33 MFlops   0.000003 sec
    168 :     9408.00 MFlops   0.000003 sec
    169 :     9520.33 MFlops   0.000003 sec
    170 :     9633.33 MFlops   0.000003 sec
    171 :     9747.00 MFlops   0.000003 sec
    172 :     9861.33 MFlops   0.000003 sec
    173 :     7482.25 MFlops   0.000004 sec
    174 :     7569.00 MFlops   0.000004 sec
    175 :    10208.33 MFlops   0.000003 sec
    176 :    10325.33 MFlops   0.000003 sec
    177 :     7832.25 MFlops   0.000004 sec
    178 :    10561.33 MFlops   0.000003 sec
    179 :    10680.33 MFlops   0.000003 sec
    180 :    10800.00 MFlops   0.000003 sec
    181 :     8190.25 MFlops   0.000004 sec
    182 :     8281.00 MFlops   0.000004 sec
    183 :     8372.25 MFlops   0.000004 sec
    184 :     8464.00 MFlops   0.000004 sec
    185 :     8556.25 MFlops   0.000004 sec
    186 :     8649.00 MFlops   0.000004 sec
    187 :     8742.25 MFlops   0.000004 sec
    188 :     8836.00 MFlops   0.000004 sec
    189 :     8930.25 MFlops   0.000004 sec
    190 :     9025.00 MFlops   0.000004 sec
    191 :     9120.25 MFlops   0.000004 sec
    192 :     9216.00 MFlops   0.000004 sec
    193 :     9312.25 MFlops   0.000004 sec
    194 :     9409.00 MFlops   0.000004 sec
    195 :     9506.25 MFlops   0.000004 sec
    196 :     9604.00 MFlops   0.000004 sec
    197 :     9702.25 MFlops   0.000004 sec
    198 :     9801.00 MFlops   0.000004 sec
    199 :     9900.25 MFlops   0.000004 sec
    200 :    10000.00 MFlops   0.000004 sec
