From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.57 MFlops
      2 :       64.00 MFlops
      3 :      216.00 MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :       20.82 MFlops
      7 :      914.67 MFlops
      8 :     2048.00 MFlops
      9 :     5832.00 MFlops
     10 :     8000.00 MFlops
     11 :    10648.00 MFlops
     12 :     4608.00 MFlops
     13 :    17576.00 MFlops
     14 :    10976.00 MFlops
     15 :    13500.00 MFlops
     16 :    16384.00 MFlops
     17 :     4913.00 MFlops
     18 :    23328.00 MFlops
     19 :    27436.00 MFlops
     20 :    16000.00 MFlops
     21 :    24696.00 MFlops
     22 :    28394.67 MFlops
     23 :    19467.20 MFlops
     24 :    27648.00 MFlops
     25 :    20833.33 MFlops
     26 :    28121.60 MFlops
     27 :    22494.86 MFlops
     28 :    19512.89 MFlops
     29 :    27873.14 MFlops
     30 :    27000.00 MFlops
     31 :    21666.18 MFlops
     32 :    10082.46 MFlops
     33 :    19166.40 MFlops
     34 :    22459.43 MFlops
     35 :    24500.00 MFlops
     36 :    23328.00 MFlops
     37 :    10390.36 MFlops
     38 :    18290.67 MFlops
     39 :    14829.75 MFlops
     40 :    13128.21 MFlops
     41 :    22973.67 MFlops
     42 :    23708.16 MFlops
     43 :    30288.38 MFlops
     44 :    34073.60 MFlops
     45 :    27000.00 MFlops
     46 :    35394.91 MFlops
     47 :    36112.35 MFlops
     48 :    13010.82 MFlops
     49 :    14047.64 MFlops
     50 :    18518.52 MFlops
     51 :    22578.89 MFlops
     52 :    21223.85 MFlops
     53 :    22472.00 MFlops
     54 :    23768.15 MFlops
     55 :    22948.28 MFlops
     56 :    21952.00 MFlops
     57 :    24692.40 MFlops
     58 :    26912.00 MFlops
     59 :    26934.95 MFlops
     60 :    28327.87 MFlops
     61 :    28372.62 MFlops
     62 :    29791.00 MFlops
     63 :    29417.29 MFlops
     64 :    31775.03 MFlops
     65 :    30943.66 MFlops
     66 :    32856.69 MFlops
     67 :    33418.11 MFlops
     68 :    34936.89 MFlops
     69 :    35514.49 MFlops
     70 :    35179.49 MFlops
     71 :    36708.82 MFlops
     72 :    35547.43 MFlops
     73 :    37952.88 MFlops
     74 :    34487.15 MFlops
     75 :    39705.88 MFlops
     76 :    39020.09 MFlops
     77 :    40580.71 MFlops
     78 :    39962.27 MFlops
     79 :    39443.12 MFlops
     80 :    44521.74 MFlops
     81 :    45715.35 MFlops
     82 :    46430.99 MFlops
     83 :    45742.96 MFlops
     84 :    46946.85 MFlops
     85 :    48643.56 MFlops
     86 :    42403.73 MFlops
     87 :    47459.68 MFlops
     88 :    43614.21 MFlops
     89 :    33175.01 MFlops
     90 :    38622.52 MFlops
     91 :    39924.29 MFlops
     92 :    40715.71 MFlops
     93 :    41249.08 MFlops
     94 :    42322.75 MFlops
     95 :    43967.95 MFlops
     96 :    45082.09 MFlops
     97 :    45070.27 MFlops
     98 :    46767.30 MFlops
     99 :    47331.66 MFlops
    100 :    47058.82 MFlops
    101 :    47099.47 MFlops
    102 :    48236.73 MFlops
    103 :    48297.33 MFlops
    104 :    47613.29 MFlops
    105 :    48742.11 MFlops
    106 :    54759.36 MFlops
    107 :    48757.93 MFlops
    108 :    49159.49 MFlops
    109 :    50537.72 MFlops
    110 :    50226.42 MFlops
    111 :    51366.42 MFlops
    112 :    53521.07 MFlops
    113 :    53194.36 MFlops
    114 :    53149.56 MFlops
    115 :    54560.54 MFlops
    116 :    47299.88 MFlops
    117 :    55708.28 MFlops
    118 :    53431.93 MFlops
    119 :    55251.11 MFlops
    120 :    56195.12 MFlops
    121 :    59299.11 MFlops
    122 :    59051.97 MFlops
    123 :    58152.09 MFlops
    124 :    51013.35 MFlops
    125 :    59410.65 MFlops
    126 :    60161.68 MFlops
    127 :    61837.98 MFlops
    128 :    59705.40 MFlops
    129 :    56678.26 MFlops
    130 :    51542.52 MFlops
    131 :    55680.27 MFlops
    132 :    53643.57 MFlops
    133 :    54083.61 MFlops
    134 :    57804.30 MFlops
    135 :    62485.71 MFlops
    136 :    61540.21 MFlops
    137 :    55898.98 MFlops
    138 :    63327.04 MFlops
    139 :    60350.99 MFlops
    140 :    59814.71 MFlops
    141 :    67344.65 MFlops
    142 :    65446.58 MFlops
    143 :    70889.87 MFlops
    144 :    67100.76 MFlops
    145 :    67187.33 MFlops
    146 :    70529.99 MFlops
    147 :    72399.38 MFlops
    148 :    68428.33 MFlops
    149 :    69458.25 MFlops
    150 :    73972.60 MFlops
    151 :    73646.01 MFlops
    152 :    72037.09 MFlops
    153 :    65267.92 MFlops
    154 :    69073.55 MFlops
    155 :    71100.24 MFlops
    156 :    75550.57 MFlops
    157 :    73712.25 MFlops
    158 :    79482.36 MFlops
    159 :    77863.03 MFlops
    160 :    69571.13 MFlops
    161 :    75025.28 MFlops
    162 :    74100.71 MFlops
    163 :    81712.21 MFlops
    164 :    79476.47 MFlops
    165 :    81121.90 MFlops
    166 :    80782.27 MFlops
    167 :    82615.75 MFlops
    168 :    84483.42 MFlops
    169 :    83581.11 MFlops
    170 :    84524.73 MFlops
    171 :    82819.23 MFlops
    172 :    84631.15 MFlops
    173 :    84707.03 MFlops
    174 :    89099.77 MFlops
    175 :    88768.12 MFlops
    176 :    87403.22 MFlops
    177 :    89619.93 MFlops
    178 :    89876.53 MFlops
    179 :    87729.85 MFlops
    180 :    86721.19 MFlops
    181 :    91933.97 MFlops
    182 :    88818.68 MFlops
    183 :    90124.81 MFlops
    184 :    83617.50 MFlops
    185 :    92941.28 MFlops
    186 :    88756.63 MFlops
    187 :    89885.95 MFlops
    188 :    88301.29 MFlops
    189 :    92325.05 MFlops
    190 :    92221.85 MFlops
    191 :    98660.12 MFlops
    192 :    93437.47 MFlops
    193 :    93821.30 MFlops
    194 :    94363.61 MFlops
    195 :    85845.15 MFlops
    196 :    96687.46 MFlops
    197 :    95866.75 MFlops
    198 :    94663.32 MFlops
    199 :   101849.42 MFlops
    200 :   102073.37 MFlops
