From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
    132x132 :     4978.29 MFlops   0.000007 sec
    133x133 :     3930.89 MFlops   0.000009 sec
    134x134 :     3591.20 MFlops   0.000010 sec
    135x135 :     1918.42 MFlops   0.000019 sec
    136x136 :     4110.22 MFlops   0.000009 sec
    137x137 :     3128.17 MFlops   0.000012 sec
    138x138 :     4761.00 MFlops   0.000008 sec
    139x139 :     4830.25 MFlops   0.000008 sec
    140x140 :     4355.56 MFlops   0.000009 sec
    141x141 :     4418.00 MFlops   0.000009 sec
    142x142 :     2880.57 MFlops   0.000014 sec
    143x143 :     4544.22 MFlops   0.000009 sec
    144x144 :     5184.00 MFlops   0.000008 sec
    145x145 :     4205.00 MFlops   0.000010 sec
    146x146 :     4263.20 MFlops   0.000010 sec
    147x147 :     3601.50 MFlops   0.000012 sec
    148x148 :     5476.00 MFlops   0.000008 sec
    149x149 :     4440.20 MFlops   0.000010 sec
    150x150 :     4090.91 MFlops   0.000011 sec
    151x151 :     4145.64 MFlops   0.000011 sec
    152x152 :     5134.22 MFlops   0.000009 sec
    153x153 :     2340.90 MFlops   0.000020 sec
    154x154 :     4312.00 MFlops   0.000011 sec
    155x155 :     3696.15 MFlops   0.000013 sec
    156x156 :     4867.20 MFlops   0.000010 sec
    157x157 :     4108.17 MFlops   0.000012 sec
    158x158 :     4992.80 MFlops   0.000010 sec
    159x159 :     4596.55 MFlops   0.000011 sec
    160x160 :     4266.67 MFlops   0.000012 sec
    161x161 :     3987.85 MFlops   0.000013 sec
    162x162 :     5248.80 MFlops   0.000010 sec
    163x163 :     4428.17 MFlops   0.000012 sec
    164x164 :     4890.18 MFlops   0.000011 sec
    165x165 :     3889.29 MFlops   0.000014 sec
    166x166 :     4592.67 MFlops   0.000012 sec
    167x167 :     5070.73 MFlops   0.000011 sec
    168x168 :     4704.00 MFlops   0.000012 sec
    169x169 :     3570.12 MFlops   0.000016 sec
    170x170 :     5254.55 MFlops   0.000011 sec
    171x171 :     4873.50 MFlops   0.000012 sec
    172x172 :     4930.67 MFlops   0.000012 sec
    173x173 :     4275.57 MFlops   0.000014 sec
    174x174 :     5046.00 MFlops   0.000012 sec
    175x175 :     5104.17 MFlops   0.000012 sec
    176x176 :     5162.67 MFlops   0.000012 sec
    177x177 :     4819.85 MFlops   0.000013 sec
    178x178 :     5280.67 MFlops   0.000012 sec
    179x179 :     4929.38 MFlops   0.000013 sec
    180x180 :     4320.00 MFlops   0.000015 sec
    181x181 :     4680.14 MFlops   0.000014 sec
    182x182 :     4732.00 MFlops   0.000014 sec
    183x183 :     4784.14 MFlops   0.000014 sec
    184x184 :     5208.62 MFlops   0.000013 sec
    185x185 :     5265.38 MFlops   0.000013 sec
    186x186 :     4942.29 MFlops   0.000014 sec
    187x187 :     4995.57 MFlops   0.000014 sec
    188x188 :     5437.54 MFlops   0.000013 sec
    189x189 :     5103.00 MFlops   0.000014 sec
    190x190 :     5553.85 MFlops   0.000013 sec
    191x191 :     6632.91 MFlops   0.000011 sec
    192x192 :     5266.29 MFlops   0.000014 sec
    193x193 :     4966.53 MFlops   0.000015 sec
    194x194 :     5376.57 MFlops   0.000014 sec
    195x195 :     5850.00 MFlops   0.000013 sec
    196x196 :     4802.00 MFlops   0.000016 sec
    197x197 :     5174.53 MFlops   0.000015 sec
    198x198 :     4900.50 MFlops   0.000016 sec
    199x199 :     4658.94 MFlops   0.000017 sec
    200x200 :     3478.26 MFlops   0.000023 sec
