From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
    134 :     6529.45 MFlops  0.000011000 sec
    135 :     6075.00 MFlops  0.000012000 sec
    136 :     8220.44 MFlops  0.000009000 sec
    137 :     5362.57 MFlops  0.000014000 sec
    138 :     5441.14 MFlops  0.000014000 sec
    139 :     5944.92 MFlops  0.000013000 sec
    140 :     5600.00 MFlops  0.000014000 sec
    141 :     5680.29 MFlops  0.000014000 sec
    142 :     6204.31 MFlops  0.000013000 sec
    143 :     6816.33 MFlops  0.000012000 sec
    144 :     6912.00 MFlops  0.000012000 sec
    145 :     7008.33 MFlops  0.000012000 sec
    146 :     6090.29 MFlops  0.000014000 sec
    147 :     7203.00 MFlops  0.000012000 sec
    148 :     6739.69 MFlops  0.000013000 sec
    149 :     6831.08 MFlops  0.000013000 sec
    150 :     6000.00 MFlops  0.000015000 sec
    151 :     7015.69 MFlops  0.000013000 sec
    152 :     7701.33 MFlops  0.000012000 sec
    153 :     6688.29 MFlops  0.000014000 sec
    154 :     6776.00 MFlops  0.000014000 sec
    155 :     7392.31 MFlops  0.000013000 sec
    156 :     6489.60 MFlops  0.000015000 sec
    157 :     8216.33 MFlops  0.000012000 sec
    158 :     7132.57 MFlops  0.000014000 sec
    159 :     7778.77 MFlops  0.000013000 sec
    160 :     6826.67 MFlops  0.000015000 sec
    161 :     6912.27 MFlops  0.000015000 sec
    162 :     2999.31 MFlops  0.000035000 sec
    163 :     8175.08 MFlops  0.000013000 sec
    164 :     8965.33 MFlops  0.000012000 sec
    165 :     8376.92 MFlops  0.000013000 sec
    166 :    12247.11 MFlops  0.000009000 sec
    167 :    11155.60 MFlops  0.000010000 sec
    168 :     8684.31 MFlops  0.000013000 sec
    169 :     9520.33 MFlops  0.000012000 sec
    170 :     9633.33 MFlops  0.000012000 sec
    171 :     8354.57 MFlops  0.000014000 sec
    172 :    14792.00 MFlops  0.000008000 sec
    173 :    10883.27 MFlops  0.000011000 sec
    174 :     7123.76 MFlops  0.000017000 sec
    175 :     9423.08 MFlops  0.000013000 sec
    176 :    11264.00 MFlops  0.000011000 sec
    177 :    10443.00 MFlops  0.000012000 sec
    178 :     9748.92 MFlops  0.000013000 sec
    179 :    14240.44 MFlops  0.000009000 sec
