From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
     77 :   1.686811e-05     6340.74 MFlops    5929.00 MFlops    6324.27 MFlops
     78 :   3.480911e-05     7030.40 MFlops    4056.00 MFlops    6844.50 MFlops
     79 :   3.343821e-05     7470.29 MFlops    6241.00 MFlops    7416.84 MFlops
     80 :   2.044439e-05     7757.58 MFlops    6400.00 MFlops    7698.55 MFlops
     81 :   1.329184e-05     8435.57 MFlops    4374.00 MFlops    8164.80 MFlops
     82 :   7.748604e-06     8354.06 MFlops    4482.67 MFlops    8106.95 MFlops
     83 :   4.082918e-05     8286.77 MFlops    4592.67 MFlops    8060.60 MFlops
     84 :   2.402067e-05     8780.80 MFlops    4704.00 MFlops    8526.00 MFlops
     85 :   1.013279e-05     7873.40 MFlops    3612.50 MFlops    7569.05 MFlops
     86 :   2.479553e-05     8154.56 MFlops    4930.67 MFlops    7978.72 MFlops
     87 :   2.211332e-05     8607.88 MFlops    5046.00 MFlops    8410.00 MFlops
     88 :   3.683567e-05     9876.41 MFlops    5162.67 MFlops    9587.81 MFlops
     89 :   1.132488e-05     9791.24 MFlops    5280.67 MFlops    9525.91 MFlops
     90 :   1.156330e-05     8678.57 MFlops    5400.00 MFlops    8511.86 MFlops
     91 :   7.396936e-05     9478.88 MFlops    5520.67 MFlops    9266.83 MFlops
     92 :   1.394749e-05     9983.18 MFlops    5642.67 MFlops    9746.42 MFlops
     93 :   3.188848e-05     9930.33 MFlops    5766.00 MFlops    9711.16 MFlops
     94 :   1.567602e-05     9887.90 MFlops    5890.67 MFlops    9684.66 MFlops
     95 :   5.519390e-05    10991.99 MFlops    6016.67 MFlops   10720.61 MFlops
     96 :   2.008677e-05    11565.18 MFlops    6144.00 MFlops   11264.00 MFlops
     97 :   1.108646e-05     8222.28 MFlops    4704.50 MFlops    8041.88 MFlops
     98 :   5.006790e-05     6971.79 MFlops    6402.67 MFlops    6953.43 MFlops
     99 :   7.212162e-05    10433.32 MFlops    4900.50 MFlops   10098.00 MFlops
    100 :   2.050400e-05     7407.41 MFlops    6666.67 MFlops    7383.51 MFlops
    101 :   1.478195e-05    11260.12 MFlops    6800.67 MFlops   11051.08 MFlops
    102 :   1.096725e-05    11597.90 MFlops    5202.00 MFlops   11204.31 MFlops
    103 :   3.206730e-05    10872.91 MFlops    7072.67 MFlops   10710.04 MFlops
    104 :   1.859665e-05    11717.33 MFlops    7210.67 MFlops   11515.54 MFlops
    105 :   2.050400e-05    11518.66 MFlops    5512.50 MFlops   11180.28 MFlops
    106 :   1.788139e-05     6155.12 MFlops    4494.40 MFlops    6093.15 MFlops
    107 :   1.686811e-05    10745.99 MFlops    7632.67 MFlops   10627.76 MFlops
    108 :   1.192093e-05    12920.12 MFlops    5832.00 MFlops   12509.22 MFlops
    109 :   7.498264e-05    12512.36 MFlops    7920.67 MFlops   12321.04 MFlops
    110 :   1.138449e-05    13049.02 MFlops    8066.67 MFlops   12838.50 MFlops
    111 :   1.122952e-04    13608.27 MFlops    8214.00 MFlops   13377.09 MFlops
    112 :   1.567602e-05    14191.19 MFlops    8362.67 MFlops   13937.78 MFlops
    113 :   6.347895e-05    13548.33 MFlops    6384.50 MFlops   13166.26 MFlops
    114 :   3.373623e-05    12662.77 MFlops    8664.00 MFlops   12514.67 MFlops
    115 :   2.592802e-05    13889.27 MFlops    8816.67 MFlops   13689.04 MFlops
    116 :   2.385974e-04    14656.30 MFlops    6728.00 MFlops   14233.46 MFlops
    117 :   9.298325e-06    12415.60 MFlops    6844.50 MFlops   12168.00 MFlops
    118 :   6.556511e-05    12736.68 MFlops    6962.00 MFlops   12480.03 MFlops
    119 :   1.466274e-05    12913.10 MFlops    7080.50 MFlops   12656.72 MFlops
    120 :   8.916855e-05    15567.57 MFlops    7200.00 MFlops   15138.46 MFlops
    121 :   1.810789e-04    14060.01 MFlops    9760.67 MFlops   13911.75 MFlops
    122 :   8.469820e-05    14411.49 MFlops    5953.60 MFlops   13936.33 MFlops
    123 :   1.215935e-05    14768.79 MFlops    7564.50 MFlops   14441.32 MFlops
    124 :   3.796816e-04    15888.53 MFlops    6150.40 MFlops   15315.70 MFlops
    125 :   1.031160e-05    12400.79 MFlops    7812.50 MFlops   12232.42 MFlops
    126 :   1.335144e-05    14037.73 MFlops    7938.00 MFlops   13791.27 MFlops
    127 :   1.128316e-04    14374.62 MFlops    2481.38 MFlops   12943.02 MFlops
